source,target,weight
deal,negro,1
deal,prejudic,1
deal,race,2
deal,unclear,1
delet,abus,1
delet,delet,8
delet,fight,1
delet,outfit,1
delet,peopl,1
democrat,leav,1
demonstr,method,1
depend,amount,1
depend,circumst,1
depend,individu,1
depend,local,1
depend,negro,1
depend,section,1
desecr,rank,1
desir,odor,1
destroi,appli,1
detriment,moral,1
develop,separ,1
develop,segreg,1
devil,human,1
die,quick,1
diseas,white,1
differ,race,1
differ,civilian,1
differ,class,1
differ,condit,2
differ,creat,1
differ,habit,1
differ,hard,1
differ,live,4
differ,live,1
differ,negro,1
differ,nerv,1
differ,opinion,1
differ,soldier,1
differ,standard,2
differ,tend,1
differ,troubl,1
difficulti,prejudic,1
difficulti,race,1
direct,contact,1
direct,negro,1
direct,varianc,1
dirti,bodi,1
dirti,fellow,1
dirti,human,1
dirti,mind,1
dirti,unclear,1
dirti,white,1
disast,aris,1
disast,faction,1
discord,avoid,1
discord,negro,1
discord,negro,1
discrep,offic,1
discrep,white,1
discrimin,color,1
discrimin,white,1
discrimin,disun,1
discrimin,prejudic,1
discrimin,racial,1
discuss,condit,1
diseas,rate,1
diseas,spread,1
dislik,mix,1
dislik,negro,2
dislik,peopl,1
dislik,white,1
dislik,white,1
dissatisfact,resent,1
distinct,peopl,1
distinct,power,1
distinct,race,1
distinct,white,1
disturb,mix,1
disturb,unclear,1
disun,disun,1
disun,lose,1
disun,war,1
drop,drop,1
doubt,negro,1
doubt,white,1
dress,unclear,1
drill,eat,1
drill,sleep,1
drill,white,1
drink,matter,1
drink,soldier,1
drive,garbag,1
drop,happen,1
drop,moral,1
eas,comfort,1
easier,disciplin,1
easier,maintain,1
eat,essenti,1
eat,live,1
eat,mess,2
eat,negro,2
eat,negro,2
eat,sleep,3
eat,white,1
educ,actual,1
educ,bodi,1
educ,cleanli,1
effici,attain,1
effici,lose,1
effici,lower,1
effici,outfit,3
effici,white,1
effici,negro,1
effort,lower,1
effort,mean,1
effort,moral,1
effort,unclear,1
effort,understand,1
elimin,argument,1
elimin,polici,1
eas,unclear,1
enabl,cooper,1
enlist,finish,1
enmiti,troop,1
entitl,right,1
equal,chanc,1
equal,peopl,1
equal,privileg,1
equal,rank,1
equal,right,2
equal,treatment,1
equal,white,2
equip,connect,1
equip,outfit,1
essenti,armi,1
essenti,perform,1
etern,question,1
etern,race,1
etern,superior,1
except,cent,1
except,trust,1
excus,troubl,1
excus,white,1
exist,common,1
exist,level,1
exist,spirit,1
exist,unclear,1
expect,carri,1
experienc,traini,1
explain,unclear,1
extent,live,1
extrem,condit,1
extrem,differ,1
extrem,emerg,1
extrem,live,1
faction,aris,1
factor,result,1
familiar,code,1
famili,furlough,1
fanci,bunk,1
fanci,idea,1
favorit,color,1
feel,peopl,1
feel,equal,1
feel,free,1
feel,home,1
feel,inferior,3
feel,natur,1
feel,negro,2
feel,satisfi,1
feel,soldier,1
feel,talk,1
feel,unclear,3
feel,unequ,1
feel,white,3
feel,black,1
feel,detriment,1
feel,favorit,1
feel,moral,1
feel,race,1
feel,soldier,1
feel,unclear,1
feel,uniti,1
feel,white,2
feel,peopl,1
feel,white,1
fellow,negro,1
fellow,negro,1
fellow,react,1
fellow,sleep,1
fellow,soldier,1
fellow,south,1
fellow,stand,1
fellow,soldier,1
fellow,white,1
fight,battl,1
fight,countri,1
fight,disord,1
fight,enemi,1
fight,equal,1
fight,feel,1
fight,fellow,1
fight,forget,1
fight,freedom,1
fight,harder,1
fight,interspers,1
fight,kill,1
fight,mix,1
fight,negro,3
fight,peopl,1
fight,race,1
fight,reason,1
fight,right,1
fight,ring,1
fight,riot,1
fight,separ,3
fight,soldier,1
fight,sort,1
fight,southern,1
fight,time,1
fight,top,1
fight,troubl,1
fight,unit,1
fight,war,2
fight,white,3
fight,white,2
fight,liber,1
fight,war,1
fight,mark,1
fight,outfit,1
fight,unit,1
fine,child,1
fine,peopl,1
finish,war,1
fire,rang,1
outfit,white,1
fight,drop,1
follow,offic,1
food,armi,1
food,ration,1
fool,lot,1
forc,obei,1
forget,race,1
form,troubl,1
fratern,negro,1
free,act,1
free,talk,1
fresh,mind,1
friction,color,1
friction,elimin,1
friction,negro,1
friction,negro,1
friction,negro,1
friction,race,1
friction,time,1
friction,troubl,1
friction,unclear,1
friction,white,3
friction,white,1
friction,white,1
function,unit,1
furlough,outfit,1
futur,life,1
futur,war,1
gain,basic,1
gain,reput,1
gather,negro,1
gradual,process,1
grate,armi,1
grave,mistak,1
grudg,negro,1
gut,foot,1
habit,color,1
habit,live,1
habit,race,2
habit,respect,1
habit,standard,1
hall,sleep,2
handl,race,1
happen,negro,1
happier,buddi,1
happier,leav,1
happier,negro,1
happier,outfit,1
hard,break,1
hard,custom,1
hard,feel,2
hard,job,1
hard,race,1
hard,stamp,1
hard,white,1
harmoni,combin,1
harmoni,develop,1
harmoni,discord,1
harmoni,organ,1
harmoni,result,1
hate,negro,1
hatr,color,1
hatr,black,1
hatr,white,1
health,race,1
heart,fight,1
heart,soldier,1
heat,bad,1
heat,condit,1
heat,argument,1
heat,troubl,1
hell,countri,1
hell,pai,1
hold,negro,1
hold,soldier,1
hold,white,1
home,live,1
hostil,attitud,1
hostil,southern,1
hostil,white,1
hot,water,1
human,diseas,1
human,fight,1
human,natur,2
human,question,1
hurri,wait,1
hurri,fool,1
hygen,moral,1
idea,bunk,1
idea,chang,1
idea,condit,1
idea,eat,1
idea,futur,1
idea,life,1
idea,live,1
idea,mix,1
idea,race,1
idea,separ,1
idea,sleep,1
idea,soldier,1
idea,superior,1
idea,white,2
ideal,live,1
ideal,mean,1
ignor,race,1
impair,effici,1
imposs,harmoni,1
impract,hostil,1
impress,outfit,1
impress,segreg,1
inborn,avers,1
includ,negro,1
includ,offic,2
includ,outfit,1
independ,feel,1
individu,color,1
individu,feel,1
