Topic,Topic slope,Topic slope SE
0,-0.0007333877071753656,0.00015996387122963336
1,0.0018040328831855706,0.0011325850510358667
2,0.0006652807478098892,0.0005873432784230905
3,0.0020833925683313432,0.0007169835147284508
4,-0.0019087540488480694,0.00027153238527530325
5,0.006034915593872139,0.0014460875936439343
6,-0.0009692710627514317,0.0004985143288493664
7,9.844125245007398e-05,0.00043146512184336056
8,-0.0006516540018515131,0.0010386691176164052
9,0.00030965027659309155,0.0004355752799622939
10,-0.0007362954926480699,0.001251338835205013
11,-0.0008586686532730547,0.0005594103887204948
12,-0.0007076877911043411,0.0002511215551980864
13,-0.0007186628355531452,0.0002583760309515873
14,0.00030682063869727787,0.0004475254465009684
15,0.001152554642419529,0.0003760743356586226
16,-0.0010063000075827564,0.0002715979764518698
17,-0.0009960374267932951,0.0006326386826426868
18,0.0008771561365725884,0.00042580464342457036
19,-0.001829008033436099,0.0003542525481390051
20,-1.064749796470099e-05,0.00016142159144149213
21,-0.0005684000098074845,0.00017691170716515938
22,0.00027630601046376563,0.00019555875478484666
23,0.00102656713821064,0.00020970284494183363
24,-0.000536013544903796,0.0004508882654138036
25,0.0006798608920710079,0.0002352895552634786
26,-0.0003530686541132786,0.0005516191940308189
27,-0.002036517803448981,0.0006298512919348197
28,-0.001270359645091964,0.0003464370622182732
29,0.0006761273963068687,0.00038896900475062103
