,slug,page_rank,btw_cent,deg_cent,x,y,description,language,commits,prog_go,prog_ruby,prog_cpp,prog_csharp,prog_clang,prog_objc,prog_objcpp,prog_rust,prog_perl,prog_swift,prog_haskell,prog_groovy,prog_clojure,prog_ocaml,prog_dotnet,prog_vbdotnet,prog_fsharp,prog_fortran,prog_commonlisp,prog_coq,prog_gen_all,prog_python,prog_scala,prog_rlang,prog_matlab,prog_stata,prog_sas,prog_julia,prog_stat_all,prog_javascript,prog_java,prog_typescript,prog_php,prog_html,prog_css,prog_dart,prog_kotlin,prog_lua,prog_coffeescript,prog_dm,prog_erlang,prog_elixer,prog_jsonnet,prog_elm,prog_webassembly,prog_purescript,prog_web_all,sys_general,sys_os,sys_windows,sys_linux,sys_mac,sys_modern,sys_bsd,sys_android,sys_solaris,sys_virtual,sys_handheld,sys_emulapi,sys_grouping,sys_other,system_all,topics_ai,topics_dataviz,app_cryptocurrency,app_blockchain_all,app_business_all,app_database_all
162,apache/dubbo,0.0014780779118841575,3.20677074599066e-05,0.014457831325301207,20.585146,13.554944,"apache dubbo is a high-performance, java based, open source rpc framework.",Java,4091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,paularmstrong/normalizr,0.0042698462464307516,0.0031092031117630125,0.19759036144578315,4.7797856,4.6531925,normalizes nested json according to a schema,JavaScript,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,dbeaver/dbeaver,0.0011318107647110994,9.350291729640279e-05,0.014457831325301207,20.454472,14.6053915,free universal database tool and sql client,Java,14739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,rclone/rclone,0.0018733396308696078,0.0009234928084351549,0.04096385542168675,-16.939108,-19.63103,"""rsync for cloud storage"" - google drive, amazon drive, s3, dropbox, backblaze b2, one drive, swift, hubic, cloudfiles, google cloud storage, yandex files",Go,3834,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,highlightjs/highlight.js,0.004356436908152111,0.01090837985507385,0.12289156626506025,-4.3473644,-5.0771494,javascript syntax highlighter,JavaScript,5517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,d2l-ai/d2l-zh,0.0022669698576147776,0.0048192771084337345,0.004819277108433735,16.523266,23.811262,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被全球140所大学采用教学。,Python,2931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,apache/skywalking,0.0020656052556369095,0.0032384229917352464,0.02168674698795181,19.921923,12.019293,"apm, application performance monitoring system",Java,5390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,grafana/grafana,0.003810149121993604,0.0044460084081652685,0.18313253012048195,6.8529277,9.904628,"the open and composable observability and data visualization platform. visualize metrics, logs, and traces from multiple sources like prometheus, loki, elasticsearch, influxdb, postgres and many more. ",TypeScript,23508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
170,veggiemonk/awesome-docker,0.004970415137810853,0.016240468350925078,0.20722891566265061,11.157869,9.874788,:whale: a curated list of docker resources and projects,,2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
171,romkatv/powerlevel10k,0.0010336887153394353,0.00011565553988433372,0.012048192771084338,-9.254056,-10.899715,a zsh theme,Shell,2916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,request/request,0.0022421793479925445,0.0018228450128766481,0.06746987951807229,-4.1628876,-0.73453194,🏊🏾 simplified http request client.,JavaScript,2268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,react-native-elements/react-native-elements,0.0012738825733215483,0.00025191992983861726,0.028915662650602414,7.86673,-3.916615,cross-platform react native ui toolkit,JavaScript,1673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,astaxie/build-web-application-with-golang,0.0012584157559353078,0.0005380979095755264,0.014457831325301207,-20.379263,-19.54146,a golang ebook intro how to build a web with golang,Go,5108,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,nsqio/nsq,0.0010962511224082718,0.002301768499620093,0.016867469879518072,16.644173,9.250604,a realtime distributed messaging platform,Go,2095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,tornadoweb/tornado,0.004985190479844589,0.013225734754596954,0.2096385542168675,13.849434,8.56109,"tornado is a python web framework and asynchronous networking library, originally developed at friendfeed.",Python,4147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,localForage/localForage,0.0023545884473104286,0.003009163619482785,0.07228915662650603,-3.501917,-1.6092846,"💾 offline storage, improved. wraps indexeddb, websql, or localstorage using a simple but powerful api.",JavaScript,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,defunkt/jquery-pjax,0.0010653626051212051,0.00010347029413420466,0.014457831325301207,-11.214054,-13.336291,pushstate + ajax = pjax,JavaScript,508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,ctripcorp/apollo,0.000927627715721411,0.0,0.004819277108433735,19.610765,12.398712,apollo（阿波罗）是携程框架部门研发的分布式配置中心，能够集中化管理应用不同环境、不同集群的配置，配置修改后能够实时推送到应用端，并且具备规范的权限、流程治理等特性，适用于微服务配置管理场景。,Java,2319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,lydiahallie/javascript-questions,0.0015126792368586142,0.00041354107288235875,0.04337349397590362,16.253275,-4.811181,"a long list of (advanced) javascript questions, and their explanations :sparkles:  ",,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,drduh/macOS-Security-and-Privacy-Guide,0.0024884898368821933,0.012625620861214762,0.05301204819277109,0.012962055,-2.2323723,guide to securing and improving privacy on macos,Python,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
182,sampotts/plyr,0.003939193255296014,0.0025141075887619873,0.1855421686746988,10.160387,4.566147,"a simple html5, youtube and vimeo player",JavaScript,1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,NativeScript/NativeScript,0.0011609588676505629,0.00024026858920429817,0.024096385542168676,-12.282958,5.3568015,"nativescript empowers you to access native api's from javascript directly. angular, vue, svelte, react and you name it compatible.",TypeScript,5949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Netflix/Hystrix,0.0006966987716230152,0.0,0.004819277108433735,8.948497,21.873049,"hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",Java,2109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,nefe/You-Dont-Need-jQuery,0.0009536309320315254,3.1423962038969125e-05,0.02168674698795181,1.6244187,1.3954363,"examples of how to do query, style, dom, ajax, event etc like jquery with plain javascript.",JavaScript,602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,docsifyjs/docsify,0.0022905756906035075,0.0008016496355704678,0.0819277108433735,5.2443705,-8.625728,🃏 a magical documentation site generator.,JavaScript,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,ElemeFE/element,0.004182384393228312,0.0026956018840759684,0.1951807228915663,11.180607,3.919028,a vue.js 2.0 ui toolkit for web,Vue,4368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,JohnCoates/Aerial,0.000983540422277954,0.00010779434054004087,0.014457831325301207,-12.518662,5.711571,apple tv aerial screensaver for mac,Swift,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
189,apache/spark,0.0020212041919868435,0.008952377457742135,0.024096385542168676,14.067755,17.089897,apache spark - a unified analytics engine for large-scale data processing,Scala,26089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,vapor/vapor,0.0014351747830828637,0.0004616836081293519,0.01927710843373494,-12.671878,9.273259,💧 a server-side swift web framework.,Swift,5316,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,airbnb/lottie-ios,0.0014554651234292633,0.0018007318147288875,0.02168674698795181,-14.980158,8.362326,an ios library to natively render after effects vector animations,Swift,828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
