"Source","Target","Weight"
"holco","invac",1
"holco","kbroot",1
"holco","kohldp",1
"holco","ltob",1
"holco","mdu",1
"holco","oklhmg",1
"holco","srv",1
"holco","stgtg",1
"holco","suzfod",1
"holco","symt",1
"holco","unpacf",1
"holco","wpsrss",1
"holco","wshpst",1
"holco","xylein",1
"holco","msccmp",1
"holco","nrgeng",1
"nrgyld","bakint",1
"nrgyld","dgrltr",1
"nrgyld","dowch",1
"nrgyld","encwir",1
"nrgyld","fstdes",1
"nrgyld","geonco",1
"nrgyld","gildan",1
"nrgyld","hhn",1
"nrgyld","invac",1
"nrgyld","kbroot",1
"nrgyld","kohldp",1
"nrgyld","ltob",1
"nrgyld","mdu",1
"nrgyld","oklhmg",1
"nrgyld","srv",1
"nrgyld","stgtg",1
"nrgyld","suzfod",1
"nrgyld","symt",1
"nrgyld","unpacf",1
"nrgyld","wpsrss",1
"nrgyld","wshpst",1
"nrgyld","xylein",1
"nrgyld","msccmp",1
"nrgyld","nrgeng",1
"bakint","dgrltr",1
"bakint","dowch",1
"bakint","encwir",1
"bakint","fstdes",1
"bakint","geonco",1
"bakint","gildan",1
"bakint","hhn",1
"bakint","invac",1
"bakint","kbroot",1
"bakint","kohldp",1
"bakint","ltob",1
"bakint","mdu",1
"bakint","oklhmg",1
"bakint","srv",1
"bakint","stgtg",1
"bakint","suzfod",1
"bakint","symt",1
"bakint","unpacf",1
"bakint","wpsrss",1
"bakint","wshpst",1
"bakint","xylein",1
"bakint","msccmp",1
"bakint","nrgeng",1
"dgrltr","dowch",1
"dgrltr","encwir",1
"dgrltr","fstdes",1
"dgrltr","geonco",1
"dgrltr","gildan",1
"dgrltr","hhn",1
"dgrltr","invac",1
"dgrltr","kbroot",1
"dgrltr","kohldp",1
"dgrltr","ltob",1
"dgrltr","mdu",1
"dgrltr","oklhmg",1
"dgrltr","srv",1
"dgrltr","stgtg",1
"dgrltr","suzfod",1
"dgrltr","symt",1
"dgrltr","unpacf",1
"dgrltr","wpsrss",1
"dgrltr","wshpst",1
"dgrltr","xylein",1
"dgrltr","msccmp",1
"dgrltr","nrgeng",1
"dowch","encwir",1
"dowch","fstdes",1
"dowch","geonco",1
"dowch","gildan",1
"dowch","hhn",1
"dowch","invac",1
"dowch","kbroot",1
"dowch","kohldp",1
"dowch","ltob",1
"dowch","mdu",1
