Year,GEO.id,GEO.display_label,County,State,State_Abbr,Households,Poverty_Household,ALICE_Household,Above_ALICE_Household,ALICE_Threshold_HH_under_65,ALICE_Threshold_HH_65_and_over,Source_American_Community_Survey,Percent_ALICE_Households,Percent_Poverty_Households
2010,41065,"Wasco County, Oregon",Wasco,Oregon,OR,9990,1420,3165,5405,40000,35000,3-Year,31.68,14.21
2012,41065,"Wasco County, Oregon",Wasco,Oregon,OR,9693,1160,2965,5568,40000,35000,3-Year,30.59,11.97
2014,41065,"Wasco County, Oregon",Wasco,Oregon,OR,9595,1237,3600,4758,45000,40000,5-Year,37.52,12.89
2016,41065,"Wasco County, Oregon",Wasco,Oregon,OR,9883,1292,3241,5350,45000,40000,5-Year,32.79,13.07
2018,41065,"Wasco County, Oregon",Wasco,Oregon,OR,10266,1307,3562,5397,50000,45000,5-Year,34.7,12.73
2010,41067,"Washington County, Oregon",Washington,Oregon,OR,199027,16716,53480,128831,45000,40000,1-Year,26.87,8.4
2012,41067,"Washington County, Oregon",Washington,Oregon,OR,203250,21238,54592,127420,50000,45000,1-Year,26.86,10.45
2014,41067,"Washington County, Oregon",Washington,Oregon,OR,209426,22786,55672,130968,50000,50000,1-Year,26.58,10.88
2016,41067,"Washington County, Oregon",Washington,Oregon,OR,213820,17512,63767,132541,60000,50000,1-Year,29.82,8.19
2018,41067,"Washington County, Oregon",Washington,Oregon,OR,225955,17062,80818,128075,75000,60000,1-Year,35.77,7.55
2010,53039,"Klickitat County, Washington",Klickitat,Washington,WA,8470,1467,1974,5029,30000,30000,3-Year,23.31,17.32
2012,53039,"Klickitat County, Washington",Klickitat,Washington,WA,8209,1308,1941,4960,35000,30000,3-Year,23.64,15.93
2014,53039,"Klickitat County, Washington",Klickitat,Washington,WA,7959,1006,2678,4275,45000,40000,5-Year,33.65,12.64
2016,53039,"Klickitat County, Washington",Klickitat,Washington,WA,8069,1158,2769,4142,50000,45000,5-Year,34.32,14.35
2018,53039,"Klickitat County, Washington",Klickitat,Washington,WA,8539,1102,2687,4750,50000,45000,5-Year,31.47,12.91
2010,53059,"Skamania County, Washington",Skamania,Washington,WA,4514,503,1038,2973,35000,35000,5-Year,23,11.14
2012,53059,"Skamania County, Washington",Skamania,Washington,WA,4378,634,840,2904,40000,35000,5-Year,19.19,14.48
2014,53059,"Skamania County, Washington",Skamania,Washington,WA,4433,703,1072,2658,45000,35000,5-Year,24.18,15.86
2016,53059,"Skamania County, Washington",Skamania,Washington,WA,4577,736,1252,2589,45000,40000,5-Year,27.35,16.08
2018,53059,"Skamania County, Washington",Skamania,Washington,WA,4685,637,1308,2740,50000,45000,5-Year,27.92,13.6
