FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
33,New Hampshire,NH,0.09,119770,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.491859397177924,,0.508140602822076,0.114,29740,0.53,0.47,3.25,66449000,2016
34,New Jersey,NJ,0.103,919030,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.673917064731293,,0.326082935268707,0.135,268080,0.7,0.3,3.16,495839000,2016
35,New Mexico,NM,0.158,327930,1.65,SNAP,1.85,Other Nutrition Program,0.728265178544202,0.0208276156496813,0.250907205806117,0.256,125210,0.74,0.26,2.86,160282000,2016
36,New York,NY,0.119,2352940,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.741276870638435,,0.25873587936794,0.179,750000,0.67,0.33,3.09,1242696000,2016
37,North Carolina,NC,0.154,1565910,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.718221353717647,,0.281785032345409,0.209,479220,0.71,0.29,2.88,770900000,2016
38,North Dakota,ND,0.074,55710,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.633997486986178,,0.366002513013822,0.094,16440,0.58,0.42,3.06,29141000,2016
39,Ohio,OH,0.151,1758310,1.3,SNAP,1.85,Other Nutrition Program,0.52664774698432,0.117948484624441,0.355472015742389,0.203,528960,0.66,0.34,2.76,829430000,2016
40,Oklahoma,OK,0.162,635740,1.3,SNAP,1.85,Other Nutrition Program,0.517098184792525,0.149526536005285,0.333170793091515,0.227,218770,0.66,0.34,2.88,313377000,2016
41,Oregon,OR,0.129,527370,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.703604679826308,,0.296395320173692,0.2,173780,0.63,0.37,2.93,264279000,2016
42,Pennsylvania,PA,0.125,1599520,1.6,SNAP,1.85,Other Nutrition Program,0.584925477643293,0.0417187656296889,0.373261978593578,0.169,452690,0.66,0.34,3.01,821658000,2016
44,Rhode Island,RI,0.121,128330,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.655107924881166,,0.344892075118834,0.174,36230,0.74,0.26,3.12,68489000,2016
45,South Carolina,SC,0.139,687880,1.3,SNAP,1.85,Other Nutrition Program,0.545109612141653,0.156815142175961,0.298177007617608,0.189,207840,0.67,0.33,2.86,335759000,2016
46,South Dakota,SD,0.117,100990,1.3,SNAP,1.85,Other Nutrition Program,0.473017130408951,0.127042281414001,0.400039607881969,0.165,35360,0.63,0.37,3.01,51929000,2016
47,Tennessee,TN,0.145,967430,1.3,SNAP,1.85,Other Nutrition Program,0.554314007214992,0.162926516647199,0.282676782816328,0.197,295570,0.71,0.29,3,496487000,2016
48,Texas,TX,0.154,4277540,1.65,SNAP,1.85,Other Nutrition Program,0.637572062447107,0.0324251789579992,0.33011263483217,0.23,1676740,0.66,0.34,2.67,1953920000,2016
49,Utah,UT,0.125,382490,1.3,SNAP,1.85,Other Nutrition Program,0.442024628094852,0.134931632199535,0.423252895500536,0.154,142320,0.53,0.47,2.82,184235000,2016
50,Vermont,VT,0.121,75360,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.585987261146497,,0.414012738853503,0.157,18620,0.58,0.42,3.39,43688000,2016
51,Virginia,VA,0.106,893720,1.3,SNAP,1.85,Other Nutrition Program,0.491283623506244,0.136731862328246,0.37199570335228,0.133,249170,0.64,0.36,3.07,468094000,2016
53,Washington,WA,0.12,872720,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.670260793839949,,0.329762123017692,0.175,284480,0.61,0.39,3.01,448899000,2016
54,West Virginia,WV,0.146,267280,1.3,SNAP,1.85,Other Nutrition Program,0.54336276563903,0.129190362167016,0.327446872193954,0.202,75970,0.72,0.28,2.77,126636000,2016
55,Wisconsin,WI,0.105,609360,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.693317579099383,,0.306682420900617,0.16,205660,0.64,0.36,2.79,290129000,2016
56,Wyoming,WY,0.126,73830,1.3,SNAP,1.85,Other Nutrition Program,0.415007449546255,0.159962075037248,0.425030475416497,0.167,23500,0.56,0.44,3.06,38653000,2016
1,Alabama,AL,0.163,795760,1.3,SNAP,1.85,Other Nutrition Program,0.519101236553735,0.160626319493315,0.320285010555947,0.223,243880,0.72,0.28,2.98,404180000,2017
2,Alaska,AK,0.136,100310,1.3,SNAP,1.85,Other Nutrition Program,0.445020436646396,0.152028710995913,0.404047452896022,0.187,34690,0.59,0.41,3.37,57721000,2017
4,Arizona,AZ,0.14,979170,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.648345026910547,,0.351654973089453,0.213,348550,0.67,0.33,2.89,482358000,2017
5,Arkansas,AR,0.173,518960,1.3,SNAP,1.85,Other Nutrition Program,0.505838600277478,0.1721134576846,0.322028672730076,0.236,167440,0.7,0.3,2.79,246939000,2017
6,California,CA,0.11,4354400,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.753063567885357,,0.246945618225243,0.181,1638430,0.63,0.37,3.2,2381146000,2017
8,Colorado,CO,0.106,596150,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.651614526545333,,0.348419022058207,0.14,177360,0.59,0.41,3.24,329732000,2017
9,Connecticut,CT,0.113,406810,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.562498463656252,,0.437526117843711,0.155,115240,0.63,0.37,3.27,227321000,2017
10,Delaware,DE,0.122,117320,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.659989771564951,,0.340010228435049,0.17,34750,0.69,0.31,3.12,62450000,2017
11,District of Columbia,DC,0.11,76550,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.722011757021555,,0.277988242978446,0.212,26450,0.71,0.29,3.95,51543000,2017
12,Florida,FL,0.134,2806770,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.723147960110732,,0.276869853960246,0.204,854880,0.68,0.32,3.22,1540091000,2017
13,Georgia,GA,0.144,1501680,1.3,SNAP,1.85,Other Nutrition Program,0.509882265196313,0.161166160566832,0.328984870278621,0.2,503370,0.68,0.32,2.93,749671000,2017
15,Hawaii,HI,0.113,161270,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.517641222794072,,0.482358777205928,0.175,53540,0.43,0.57,3.3,90737000,2017
16,Idaho,ID,0.123,210420,1.3,SNAP,1.85,Other Nutrition Program,0.457085828343313,0.180923866552609,0.362085353103317,0.158,69920,0.65,0.35,2.94,105626000,2017
17,Illinois,IL,0.109,1395970,1.65,SNAP,1.85,Other Nutrition Program,0.625615163649649,0.0254948172238658,0.349011798247813,0.157,453260,0.66,0.34,2.8,668124000,2017
18,Indiana,IN,0.133,887070,1.3,SNAP,1.85,Other Nutrition Program,0.517084333818075,0.141262809022963,0.341461215011217,0.174,273380,0.67,0.33,2.62,396443000,2017
19,Iowa,IA,0.109,341890,1.6,SNAP,1.85,Other Nutrition Program,0.523969697856036,0.0488461200971073,0.42692093948346,0.153,111520,0.58,0.42,2.7,157367000,2017
20,Kansas,KS,0.127,370860,1.3,SNAP,1.85,Other Nutrition Program,0.447176832227795,0.153831634579086,0.399234212371245,0.183,130210,0.63,0.37,2.86,181199000,2017
21,Kentucky,KY,0.149,662360,1.3,SNAP,1.85,Other Nutrition Program,0.560450510296516,0.107856754634942,0.33157195482819,0.184,186660,0.7,0.3,2.66,300483000,2017
22,Louisiana,LA,0.165,773850,1.3,SNAP,1.85,Other Nutrition Program,0.591122310525296,0.116366220843833,0.292524391031854,0.23,255640,0.71,0.29,3.01,396905000,2017
23,Maine,ME,0.129,172650,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.567911960613959,,0.432088039386041,0.185,47020,0.56,0.44,3.5,103223000,2017
24,Maryland,MD,0.107,650200,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.628068286681021,,0.371931713318979,0.152,204660,0.61,0.39,3.14,347927000,2017
25,Massachusetts,MA,0.09,616090,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.667759580580759,,0.332256650814005,0.117,159950,0.65,0.35,3.55,373245000,2017
26,Michigan,MI,0.137,1369250,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.715837137118861,,0.284177469417564,0.159,345130,0.68,0.32,2.79,652838000,2017
27,Minnesota,MN,0.091,504760,1.65,SNAP,1.85,Other Nutrition Program,0.57334178619542,0.0276567081385213,0.39896188287503,0.126,163310,0.67,0.33,3,258233000,2017
28,Mississippi,MS,0.192,573610,1.3,SNAP,1.85,Other Nutrition Program,0.544219940377609,0.140914558672269,0.314882934397936,0.229,163530,0.71,0.29,2.93,286997000,2017
29,Missouri,MO,0.142,865400,1.3,SNAP,1.85,Other Nutrition Program,0.487196672059163,0.148301363531315,0.364317078807488,0.175,243110,0.65,0.35,2.78,409933000,2017
30,Montana,MT,0.111,116120,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.663021012745436,,0.336978987254564,0.161,36910,0.57,0.43,2.96,58669000,2017
31,Nebraska,NE,0.116,223170,1.3,SNAP,1.85,Other Nutrition Program,0.422951113500919,0.143388448268136,0.433660438230945,0.174,82370,0.63,0.37,2.83,107760000,2017
32,Nevada,NV,0.122,365160,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.722286121152372,,0.277713878847628,0.2,136800,0.6,0.4,3.05,190010000,2017
33,New Hampshire,NH,0.091,122860,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.479814422920397,,0.520185577079603,0.123,31640,0.53,0.47,3.31,69502000,2017
34,New Jersey,NJ,0.096,865900,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.654221041690726,,0.345778958309274,0.132,260340,0.67,0.33,3.24,478385000,2017
35,New Mexico,NM,0.155,324000,1.65,SNAP,1.85,Other Nutrition Program,0.695277777777778,0.0341666666666667,0.270246913580247,0.241,118030,0.73,0.27,2.87,158536000,2017
36,New York,NY,0.114,2261250,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.746971807628524,,0.253037037037037,0.176,732300,0.66,0.34,3.14,1210704000,2017
37,North Carolina,NC,0.146,1503050,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.696650144705765,,0.303363161571471,0.201,461630,0.67,0.33,2.87,735321000,2017
38,North Dakota,ND,0.073,54930,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.618059348261424,,0.381940651738576,0.098,16900,0.55,0.45,3.07,28813000,2017
39,Ohio,OH,0.145,1691910,1.3,SNAP,1.85,Other Nutrition Program,0.505168714647942,0.127288094520394,0.367537280351792,0.196,510030,0.66,0.34,2.76,797169000,2017
40,Oklahoma,OK,0.158,621370,1.3,SNAP,1.85,Other Nutrition Program,0.489949627436149,0.163783253134203,0.346315399842284,0.222,213720,0.64,0.36,2.87,304698000,2017
41,Oregon,OR,0.123,510080,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.679834535759097,,0.320165464240903,0.189,165290,0.63,0.37,2.97,258439000,2017
42,Pennsylvania,PA,0.12,1534710,1.6,SNAP,1.85,Other Nutrition Program,0.569364896299627,0.0330746525402193,0.397651673606088,0.164,437340,0.63,0.37,3.04,797438000,2017
44,Rhode Island,RI,0.114,120590,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.614893440583796,,0.385106559416204,0.173,35760,0.63,0.37,3.23,66402000,2017
45,South Carolina,SC,0.135,679990,1.3,SNAP,1.85,Other Nutrition Program,0.54790511625171,0.151869880439418,0.30025441550611,0.183,202110,0.68,0.32,2.8,324978000,2017
46,South Dakota,SD,0.114,99190,1.3,SNAP,1.85,Other Nutrition Program,0.454985381590886,0.118963605202137,0.426051013206977,0.164,34970,0.58,0.42,3.02,51050000,2017
47,Tennessee,TN,0.139,934310,1.3,SNAP,1.85,Other Nutrition Program,0.536995215720692,0.150356947908082,0.312465883914333,0.189,285770,0.69,0.31,2.96,472085000,2017
48,Texas,TX,0.149,4217470,1.65,SNAP,1.85,Other Nutrition Program,0.612381356595305,0.0337477207899523,0.353911231140945,0.225,1658680,0.63,0.37,2.71,1949246000,2017
49,Utah,UT,0.121,373850,1.3,SNAP,1.85,Other Nutrition Program,0.399679015647987,0.142597298381704,0.45775043466631,0.147,135940,0.51,0.49,2.81,179279000,2017
50,Vermont,VT,0.119,74520,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.595947396672034,,0.404052603327966,0.159,18760,0.61,0.39,3.38,42994000,2017
51,Virginia,VA,0.102,863390,1.3,SNAP,1.85,Other Nutrition Program,0.483709563464946,0.135280695861662,0.381241385700553,0.132,247470,0.62,0.38,3.03,446691000,2017
53,Washington,WA,0.115,848990,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.649077138717771,,0.35092286128223,0.173,284760,0.57,0.43,3.04,440879000,2017
54,West Virginia,WV,0.148,268070,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.687208564927071,,0.312791435072929,0.206,76970,0.65,0.35,2.71,123886000,2017
55,Wisconsin,WI,0.1,578480,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.68975591204536,,0.31027866131932,0.154,197290,0.62,0.38,2.77,273911000,2017
56,Wyoming,WY,0.123,71060,1.3,SNAP,1.85,Other Nutrition Program,0.397973543484379,0.143962848297214,0.458063608218407,0.174,23960,0.54,0.46,3.05,36970000,2017
