FIPS,State Name,State,Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
35,New Mexico,NM,0.172,358770,1.65,SNAP,1.85,Other Nutrition Program,0.710371547230816,0.0383253895253226,0.251303063243861,0.272,136070,0.75,0.25,2.77,175620000,2014
36,New York,NY,0.135,2672460,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.750941080502608,,0.249070145109749,0.209,884170,0.68,0.32,2.97,1400548000,2014
37,North Carolina,NC,0.177,1764800,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.743919990933817,,0.256080009066183,0.246,564240,0.72,0.28,2.81,875736000,2014
38,North Dakota,ND,0.08,59320,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.596089008766015,,0.404079568442347,0.114,19070,0.55,0.45,2.92,30599000,2014
39,Ohio,OH,0.168,1943340,1.3,SNAP,1.85,Other Nutrition Program,0.523480193892988,0.129246554900326,0.347232084967119,0.238,628580,0.67,0.33,2.66,911848000,2014
40,Oklahoma,OK,0.168,652090,1.3,SNAP,1.85,Other Nutrition Program,0.498688831296293,0.156236102378506,0.344937048566916,0.238,226390,0.65,0.35,2.78,320603000,2014
41,Oregon,OR,0.152,605100,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.740489175342919,,0.259527350851099,0.245,210290,0.68,0.32,2.84,303833000,2014
42,Pennsylvania,PA,0.138,1760450,1.6,SNAP,1.85,Other Nutrition Program,0.577102445397484,0.0530148541566077,0.3698429378852,0.193,521750,0.65,0.35,2.88,895714000,2014
44,Rhode Island,RI,0.14,147460,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.63929201139292,,0.360775803607758,0.203,43210,0.7,0.3,2.93,76405000,2014
45,South Carolina,SC,0.164,794590,1.3,SNAP,1.85,Other Nutrition Program,0.563900879698964,0.158912143369537,0.276746498194037,0.234,253340,0.71,0.29,2.8,393252000,2014
