FIPS,State,"County, State",Food Insecurity Rate,# of Food Insecure Persons,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ≤ Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,Child food insecurity rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall,Year
41047,OR,"Marion County, Oregon",0.11,36260,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.87,,0.13,0.194,16230,0.73,0.27,2.98,18423000,2017
41049,OR,"Morrow County, Oregon",0.083,930,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.96,,0.04,0.18,550,0.69,0.31,2.99,475000,2017
41051,OR,"Multnomah County, Oregon",0.138,108470,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.695,,0.305,0.187,28860,0.61,0.39,3.36,62216000,2017
41053,OR,"Polk County, Oregon",0.122,9710,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.715,,0.285,0.187,3480,0.63,0.37,3.16,5244000,2017
41055,OR,"Sherman County, Oregon",0.137,220,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.713,,0.287,0.192,50,0.4,0.6,3.56,134000,2017
41057,OR,"Tillamook County, Oregon",0.125,3230,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.809,,0.191,0.205,1010,0.75,0.25,3.16,1742000,2017
41059,OR,"Umatilla County, Oregon",0.115,8830,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.848,,0.152,0.205,4060,0.77,0.23,3.18,4795000,2017
41061,OR,"Union County, Oregon",0.148,3820,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.799,,0.201,0.22,1260,0.78,0.22,3.28,2139000,2017
41063,OR,"Wallowa County, Oregon",0.14,960,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.712,,0.288,0.22,270,0.7,0.3,3.11,509000,2017
41065,OR,"Wasco County, Oregon",0.113,2900,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.778,,0.222,0.177,1030,0.69,0.31,3.32,1644000,2017
41067,OR,"Washington County, Oregon",0.101,57730,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.648,,0.352,0.165,22570,0.55,0.45,3.2,31500000,2017
41069,OR,"Wheeler County, Oregon",0.14,200,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.897,,0.103,0.241,50,0.83,0.17,3.12,106000,2017
41071,OR,"Yamhill County, Oregon",0.108,11100,1.85,"SNAP, Other Nutrition Programs",1.85,"SNAP, Other Nutrition Programs",0.723,,0.277,0.188,4460,0.69,0.32,3.14,5952000,2017
53001,WA,"Adams County, Washington",0.076,1470,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.199,1350,0.78,0.22,3,754000,2017
53003,WA,"Asotin County, Washington",0.125,2790,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.819,,0.181,0.196,910,0.78,0.22,2.92,1391000,2017
53005,WA,"Benton County, Washington",0.106,20210,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.8,,0.2,0.188,9620,0.66,0.34,2.93,10109000,2017
53007,WA,"Chelan County, Washington",0.095,7110,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.914,,0.086,0.171,3100,0.65,0.35,3.39,4112000,2017
53009,WA,"Clallam County, Washington",0.145,10670,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.751,,0.249,0.24,3100,0.77,0.23,3.12,5681000,2017
53011,WA,"Clark County, Washington",0.115,52750,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.677,,0.323,0.177,20200,0.61,0.4,3.11,27953000,2017
53013,WA,"Columbia County, Washington",0.129,520,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.84,,0.16,0.199,150,0.98,0.02,3,266000,2017
53015,WA,"Cowlitz County, Washington",0.14,14510,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.777,,0.223,0.211,5020,0.68,0.32,2.96,7331000,2017
53017,WA,"Douglas County, Washington",0.092,3720,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.182,1950,0.79,0.21,3,1904000,2017
53019,WA,"Ferry County, Washington",0.18,1360,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.797,,0.203,0.265,370,0.76,0.24,3.05,708000,2017
53021,WA,"Franklin County, Washington",0.071,6340,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.186,5510,0.7,0.31,2.93,3172000,2017
53023,WA,"Garfield County, Washington",0.128,290,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.798,,0.202,0.196,100,0.83,0.17,3.03,150000,2017
53025,WA,"Grant County, Washington",0.094,8820,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.187,5260,0.76,0.24,2.95,4437000,2017
53027,WA,"Grays Harbor County, Washington",0.143,10200,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.818,,0.182,0.218,3260,0.72,0.28,3.3,5747000,2017
53029,WA,"Island County, Washington",0.117,9410,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.618,,0.382,0.184,2770,0.59,0.41,3.61,5802000,2017
53031,WA,"Jefferson County, Washington",0.13,3970,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.693,,0.307,0.212,850,0.69,0.31,4.04,2740000,2017
53033,WA,"King County, Washington",0.115,244170,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.587,,0.413,0.155,68000,0.5,0.5,3.55,147915000,2017
53035,WA,"Kitsap County, Washington",0.116,30000,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.596,,0.404,0.174,9400,0.51,0.49,3.22,16499000,2017
53037,WA,"Kittitas County, Washington",0.149,6500,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.674,,0.326,0.175,1360,0.55,0.45,3.5,3887000,2017
53039,WA,"Klickitat County, Washington",0.125,2650,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.876,,0.124,0.201,850,0.79,0.21,4.76,2150000,2017
53041,WA,"Lewis County, Washington",0.137,10410,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.831,,0.169,0.21,3490,0.8,0.2,3.13,5557000,2017
53043,WA,"Lincoln County, Washington",0.122,1260,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.692,,0.308,0.208,460,0.67,0.33,3.02,649000,2017
53045,WA,"Mason County, Washington",0.131,8030,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.778,,0.222,0.223,2670,0.78,0.22,3.1,4250000,2017
53047,WA,"Okanogan County, Washington",0.141,5840,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.95,,0.05,0.231,2230,0.83,0.17,2.96,2955000,2017
53049,WA,"Pacific County, Washington",0.141,2960,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.898,,0.102,0.225,810,0.83,0.18,4.38,2210000,2017
53051,WA,"Pend Oreille County, Washington",0.143,1870,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.761,,0.239,0.217,560,0.65,0.35,3.01,961000,2017
53053,WA,"Pierce County, Washington",0.132,111260,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.679,,0.321,0.186,37520,0.6,0.4,3.19,60630000,2017
53055,WA,"San Juan County, Washington",0.107,1730,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.671,,0.329,0.178,400,0.59,0.41,3.25,959000,2017
53057,WA,"Skagit County, Washington",0.113,13690,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.788,,0.212,0.189,5140,0.68,0.32,3.16,7393000,2017
53059,WA,"Skamania County, Washington",0.131,1510,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.748,,0.252,0.205,470,0.68,0.32,3.16,815000,2017
53061,WA,"Snohomish County, Washington",0.103,79670,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.591,,0.409,0.159,28210,0.5,0.5,3.27,44411000,2017
53063,WA,"Spokane County, Washington",0.141,69230,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.74,,0.26,0.2,22000,0.7,0.3,3,35421000,2017
53065,WA,"Stevens County, Washington",0.141,6180,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.8,,0.2,0.221,2140,0.85,0.15,3.08,3253000,2017
53067,WA,"Thurston County, Washington",0.123,33070,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.659,,0.341,0.181,10690,0.58,0.42,3.16,17838000,2017
53069,WA,"Wahkiakum County, Washington",0.128,520,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.731,,0.269,0.211,150,0.73,0.27,3.06,272000,2017
53071,WA,"Walla Walla County, Washington",0.111,6640,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.778,,0.222,0.177,2280,0.66,0.34,3.43,3891000,2017
53073,WA,"Whatcom County, Washington",0.132,28070,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.748,,0.252,0.178,7550,0.64,0.36,3.27,15675000,2017
53075,WA,"Whitman County, Washington",0.183,8760,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",0.717,,0.283,0.181,1310,0.67,0.33,3.58,5345000,2017
53077,WA,"Yakima County, Washington",0.094,23330,2,"SNAP, Other Nutrition Programs",2,"SNAP, Other Nutrition Programs",1,,0,0.205,15220,0.81,0.19,2.95,11725000,2017
