Topic,Topic slope,Topic slope SE
0,-0.00019848811936149657,0.0002979328517973828
1,-0.0016931371531838414,0.0010738172607391357
2,0.0013758021318920836,0.0005981392453402605
3,-0.0025282512422352675,0.0013048721608287597
4,-0.0009817196693829558,0.0014509059233632888
5,0.0003919663582202142,0.00027559665453550427
6,-0.00024102014716600626,0.0002599746207125596
7,-0.000667551956246197,0.00037967849750125416
8,0.000858318072400376,0.0003760336889723472
9,-0.0005561634988064123,0.00032744616483478467
10,-4.826059775361001e-05,0.0005406587683376055
11,0.0010573260943962084,0.0003541048640520246
12,-0.0005846268040186048,0.0003493146811024799
13,0.0007436683559282828,0.0007591680908519993
14,-0.0009682267940901384,0.00033297807030217385
15,0.00030630477496236335,0.0006263161947700441
16,-0.0010679827912339615,0.0011779821553885362
17,-0.0007386640883655371,0.00032459420355699395
18,0.004751475504194104,0.000826946844979462
19,-0.0010390312866080844,0.000684541713255264
20,-0.0005173222048305983,0.0005251376122464482
21,0.0023703647410038314,0.00047875408869318514
22,-0.0012140823928737652,0.0005066191738422185
23,0.00267445920321277,0.0009137651286327399
24,-0.00101560836611321,0.00028480018705437783
25,0.0006265871504283908,0.0007274266489762742
26,0.0002755152290854785,0.0004727798135996215
27,-0.0009307389921202488,0.0005611578458484679
28,-0.0015158703180360442,0.00034990271133637427
29,0.0031547501335181857,0.0005962779011024313
