distance,nearest_property_index,subscriber_index
0.029446962142256897,19121,818
0.029446962142256897,19121,819
0.08182786827732125,18747,820
0.08182786827732125,18747,821
0.08182786827732125,18747,822
0.08182786827732125,18747,823
0.08182786827732125,18747,824
0.08182786827732125,18747,825
0.08182786827732125,18747,826
0.08182786827732125,18747,827
0.08182786827732125,18747,828
0.08182786827732125,18747,829
0.08182786827732125,18747,830
0.06272168833177501,487110,831
0.06272168833177501,487110,832
0.14775917309651,484004,833
0.14775917309651,484004,834
0.14775917309651,484004,835
0.01839248999808863,472558,836
0.01839248999808863,472558,837
0.22738420646616458,408963,838
0.22738420646616458,408963,839
0.06512917967179023,473478,840
0.06512917967179023,473478,841
0.03864484899601876,468271,842
0.03864484899601876,468271,843
0.08410268277107094,21457,844
0.04393127816837411,20950,845
0.02584949676152455,16540,846
0.024395033516672115,16535,847
0.02052268488661583,16539,848
0.00568252042622865,16600,849
0.18529702890882993,20106,850
0.06889826210691198,20106,851
0.014912620079085942,20038,852
0.05233466268472147,20109,853
0.06816769032332276,19535,854
0.012285133501832177,19566,855
0.03237910736578552,19538,856
0.09065477508706038,20078,857
0.01665116853674459,16487,858
0.01626244200022442,20217,859
0.19067421092561293,20058,860
0.05887425987963446,19565,861
0.047595079075994126,19673,862
0.03704701968823777,20073,863
0.05140294513181679,20134,864
0.16948338152370188,25393,865
0.011429558525713762,19135,866
0.1764086590444273,19588,867
0.05892748172076221,23126,868
0.09650066883865256,15881,869
0.014278128147316807,18817,870
0.0709868090924384,18751,871
0.048765638583330155,18385,872
0.005090739350774688,18622,873
0.08159517677607171,16111,874
0.05853738016033369,23802,875
0.010269098699536603,23805,876
0.1597225230433154,17353,877
0.057429504152590766,18181,878
0.06505246661096756,17651,879
0.14619672221003513,15193,880
0.14642013700431097,15193,881
0.0368534748719336,17607,882
0.020604013975656057,17663,883
0.10734376364001905,15052,884
0.008514972421321414,483496,885
0.09209925092781027,485778,886
0.12324835892761674,483393,887
0.12465218176029878,485668,888
0.02169779632152643,483877,889
0.02261577950441941,485852,890
0.06687907036527987,485850,891
0.06382096485855837,483919,892
