osm_id,name,addr.postcode,alt_name,bicycle,bridge,bridge.name,cycleway,highway,lanes,layer,maxspeed,maxspeed.variable,name_1,name_2,name_3,old_ref,oneway,pc_left,pc_right,postal_code,ref,sidewalk,source,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_base_4,tiger.name_direction_prefix,tiger.name_direction_suffix,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.name_type_4,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,turn.lanes,wikidata
"5040204",Portland Drive,"97031",,,,,,tertiary,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,
"5040206",Billings Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040218",Belmont Drive,,,,,,,tertiary,,,,,Columbia River Gorge N S A Bdy,,,,,,,,,,,,A41,,Belmont,Columbia River Gorge N S A Bdy,,,,,,Dr,,,,,,,,,,
"5040302",Dee Highway,"97031",,,,,,secondary,"2",,,,,,,,,,,,OR 281,,,,,,,,,,,,,,,,,,no,,,,,
"5040308",Central Vale Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040321",Pine Mont Drive,,National Forest Development Road 17,,,,,tertiary,,,,,,,,,,,,,NF 17,,,paved,,,,,,,,,,,,,,,,,,,,
"5040341",18th Street,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,18th,,,,,,,St,,,,,,,,,,
"5040360",Woodworth Road,,,,,,,tertiary,,,45 mph,,,,,,,,,,,,TIGER,asphalt,,,,,,,,,,,,,,,,,,,,
"5040405",Bassler Drive,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040433",Alameda Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Alameda,,,,,,,Rd,,,,,no,,,,,
"5040451",Ehrck Hill Drive,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Ehrck Hill,,,,,,,Dr,,,,,no,no,tiger_import_dch_v0.5_20070714,"158133601",,
"5040485",Country Club Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Country Club,,,,,,,Rd,,,,,no,,,,,
"5040492",Straight Hill Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040502",Fairview Drive,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Fairview,,,,,,,Dr,,,,,no,,,,,
"5040527",Baseline Drive,,,,,,,tertiary,,,,,Hood River Highway,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040536",Clear Creek Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040552",Neal Creek Mill Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Neal Mill,,,,,,,Rd,,,,,no,,,,,
"5040597",Eastside Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Eastside,,,,,,,Rd,,,,,no,,,,,
"5040604",,,,,,,,tertiary_link,,,,,,,,,yes,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040619",Thomsen Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040626",Methodist Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Methodist,,,,,,,Rd,,,,,no,,,,,
"5040660",Eastside Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Eastside,,,,,,,Rd,,,,,no,,,,,
"5040673",National Forest Development Road 17,,Surveyor's Ridge Road,,,,,tertiary,,,,,,,,,,,,,NF 17,,,unpaved,,,,,,,,,,,,,,,,,,,,
"5040688",Belmont Drive,,,,,,,secondary,,,,,,,,,,,,,,,,,A41,,Belmont,,,,,,,Dr,,,,,no,,,,,
"5040700",Belmont Drive,,,,,,,secondary,,,,,,,,,,,,,,,,,A41,,Belmont,,,,,,,Dr,,,,,no,,,,,
"5040720",May Street,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,May,,,,,,,St,,,,,,,,,,
"5040736",Davis Drive,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Davis,,,,,,,Dr,,,,,,,,,,
"5040739",Booth Hill Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040756",Baseline Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040801",Summit Drive,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Summit,,,,,,,Dr,,,,,no,,,,,
"5040810",Lolo Pass Road,,National Forest Development Road 18,yes,,,,tertiary,"1",,,,,,,,no,,,,NF 18,no,,,,,,,,,,,,,,,,,,,,,,
"5040815",Multnomah Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Multnomah,,,,,,,Rd,,,,,no,,,,,
"5040818",Rand Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Rand,,,,,,,Rd,,,,,,,,,,
"5040832",Fletcher Drive,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040837",Belmont Drive,,,,,,,secondary,,,,,,,,,,,,,,,,,A41,,Belmont,,,,,,,Dr,,,,,no,,,,,
"5040875",Markham Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Markham,,,,,,,Rd,,,,,no,,,,,
"5040911",Belmont Avenue,,,,,,,secondary,,,,,Brookside Road,,,,,,,,,,,,A41,,Belmont,Brookside,,,,,,Ave,Rd,,,,no,,,,,
"5040924",Country Club Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Country Club,,,,,,,Rd,,,,,no,,,,,
"5040948",Brookside Drive,,,,,,,tertiary,,,,,Columbia River Gorge N S A Bdy,,,,,,,,,,,,A41,,Brookside,Columbia River Gorge N S A Bdy,,,,,,Dr,,,,,no,,,,,
"5040976",Old Parkdale Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5040997",Clear Creek Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5041003",Woodworth Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5041022",Lingren Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Lingren,,,,,,,Rd,,,,,no,,,,,
"5041026",Lingren Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Lingren,,,,,,,Rd,,,,,no,,,,,
"5041043",22nd Street,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,22nd,,,,,,,St,,,,,no,,,,,
"5041052",Dethman Ridge Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Dethman Ridge,,,,,,,Rd,,,,,,,,,,
"5041055",Quinn Drive,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5041057",Pacific Avenue,,,,,,,tertiary,,,25 mph,,,,,,,,,,,,,,A41,,Pacific,,,,,,,Ave,,,,,no,,,,,
"5041119",Willow Flat Road,,,,,,,tertiary,,,,,,,,,,,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5041120",Lost Lake Road,,National Forest Development Road 13,,,,,tertiary,,,,,,,,,,,,,NF 13,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5041180",Chevron Drive,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,,Chevron,,,,,,,Dr,,,,,no,,,,,
"5041208",Stadelman Drive,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Stadelman,,,,,,,Dr,,,,,no,,,,,
"5041212",12th Street,,,,,,,tertiary,,,25 mph,,,,,,,,,,,,,,A41,,12th,,,,,,,St,,,,,no,,,,,
"5041228",Barrett Drive,"97031",,,,,,secondary,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,
"5041242",Binns Hill Road,,,,,,,tertiary,,,,,,,,,,,,,,,,unpaved,A41,,Binns Hill:Larch Mtn,,,,,,,Dr:Rd,,,,,,,,,,
"5041249",Glass Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,,Glass,,,,,,,Rd,,,,,no,,,,,
"5041252",Belmont Drive,,,,,,,secondary,,,,,,,,,,,,,,,,,A41,,Belmont,,,,,,,Dr,,,,,no,,,,,
"5041268",Hood River Highway,,,,,,,secondary,,,,,Cooper Spur Road,,,,,,,,OR 281,,TIGER,,,,,,,,,,,,,,,,,,,,,
"5083640",Rutledge Lane,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Rutledge,,,,,,,Ln,,,,,no,,,,,
"5083648",Sherar's Bridge Highway,,Oregon Highway 216,,,,,secondary,,,,,,,,,,,,,OR 216,,,,,,,,,,,,,,,,,,,,,,,
"5083701",Lone Rock Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Lone Rock,,,,,,,Rd,,,,,no,,,,,
"5083722",Old Highway 97,,,,,,,secondary,,,,,,,,US 97,,,,,,,,,A41,"Sherman, OR",Old Hwy 97,,,,,,,,,,,,no,,,,,
"5083745",1st Street,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",1st,,,,,,,St,,,,,no,,,,,
"5083749",Ball Lane,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Ball,,,,,,,Ln,,,,,no,,,,,
"5083752",Rutledge Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Rutledge,,,,,,,Rd,,,,,no,,,,,
"5083761",Van Gilder Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Van Gilder,,,,,,,Rd,,,,,no,,,,,
"5083769",Hay Canyon Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Hay Canyon,,,,,,,Rd,,,,,no,,,,,
"5083794",Wasco-Heppner Highway,,State Highway 206,,yes,,,secondary,,"1",,,,,,,,,,,OR 206,,,,A31,"Sherman, OR",Wasco-Heppner,State Route 206,State Highway 206,,,,,Hwy,,,,,no,,,,,
"5083800",,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",,,,,,,,,,,,,no,no,tiger_import_dch_v0.6_20070808,"175501193",,
"5083844",Celilo-Wasco Highway,,,,,,,secondary,,,,,State Route 206,Fulton Canyon Road,State Highway 206,,,,,,OR 206,,,,A31,"Sherman, OR",Celilo-Wasco,State Route 206,Fulton Canyon,State Highway 206,,,,Hwy,,Rd,,,no,,,,,
"5083848",Dovma Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Dovma,,,,,,,Rd,,,,,no,,,,,
"5083864",Finnegan Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Finnegan,,,,,,,Rd,,,,,no,,,,,
"5083871",Crites Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Crites,,,,,,,Rd,,,,,,,,,,
"5083873",,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",,,,,,,,,,,,,no,,,,,
"5083876",1st Street,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",1st,,,,,,,St,,,,,,,,,,
"5083878",Frontage Road,,,,,,,tertiary,,,,,Biggs Rufus Highway,,,,,,,,,,,,A41,"Sherman, OR",Frontage,Biggs Rufus,,,,,,Rd,Hwy,,,,no,,,,,
"5083893",Clark Street,,,,,,,secondary,,,,,,,,US 97,,,,,,,,,A31,"Sherman, OR",Wasco-Heppner,State Highway 206,Clark,,,,,Hwy,,St,,,,,,,,
"5083904",,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",,,,,,,,,,,,,no,,,,,
"5083906",Armsworthy Street,,Old Wasco-Heppner Highway,,,,,tertiary,,,,,,,,,,,,,,,,,A31,"Sherman, OR",,,,,,,,,,,,,,,,,,
"5083917",McDermid Lane,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",McDermid,,,,,,,Ln,,,,,no,,,,,
"5083929",Kent,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Kent,,,,,,,,,,,,no,,,,,
"5083939",Monkland Lane,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Monkland,,,,,,,Ln,,,,,no,,,,,
"5083950",Clark Street,,Wasco-Rufus Road,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Scott Canyon,Wasco-Rufus,,,,,,Rd,Rd,,,,,,,,,
"5083978",Clark Street,,,,,,,secondary,,,,,,,,US 97,,,,,,,,,A41,"Sherman, OR",Clark,,,,,,,St,,,,,no,no,tiger_import_dch_v0.6_20070808,"175499835",,
"5083989",,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",,,,,,,,,,,,,no,,,,,
"5084008",North Klondike Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,asphalt,A41,"Sherman, OR",Klondike,,,,,N,,Rd,,,,,no,,,,,
"5084026",Hay Canyon Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Hay Canyon,,,,,,,Rd,,,,,no,,,,,
"5084045",John Day Dam Road,,,,,,,tertiary,,,,,Sullivan Lane,,,,,,,,,,,,A74,"Sherman, OR",John Day Dam,Sullivan,,,,,,Rd,Ln,,,,,,tiger_import_dch_v0.6_20070808,"175498228",,
"5084047",4th Street,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",4th,,,,,,,St,,,,,no,,,,,
"5084048",John Day Dam Road,,,,,,,tertiary,,,,,,,,,,,,,,,"GPS; NAIP aerial photos",,A41:A43,"Sherman, OR",John Day Dam,,,,,,,Rd,,,,,,,,,,
"5084055",Main Street,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Main,,,,,,,St,,,,,,,,,,
"5084057",2nd Street,,,,,,,tertiary,,,,,Dobie Point Road,,,,,,,,,,,,A41,"Sherman, OR",2nd,Dobie Pt,,,,,,St,Rd,,,,no,,,,,
"5084081",Hay Canyon Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Hay Cyn,,,,,,,Rd,,,,,no,,,,,
"5084092",Scott Canyon Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5084093",Old Sherman Highway,,,,,,,secondary,,,,,,,,US 97,,,,,,,,,A41,"Sherman, OR",Old Sherman,,,,,,,Hwy,,,,,no,no,tiger_import_dch_v0.6_20070808,"175499485",,
"5084104",Southwest 4th Street,,Oregon Highway 216,,,,,secondary,,,,,,,,,,,,,OR 216,,,,,,,,,,,,,,,,,,,,,,,
"5084110",Sandon Road,,,,,,,tertiary,"2",,,,,,,,,,,,,,,asphalt,A41,"Sherman, OR",,,,,,,,,,,,,no,,,,,
"5084112",Monkland Lane,,,,,,,tertiary,"2",,,,,,,,,,,,,,,,A41,"Sherman, OR",Monkland,,,,,,,Ln,,,,,no,,,,,
"5084116",Biggs-Rufus Highway,,,,,,,tertiary,,,,,,,,,,,,,OR 206SP,,,,A41,"Sherman, OR",Biggs-Rufus,,,,,,,Hwy,,,,,no,,,,,
"5084131",Clark Street,,,,,,,secondary,,,,,,,,US 97,,,,,,,,,A41,"Sherman, OR",Clark,,,,,,,St,,,,,,,,,,
"5084143",Scott Canyon Road,,,,,,,tertiary,,,,,,,,,,,,,,,,,A41,"Sherman, OR",Scott Canyon,,,,,,,Rd,,,,,no,,,,,
"5084184",Krusow Street,,Oregon Highway 216,,,,,secondary,,,,,,,,,,,,,OR 216,,,,,,,,,,,,,,,,,,,,,,,
