osm_id,name,NHS,RLIS.bicycle,addr.postcode,alt_name,bicycle,bridge,bridge.name,bridge.structure,cycleway,destination,destination.ref,embankment,hgv,hgv.national_network,highway,junction,lanes,lanes.backward,lanes.forward,layer,length,length_unit,level,maxheight,maxspeed,maxspeed.hgv,name_1,old_ref,oneway,postal_code,ref,shoulder,sidewalk,source,source.hgv.national_network,start_date,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_base_4,tiger.name_direction_prefix,tiger.name_direction_prefix_1,tiger.name_direction_suffix_1,tiger.name_direction_suffix_2,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,tunnel,tunnel.name,wikidata
"5201550",,,,,,yes,,,,,Blalock Canyon,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5201620",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,tiger_import_dch_v0.6_20070808,175391060:175390970,,,
"5201819",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5201980",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5202046",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,45 mph,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"5277799",,,caution_area,,,yes,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,no,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5284413",,,caution_area,,,yes,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,no,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"5289476",Mount Hood Highway,yes,caution_area,,,yes,,,,,,,,designated,yes,primary,,,,,,,,,,,,Highway 35,,,,OR 35,,no,TIGER,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"5444534",Warm Springs Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 26,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,"Jefferson, OR",Warm Springs,United States Highway 26,,,,,,,,Hwy,,,,no,,,,,,
"5922398",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"5924270",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,no,,,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5926034",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"5929783",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,"98620","US 97;WA 14",,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5930357",Lewis and Clark Trail Highway,,,,,,,,,,,,,,,primary,,,,,,,,,,65 mph,,,,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5930388",Lewis and Clark Trail Highway,yes,,,,,,,,,,,yes,,,primary,,"2",,,,,,,,60 mph,,,US 830,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"5931022",Sam Hill Memorial Bridge,yes,,,,,yes,,,,,,,,,primary,,"2",,,"1",,,,,,,,,,,US 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5931048",United States Route 97,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,yes,,US 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6115880",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,55 mph,,,US 830,,,WA 14,,,,,,,A31,"Skamania, WA",State Route 14,State Highway 14,,,,,,,,,,,,no,,,,,,
"27440646",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"27440647",The Dalles-California Highway,,,,,,yes,,beam,,,,,designated,yes,primary,,"2",,,"1",,,,,,,,,,,US 197,,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c,,,,,,,,,,,,,,,,,,,,,,,,
"27460534",Sam Hill Memorial Bridge,yes,,,,,yes,,,,,,,designated,yes,primary,,"2",,,"1",,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"27460537",,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"34615923",Mosier-The Dalles Highway,,,,,yes,,,,,,,,,,motorway_link,,"2",,,,,,,,,,,,no,,US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34615924",Mosier-The Dalles Highway,,,,,yes,yes,,,,,,,,,motorway_link,,"2",,,"1",,,,,,,,,no,,US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35261819",The Dalles-California Highway,,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 197,,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"35261820",The Dalles-California Highway,,,,,,yes,,,,,,,,,primary,,"2",,,"1",,,,,,,,,,,"US 30;US 197",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"35567368",,,,,,yes,,,,,,,,,,motorway_link,,"2",,,,,,,,,,,,no,,US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35567370",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"35600384",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35600385",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35631200",,,,,,yes,,,,,,,,,,motorway_link,,"1",,,,,,,,,,,,yes,,US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36185955",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36836815",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36836816",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,65 mph,55 mph,,,yes,,"I 84;US 30",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36836817",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36836818",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,65 mph,55 mph,,,yes,,"I 84;US 30",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36836819",,,,,,yes,,,,,Mitchell Point Overlook,,,no,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"36870296",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36870297",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37026709",,yes,,,,,,,,,,,,,,primary,,"1",,,,,,,,,,,,yes,,US 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37026710",,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"37027244",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37027314",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37027568",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"37027570",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37029854",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"37030138",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"37030364",,,,,,yes,,,,,The Dalles Dam,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37030377",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37031373",,,,,,yes,,,,,The Dalles City Center,US 30 east,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"37032453",,,,,,yes,,,,,Rowena,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37032535",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37392576",Mount Hood Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 26,,no,TIGER,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"37524864",,yes,,,,,,,,,,,,,,primary,,"1",,,,,,,,,,,,yes,,US 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37545428",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Sherman, OR",,,,,,,,,,,,,,,,tiger_import_dch_v0.6_20070808,175498010:175498018,,,
"37545429",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Sherman, OR",,,,,,,,,,,,,,,,,,,,
"37545430",Sherman Highway,yes,,,,,yes,,,,,,,designated,yes,primary,,"2",,,"1",,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"37545431",Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"37546124",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,70 mph,,,,yes,,"I 84;US 30",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546139",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,70 mph,,,,yes,,"I 84;US 30",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546780",,,,,,yes,,,,,"Rufus;John Day Dam",,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546781",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37546782",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,70 mph,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37546783",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,"I 84;US 30",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546784",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546785",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546786",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546787",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37546788",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37546789",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,"I 84;US 30",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37546790",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37871520",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37871522",,,,,,,,,,,,,,,,primary_link,,,,,,,,,,,,,,,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"37872703",East Street,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,35 mph,,,,,,US 97,,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"37875157",The Dalles-California Highway,,,,,,yes,,,,,,,,,primary,,"2",,,"1",,,,,,,,,,,US 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37877899",The Dalles-California Highway,,,,,,yes,,,,,,,designated,yes,primary,,"2",,,"1",,,,,,,,,,,"US 30;US 197",,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"37877900",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,"US 30;US 197",,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"38896539",,,caution_area,,,yes,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,no,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"39199330",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,"-1","71",m,,,,,,US 830,,,WA 14,,,"Yahoo,TIGER",,"1933",,,,,,,,,,,,,,,,,,,,,yes,WA-14 Tunnel No. 7,
"39199331",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,US 830,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"39199332",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,"-1","118.6",m,,"13'3""",,,,US 830,,,WA 14,,,"Yahoo,TIGER",,"1933",,,,,,,,,,,,,,,,,,,,,yes,WA-14 Tunnel No. 6,
"39199333",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,30 mph,,,US 830,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"39199335",Lewis and Clark Trail Highway,yes,,,,,yes,Klickitat River Bridge,,,,,,,,primary,,"2",,,,"80.8",m,,,,,,US 830,,,WA 14,,,"Yahoo,TIGER",,"1933",,,,,,,,,,,,,,,,,,,,,,,
"39199337",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,60 mph,,,US 830,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"43825786",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43880883",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45228701",,,caution_area,,,yes,,,,,,,,,,primary_link,,,,,,,,,,,,,,yes,,,,no,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"45230018",Warm Springs Highway,yes,caution_area,,,yes,,,,,,,,designated,yes,primary,,"2",,,,,,,,55 mph,,,,,,US 26,,no,TIGER,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"45282057",,,caution_area,,,yes,,,,,,,,,,primary_link,,,,,,,,,,,,,,,,,,no,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"45313446",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45313447",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,no,tiger_import_dch_v0.5_20070714,158132373:158132416:158132243:158132367:158132150:158132140,,,
"45313448",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,no,tiger_import_dch_v0.5_20070714,158132353:158132239:158132357:158132152:158132147,,,
"45317178",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,no,tiger_import_dch_v0.5_20070714,158131924:158131925:158131926:158132059:158132042,,,
"45317179",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A41,,,,,,,,,,,,,,,,no,tiger_import_dch_v0.5_20070714,158131921:158132063:158131920:158132046,,,
"45416336",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"45416337",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"45416338",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"45416339",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,TIGER,,,concrete,,,,,,,,,,,,,,,,,,,,,,
"45416340",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"45416344",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"45416345",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,,,,concrete,,,,,,,,,,,,,,,,,,,,,,
"45416346",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45416348",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45416350",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45416351",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,
"45416352",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,yes,,,,,,,designated,,motorway,,"2",,,"1",,,,,,,,,yes,,I 84,,,,,,concrete,,,,,,,,,,,,,,,,,,,,,,
"48161865",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,60 mph,,,US 830,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"48162075",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51758598",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51758613",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,I 84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51758614",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,55 mph,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"51758615",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"51758616",West 2nd Street,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,yes,,,,,,,,,A41,,2nd,,,,,W,,,,St,,,,no,,,,,,
"51758617",Webber Street,,,,,,,,,lane,,,,,,primary,,"2",,,,,,,,,,,,,,US 30,,,,,,,A21,,Webber,Highway 30,United States Highway 30,Mosier-the Dalles,United States Highway 30,,,W,W,St,,,Hwy,no,,,,,,
"51758618",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,65 mph,,,,yes,,I 84,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"51758620",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,"US 30;US 197",,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"51758621",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"51758622",,,,,,yes,,,,,,,,,,motorway_link,,"1",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"51758623",The Dalles-California Highway,,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,"US 30;US 197",,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"52241699",United States Route 97,yes,,,,,yes,,,,,,,,,primary,,"2",,,"1",,,,,,,,,,,US 97,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"52241700",United States Route 97,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"52833339",,yes,,,,,,,,,,,,,,primary,,"3","1","2",,,,,,,,,,,,US 97,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"56235626",Lewis and Clark Trail Highway,,,,,,yes,,,,,,,,,primary,,,,,"1",,,,,,,,,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"56235627",Lewis and Clark Trail Highway,,,,,,,,,,,,,,,primary,,,,,,,,,,65 mph,,,,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"61241867",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,70 mph,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"61241868",Columbia River Highway,,,,Vietnam Veterans Memorial Highway,yes,,,,,,,,designated,,motorway,,"2",,,,,,,,,,,,yes,,"I 84;US 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,
