osm_id,name,NHS,RLIS.bicycle,addr.postcode,alt_name,bicycle,bridge,bridge.name,bridge.structure,cycleway,destination,destination.ref,embankment,hgv,hgv.national_network,highway,junction,lanes,lanes.backward,lanes.forward,layer,length,length_unit,level,maxheight,maxspeed,maxspeed.hgv,name_1,old_ref,oneway,postal_code,ref,shoulder,sidewalk,source,source.hgv.national_network,start_date,surface,tiger.cfcc,tiger.county,tiger.name_base,tiger.name_base_1,tiger.name_base_2,tiger.name_base_3,tiger.name_base_4,tiger.name_direction_prefix,tiger.name_direction_prefix_1,tiger.name_direction_suffix_1,tiger.name_direction_suffix_2,tiger.name_type,tiger.name_type_1,tiger.name_type_2,tiger.name_type_3,tiger.reviewed,tiger.separated,tiger.source,tiger.tlid,tunnel,tunnel.name,wikidata
"575835613",West 6th Street,,,,Mosier-the Dalles Highway,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,"97058",US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"575836438",River Road,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"575836442",River Road,,,,,,,,,,,,,,,primary,,,,,,,,,,,,,,,,,,,,,,,A41,,,,,,,,,,,,,,,,,,,,,
"636825295",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,,,,,,,,,,,,,,,,,,,,,
"636833858",,,,,,yes,,,,,Blalock Canyon,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"636864099",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,Yahoo image,,,,,,,,,,,,,,,,,,,,,,,,,
"636878978",,,,,,yes,,,,,Philippi Canyon,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"636879406",,,,,,yes,,,,,Philippi Canyon,,,,,motorway_link,,,,,,,,,,45 mph,,,,yes,,,,,,,,,A63,"Gilliam, OR",,,,,,,,,,,,,,,,,,,,
"636890660",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"636890661",,,,,,yes,,,,,The Dalles Dam,,,,,motorway_link,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"668356263",Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,35 mph,,,,,,US 97,,,Yahoo image,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"669215778",,,,,,yes,,,,,,,,no,,motorway_link,,,,,,,,,,25 mph,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"682193034",,,,,,yes,,,,,,,,,,motorway_link,,,,,,,,,,20 mph,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"684986318",,,,,,,,,,,,,,,,primary,roundabout,"1",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"684986319",,,,,,,,,,,,,,,,primary,roundabout,"1",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"684986320",,,,,,,,,,,,,,,,primary,roundabout,"1",,,,,,,,,,,,yes,,US 30,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"712376653",Lewis and Clark Trail Highway,yes,,,,,,,,,,,,,,primary,,"2",,,,,,,,60 mph,,,US 830,,,WA 14,,none,"Yahoo,TIGER",,,paved,,,,,,,,,,,,,,,,,,,,,,
"712376654",Lewis and Clark Trail Highway,,,,,,,,,,,,,,,primary,,,,,,,,,,65 mph,,,,,,WA 14,,,"Yahoo,TIGER",,,,,,,,,,,,,,,,,,,,,,,,,
"743097938",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,45 mph,,,,,,US 197,,,TIGER,,,,,,,,,,,,,,,,,,,,,,,,,
"758182316",The Dalles-California Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 97,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,"Jefferson, OR","United States Highway 97; The Dalles-California",United States Highway 97,"The Dalles-California; United States Highway 97",,,NE,NE,,,Hwy,,Hwy,,no,,,,,,
"784980507",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,
"784980529",The Dalles-California Highway,,,,,,,,,,,,,,,primary,,"2",,,,,,,,,,,,,,US 197,,,GPS,,,,,,,,,,,,,,,,,,,,,,,,,
"790257911",US Route 97 - Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"3","2","1",,,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"790257912",US Route 97 - Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"790257913",US Route 97 - Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"3","2","1",,,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"790257914",US Route 97 - Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"3","2","1",,,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,,,,,,,,,,,,,,,,,,,,,,
"790946389",The Dalles-California Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 97,,,,Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,,The Dalles-California,United States Highway 197,,,,,,,,Hwy,,,,no,,,,,,
"798956912",West 6th Street,,,,Mosier-the Dalles Highway,,,,,lane,,,,,,primary,,"2",,,,,,,,,,,,,"97058",US 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"798995466",,,,,,,,,,,,,,,,primary_link,,"1",,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"798995467",,,,,,,,,,,,,,,,primary_link,,"1",,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"806993116",US Route 97 - Sherman Highway,yes,,,,,,,,,,,,designated,yes,primary,,"2",,,,,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,"Sherman, OR",Main,Sherman,United States Highway 97,,,,,,,St,Hwy,,,,,,,,,
"806993117",US Route 97 - Sherman Highway,yes,,,,,yes,,,,,,,designated,yes,primary,,"2",,,"1",,,,,,,,,,,US 97,,,"Yahoo,TIGER",Title 23: Highways Part 658 http://ecfr.gpoaccess.gov/cgi/t/text/text-idx?c=ecfr&rgn=div5&view=text&node=23:1.0.1.7.33&idno=23,,,A21,"Sherman, OR",Main,Sherman,United States Highway 97,,,,,,,St,Hwy,,,,,,,,,
