Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,Arizona,Housing Units,Table Download,"American Indian/Alaska Native/Hawaiian Home Land: Household and GQ population and housing units, 2010 and 2020","Total Household Population 2010, Total Household Population 2020, Total Housing Units Census 2010, Total Housing Units Census 2020, Occupied Housing Unit Census 2010, Occupied Housing Unit Census 2020, Vacant Housing Unit Census 2010, Vaccant Housing Unit Census 2020, Occupancy Rate 2010, Occupancy Rate 2020, Persons Per Household 2010, Persons Per Household 2020",Indian reservation,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arizona,Housing Units,Table Download,"Census Designated Places (CDPs): Household and GQ population and housing units, 2010 and 2020","Total Household Population 2010, Total Household Population 2020, Total Housing Units Census 2010, Total Housing Units Census 2020, Occupied Housing Unit Census 2010, Occupied Housing Unit Census 2020, Vacant Housing Unit Census 2010, Vaccant Housing Unit Census 2020, Occupancy Rate 2010, Occupancy Rate 2020, Persons Per Household 2010, Persons Per Household 2020",Census designated place,Decennial Census,,N,N,As released,2020,N,N,N,,
,Arizona,Housing Units,Table Download,"Census Tracts: Household population, GQ population by GQ type, and housing units, 2020 data","Total Household Population 2020, Total Housing Units Census 2020, Occupied Housing Unit Census 2020,  Vaccant Housing Unit Census 2020,  Occupancy Rate 2020, Persons Per Household 2020, College/University Student Housing","County, Census Tract",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arizona,Housing Units,Table Download,"Arizona School Districts: Household and GQ population and housing units, 2010 and 2020","Total Household Population 2010, Total Household Population 2020, Total Housing Units Census 2010, Total Housing Units Census 2020, Occupied Housing Unit Census 2010, Occupied Housing Unit Census 2020, Vacant Housing Unit Census 2010, Vaccant Housing Unit Census 2020, Occupancy Rate 2010, Occupancy Rate 2020, Persons Per Household 2010, Persons Per Household 2020","County, School District",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arizona,Housing Characteristics,Table Download,Profile of General Population and Housing Characteristics,"Total Population in Households, Households by Type, Housing Occupancy, Vacancy Rates, Housing Tenure",State,Decennial Census,,Y,https://data.census.gov/table?q=demographic+profile&y=2020&d=DEC+Demographic+Profile&tid=DECENNIALDP2020.DP1,As released,2020,N,N,N,,
,Arizona,Housing Units,Table Download,Housing Units,Total Housing Units,State,Decennial Census,,Y,https://data.census.gov/table?y=2020&d=DEC+Demographic+and+Housing+Characteristics,As released,2020,N,N,N,,
,Arkansas,Household Type,Table Download,Household Type,"Total Households, Family Households, Nonfamily Households","State, County, City, Census designated place",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Household Type,Table Download,Households by Type and Presence of Own Children Under 18 Years,"Total Households; Married couple households; Cohabitating couple households; Male householder, no spouse or partner present; Female householder, no spouse or partner present","State, County, City, Census designated place",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Housing Units,Table Download,Occupancy Status,"Housing Units- Total, Occupied, Vacant","County, Census designated place City",Decennial Census,,N,N,As released,2020,N,N,N,,
,Arkansas,Housing Units,Table Download,Tenure,"Total Occupied Housing Units, Owned with a mortgage or a loan, Owned free and clear, Renter occupied","County, Census designated place, City",Decennial Census,,N,N,As released,2020,N,N,N,,
