Number of states within the category,State/ Country,Sub-categories,Tool,Name of tool,Variables Used (list all that apply),Geographic Levels,Data Sources-Census,Data Sources-Non Census,Direct links to Census,Census link,Frequency,Age of data,Historical data,Data Linkage,Citation,Notes,
,Indiana,Housing Prices / Rent,Table Download,MEDIAN RENT,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Indiana,Household Income,Table Download,MEDIAN HOUSEHOLD INCOME,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Indiana,Housing Prices / Rent,Table Download,MEDIAN HOME VALUE,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Indiana,Estimates,Table Download,HOUSEHOLD TYPES,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Indiana,Household Income,Table Download,HOUSEHOLD INCOME LEVELS,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Indiana,Estimates,Table Download,AGE OF HOUSING,Estimate,"State, County",ACS,,N,N,As released,2016,N,N,N,,
,Iowa,Household Size,"Data Visualization, Table",Average household size by tenure,"Owner occupied, Renter occupied, Average household size","State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2021,Y,N,N,,
,Iowa,Household Type,"Data Visualization, Table",Tenure by household type and age of householder,"Owner occupied, Renter occupied, Family household, Nonfamily household","State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2021,Y,N,N,,
,Iowa,Occupancy,"Data Visualization, Table",Vacancy status,"For rent, Rented not occupied, For sale only, Sold not occupied, For seasonal recreational or occasional use, For migrant workers, Other vacant","State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2021,Y,N,N,,
,Iowa,Housing Prices / Rent,"Data Visualization, Table",Gross Rent,Median gross rent,"State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2021,Y,N,N,,
,Iowa,Household Size,"Data Visualization, Table",Number of Rooms by Tenure,"Owner occupied, Renter occupied, Number of rooms","State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2021,Y,N,N,,
,Iowa,Housing Characteristics,"Data Visualization, Table",Median year structure built by tenure,"Owner occupied, Renter occupied, Median year built","State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2021,Y,N,N,,
,Iowa,Housing Characteristics,"Data Visualization, Table",Tenure by year structure built,"Owner occupied, Renter occupied, Year built","State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2021,Y,N,N,,
,Iowa,Housing Units,"Data Visualization, Table",Housing units authorized by building permits,"Buildings, Units, Value","State, County, City, Metropolitan Area",ACS,,N,N,As released,2022,Y,N,N,,
,Iowa,Estimates,Table,Annual housing unit estimates,,"State, County, City, Metropolitan Area, School District",ACS,,N,N,As released,2020,Y,N,N,,
,Kansas,Housing Characteristics,Map,2020 Census Demographic Data Map Viewer,"Percent married-couple households by state (or state equivalent), Percent unmarried-couple households by state (or state equivalent), Percent one-person households by state (or state equivalent), Percent multigenerational households by state (or state equivalent), Percent occupied housing units by state (or state equivalent), Percent owner-occupied housing units by state (or state equivalent)",State,Decennial Census,,Y,https://mtgis-portal.geo.census.gov/arcgis/apps/MapSeries/index.html?appid=2566121a73de463995ed2b2fd7ff6eb7,As released,2020,N,N,N,,
,Kansas,Housing Characteristics,Map,Kansas Data Archive,"Building Permits, Fair Market Rent (HUD), Housing Units, Housing Costs, Occupancy Status/Rates",County,Census Bureau,,,,As released,2021,Y,N,N,,
,Kansas,Housing Characteristics,"Table, Data Visualization",Kansas Regional Data Portal,"Housing units, Occupancy status, Homeowner vacany rate, Rental vacany rate, Median value of owner-occupied housing units, Housing stock, Percent of housing units built before 1940, Housing affordability, Percent of households with owner costs of 30% or more of income",State,Census Bureau,Board of Governors of the Federal Reserve System and Freddie Mac,N,N,As released,2020,N,N,N,,
,Kentucky,Estimates,Table Download,Housing Units 2020-2022,"Estimates Base, Housing Unit Estimate","State, Area devlopment district, County",Census Bureau,,N,N,As released,2020,N,N,N,,
,Ketucky,Projections,Table Download,Household Projections,,County,,,N,N,As released,2020,Y,N,N,,
,Louisiana,Occupancy,Table Download,Occupancy Status of Housing Units,"Occupied, Vacant","State, Parish",Decennial Census,,Y,"https://data.census.gov/table?g=040XX00US22,22$0500000&y=2020&d=DEC+Redistricting+Data+(PL+94-171)&tid=DECENNIALPL2020.H1",As released,2020,,N,N,,
,Maine,Occupancy,Table Download,Housing Units by Occupancy Status,"Occupied, Vacant","State, County, City, Town",Decennial Census,,N,N,As released,2020,N,N,N,,
,Maine,Housing Characteristics,Table Download,Build Your Own Spreadsheet,"Housing Substandard, Housing Vacancies","State, County",,,N,N,As released,,N,N,N,,
,Maryland,Housing Characteristics,Report,2020 Census Profile of General Population and Housing Characteristics,"Households by type, Housing Occupancy, Housing Tenure","State, County, Tract",Decennial Census,,N,N,As released,2020,N,N,N,,
,Maryland,Housing Units,Table Download,"Housing Units Summary, 2010 and 2020","2010 Housing Units, 2020 Housing Units, Change, Percent Change","State, Region, Jurisdiction, Census designated place",Decennial Census,,N,N,As released,2020,N,N,N,,
,Maryland,Household Size,Table Download,"Average Household Size, 2010 and 2020","Household Population, Occupied Housing Units, Average Household Size","State, Region, Jurisdiction",Decennial Census,,N,N,As released,2020,N,N,N,,
,Maryland,Housing Units,Table Download,"Population and Housing Units, 2020-1950",Housing Units,"State, Jurisdiction",Census Bureau,,N,N,As released,2020,Y,N,N,,
,Maryland,Housing Units,Table Download,"Housing Unit Change, 2020-1950","Housin Unit Net Change, Housing Unit Percent Change","State, Jurisdiction",Census Bureau,,N,N,As released,2020,Y,N,N,,
,Maryland,Household Type,Table Download,"Household Type, Housing Tenure and and Relationship to Householder for Migrants, 2010 to 2014 (Foreign Migration)","Household Type, Housing Tenure, ","State, Region, County",ACS,,N,N,As released,2014,N,N,N,,
,Maryland,Housing Prices / Rent,Table Download,"Housing Unit Sales and Pricing in Maryland, 2002 - 2021","Total, Median, Mean, Single-Family, Townhouse, Condominium, Mobile Home, Rental Property, Residential Blank/No data","State, Region, County",,"MdProperty View Sales Database, Office of Planning and Budget",N,N,As released,2021,Y,N,N,,
,Maryland,Housing Units,Table Download,New Housing Units Authorized for Development,,,,,N,N,As released,2023,Y,N,N,,
,Massachusetts,Permits,Table Download,"Annual Building Permit Data, 2000-2022",Residential building permits issued,County,Census Bureau,,N,N,As released,2022,Y,N,N,,
,Massachusetts,Housing Units,Report,Massachusetts 2010: Population and Housing Unit Counts,,,Decennial Census,,N,N,As released,2010,N,N,N,,
0,Michigan,,,,,,,,N,N,,,N,N,N,,
0,Minnesota,,,,,,,,N,N,,,N,N,N,,
,Mississippi,Estimates,Table,"Annual Estimates of Housing Units for the United States, Regions, Divisions, States, and Counties: April 1, 2010 to July 1, 2018",,,Census Bureau,,,,As released,2010,N,N,N,,
,Mississippi,Housing Characteristics,Table Download,Comparative Housing Characteristics,"Housing Occupancy, Units in Structure, Year Structure Built, Rooms, Bedrooms, Housing tenure, Year householder moved into unit, Vehicles available, House heating fuel, Occupants per room, Value, Mortgage status, Selected monthly owner costs as a percentage of household income, Gross rent, Gross rent as a percentage of household income",State,ACS,,Y,https://data.census.gov/table?q=ACSCP1Y2017.CP04&g=040XX00US28&tid=ACSCP1Y2019.CP04,As released,2021,Y,N,N,,
,Mississippi,Housing Units,Table Download,Comparative Demographic Estimates,Total Housing Units,State,ACS,,Y,https://data.census.gov/table?q=ACSCP1Y2017.CP05&g=040XX00US28&tid=ACSCP1Y2021.CP05,As released,2021,Y,N,N,,
,Mississippi,Housing Units,Map,Percent Owner Occupied Housing Units 1990,Percent owner occupied,County,Census Bureau,University of Mississippi,N,N,As released,1990,N,N,N,,
,Missouri,Housing Characteristics,Table Download,"Demographic and Housing Characteristics (DHC), complete tables",,,Decennial Census,,N,N,As released,2020,N,N,N,,
,Guam,Housing Units,"Data Visualization, Table",Housing and Population,"2010 Housing Units, 2020 Housing Units",Village,Decennial Census,,N,N,As released,2020,N,N,N,,
,Guam,Housing Characteristics,Table,Demographic Profile Dashboard,"Housing Occupancy, Housing Tenure, Units in Structure, Year Structure Built, Rooms, Bedrooms, Source of Water, Sewage Disposal, Year householder moved into unit, Vehicles available, Occupants per room, Telephone service available, Computer and internet use, Value, Mortgage status and selected monthly owner costs, Selected monthly owner costs as a percentage of household income in 2019, Gross rent, Gross rent as a percentage of household income in 2019","State, Village",Decennial Census,,N,N,As released,2020,N,N,N,,
,Guam,Housing Units,Table,Demographic Profile by Census Designated Place,Housing Units,Census designated place,Decennial Census,,N,N,As released,2020,N,N,N,,
,Guam,Housing Characteristics,Table Download,Selected Housing Characteristics,"Housing Occupancy, Housing Tenure, Units in Structure, Year Structure Built, Rooms, Bedrooms, Source of Water, Sewage Disposal, Year householder moved into unit, Vehicles available, Occupants per room, Telephone service available, Computer and internet use, Value, Mortgage status and selected monthly owner costs, Selected monthly owner costs as a percentage of household income in 2019, Gross rent, Gross rent as a percentage of household income in 2019","Village, Census designated place",Decennial Census,,N,N,As released,2020,N,N,N,,
,Puerto Rico,Housing Characteristics,Report,Puerto Rico 2010: Summary Population and Housing Characteristics,"Housing Occupancy and Tenure, Occupied Housing Units by Race and",State,Census Bureau,,N,N,As released,2010,N,N,N,,
,Puerto Rico,Housing Prices / Rent,Table,Puerto Rico Housing Price Index,"All transactions, purchase only",State,,Housing Finance Authority,N,N,As released,2021,Y,N,N,,
