"id","gender","degree_highest","date_enter_job_market"
8129650,"male",NA,1999-01-01
8549765,"male","master",1974-01-01
8550486,"male",NA,2004-10-01
8537773,"male","bachelor",1992-02-01
8151209,"male","bachelor",1991-01-01
8151265,"male","master",NA
13746524,"male","others",1995-01-01
8549816,"male",NA,1979-05-01
8548070,"male","bachelor",1996-01-01
7140835,"female","master",1992-01-01
7157312,NA,"others",1999-08-01
8195394,"male","master",1967-04-01
8140133,NA,"master",1984-01-01
8574758,"male",NA,NA
8184617,NA,NA,1983-01-01
8184632,"male",NA,1988-09-01
7153673,"male","bachelor",1986-10-01
8139526,"male",NA,1976-04-01
8191760,"female","doctor",1991-01-01
8157200,"female","highschool",1995-03-01
8151610,"female","bachelor",1986-08-01
8158143,NA,"certificate",2000-05-01
8186076,"male",NA,1992-01-01
8564630,"male",NA,2003-12-01
8546149,NA,NA,1985-01-01
7140165,"male",NA,1989-06-01
8168443,"female","highschool",2002-06-01
7148472,"female","master",1977-12-01
7166912,"male",NA,1994-03-01
7157903,"female",NA,1993-07-01
7165887,"male",NA,1999-09-01
8548137,"male",NA,1991-08-01
8159471,"male",NA,1987-01-01
8154706,"female",NA,2004-12-01
8197160,NA,"bachelor",1988-01-01
8557454,"male","master",1996-09-01
8536905,"male","master",1991-03-01
8549740,"male","others",2000-08-01
13816523,"male",NA,1996-01-01
13754059,"male","master",1987-01-01
15417215,"male","master",1988-01-01
13757614,"male","others",1989-01-01
10459903,NA,"associate",1978-01-01
13765041,"male","master",1990-08-01
13771811,"male","master",1999-01-01
7167087,"male","master",NA
7178366,"male","master",1976-07-01
8205531,"male","doctor",1996-01-01
10479807,"male","bachelor",1982-01-01
10505049,"male","others",1992-10-01
7222754,"male","doctor",1988-01-01
8555940,"male","others",2002-01-01
10503358,"male",NA,1983-01-01
7174211,"male","master",1996-11-01
8191755,"female","doctor",1991-01-01
8560070,"male","master",1985-01-01
8599195,"male",NA,1983-01-01
8592994,"male",NA,1987-08-01
7237684,"male",NA,1980-08-01
8569511,"male",NA,1987-01-01
8570974,"male",NA,1974-02-01
8575622,"female",NA,1991-03-01
8137207,"female",NA,2005-08-01
16588321,"male",NA,2010-11-01
7197425,"male","others",1975-05-01
8564141,"male","master",1997-01-01
16603031,NA,"master",1991-01-01
10582879,"male","bachelor",1971-01-01
8135650,"male",NA,1980-01-01
8593126,"male","bachelor",1992-06-01
8618847,"male","certificate",1986-03-01
8590477,"male",NA,1988-01-01
13760387,"male","master",1999-12-01
8586675,"male","master",1995-01-01
10470771,"male","others",1998-09-01
13798288,"male",NA,2000-01-01
10469804,"female",NA,1992-09-01
10577725,NA,NA,1983-01-01
13822463,"female",NA,2005-02-01
10478844,"female",NA,2006-04-01
16663753,"female","master",1979-01-01
8196669,"female","bachelor",1995-01-01
8563573,"male","master",1995-10-01
8599033,"male","master",1984-04-01
8567902,"male",NA,1980-09-01
13832667,NA,NA,1986-04-01
8578768,"male",NA,1999-09-01
8585854,"male","bachelor",1995-01-01
8591978,"male","bachelor",1996-01-01
7195615,"female",NA,1971-12-01
7224411,"male","others",2000-03-01
7241875,"female",NA,1987-01-01
8580889,"male","master",1997-06-01
8558506,"male","master",1993-09-01
8583985,"male",NA,1976-01-01
8604087,"male",NA,1979-10-09
8578584,"male","master",1988-01-01
7188952,"male","master",1988-01-01
8578228,"male","master",2007-01-01
16565725,"male","highschool",2009-01-01
8205944,"male",NA,1998-08-01
8590856,"male",NA,2006-01-01
8557690,"female","bachelor",2006-10-01
8579704,NA,"certificate",1991-07-01
8600635,"male","highschool",1989-01-01
8561950,"male",NA,1996-01-01
8564693,"male","master",1979-01-01
7240560,"male",NA,1992-01-01
7220118,NA,NA,2003-11-01
8587531,"male","highschool",2004-01-01
8591361,"male","master",1984-01-01
8618151,"male","master",1979-01-01
8594715,"male",NA,1984-01-01
8583862,"male","bachelor",1974-07-01
16647051,"male","master",1975-06-01
8553326,"male","bachelor",1995-01-01
8591181,"male","bachelor",2000-06-01
8558815,"male",NA,1997-11-01
8606660,"male","bachelor",2000-09-01
8596698,"male","master",1988-01-01
8578651,"male",NA,1983-05-01
8595394,"male","master",1982-01-01
8585620,"male",NA,2000-07-01
16626457,"male",NA,1992-01-01
13844850,"female",NA,1990-01-01
10570176,"male","master",1978-01-01
13796781,"male",NA,1978-01-01
7195988,"male",NA,1992-01-01
7182860,"male","master",1997-10-01
7213026,NA,"master",1992-01-01
8074360,"male","master",1974-06-01
7231236,"male",NA,2002-10-01
7235514,"male",NA,1991-01-01
8617455,"male",NA,2008-02-01
7177702,"female",NA,1992-01-01
8621085,"male","bachelor",1993-01-01
8577433,"male","others",1982-09-01
8581722,"male","associate",1994-09-01
8594613,"female","bachelor",1998-09-01
8206696,"male",NA,2002-10-01
8613424,NA,NA,1998-07-01
7174887,"male",NA,2006-06-01
16627809,NA,"doctor",2005-08-01
8572680,"male","master",1971-01-01
9576892,"male","others",2000-09-01
16623122,"male","bachelor",1995-04-01
8058982,"female","bachelor",1988-11-01
9920620,"male","associate",2001-08-01
16661621,NA,"bachelor",1989-01-01
16645005,"male",NA,1994-12-01
19286760,"male","others",2008-10-01
16638965,"female","master",2000-04-01
13846813,"male",NA,1974-01-01
16582181,"male",NA,2001-04-01
16618739,"male","master",1987-09-01
19257413,"male","master",2004-05-01
16677977,"female","master",1984-05-01
4351985,"male",NA,2002-07-01
4308931,"male","master",2004-02-01
4951715,"female","master",1983-01-01
5638016,"male","bachelor",1989-01-01
5625882,"male",NA,1996-10-01
5623778,"male",NA,1977-01-01
4987305,"male","bachelor",2007-03-01
5949600,"male","bachelor",1998-01-01
5983526,"male","master",1995-02-01
6477049,NA,"master",1996-09-01
5952280,"male",NA,1990-01-01
25076,"male",NA,2003-01-01
4627038,"male",NA,1995-01-01
4322133,"male","master",1993-01-01
5276001,"male","others",1981-01-01
5931109,"male","master",1988-01-01
7776294,NA,"master",1999-01-01
7733608,NA,NA,1983-01-01
7234402,"male","bachelor",1990-04-01
5880211,"female","master",1997-01-01
7210626,"male",NA,1991-01-01
7242958,"female",NA,1997-01-01
7240834,"male",NA,1979-06-01
7175680,"female","bachelor",1983-11-01
668837,"male","master",1993-03-01
7237793,"male",NA,1985-01-01
7240576,"male",NA,1979-09-01
7214198,"male",NA,1999-09-01
7234081,"male","master",1988-01-01
7237607,"male",NA,2002-06-01
7241672,"female",NA,1998-01-01
15692292,"male","bachelor",1987-12-01
15738592,"male",NA,2004-08-01
15777685,"male",NA,1985-09-01
15480210,"male",NA,1973-01-01
15421105,"male","master",2002-12-01
15109672,"female","master",2000-04-01
15375155,"female","others",1984-09-01
15414225,"male","bachelor",1972-01-01
15685946,NA,"bachelor",2004-06-01
15688312,"female","doctor",2003-01-01
15365176,"male","doctor",2015-12-01
15677676,"female",NA,2007-01-01
16676220,"male",NA,1991-09-01
15757455,"male","master",1996-11-01
19363347,"female",NA,2005-01-01
15452694,"male","master",1973-01-01
15443904,"male","others",1984-02-01
16277672,"male","bachelor",1978-03-01
15680691,"male",NA,1990-10-01
15454283,"male","master",1985-01-01
15451856,"male","master",1994-02-01
15484998,"female","bachelor",2010-08-01
16271536,"female","master",2000-04-01
19308430,"male",NA,1992-01-01
15716798,"male","master",1988-01-01
15437803,"male",NA,2001-05-01
15434808,"male",NA,2001-04-01
