item1,item2,correlation
air,branch,0.170956621
branch,air,0.170956621
class,equal,0.170660992
equal,class,0.170660992
stand,speak,0.170355148
speak,stand,0.170355148
furlough,home,0.169875838
home,furlough,0.169875838
wait,hour,0.16979681
hour,wait,0.16979681
air,enlist,0.169475763
enlist,air,0.169475763
skill,mechan,0.168624862
plane,mechan,0.168624862
mechan,skill,0.168624862
mechan,plane,0.168624862
dai,week,0.168527355
week,dai,0.168527355
system,classif,0.168477112
classif,system,0.168477112
bui,club,0.168365393
club,bui,0.168365393
wife,home,0.168099964
home,wife,0.168099964
child,famili,0.166447576
famili,child,0.166447576
negro,question,0.166312971
question,negro,0.166312971
6,month,0.16609169
month,6,0.16609169
commiss,com,0.165904218
com,commiss,0.165904218
educ,equal,0.165267266
equal,educ,0.165267266
com,command,0.165008716
command,com,0.165008716
victori,realiz,0.164865934
realiz,victori,0.164865934
poor,food,0.164728058
food,poor,0.164728058
30,4,0.164595551
4,30,0.164595551
south,negro,0.164275696
negro,south,0.164275696
rate,com,0.164267909
com,rate,0.164267909
ahead,major,0.163660127
major,ahead,0.163660127
worker,defens,0.163660127
defens,worker,0.163660127
fit,job,0.162713488
job,fit,0.162713488
system,1,0.162560824
1,system,0.162560824
opinion,questionnair,0.162267472
questionnair,opinion,0.162267472
treat,south,0.162017593
south,treat,0.162017593
5,month,0.161894469
month,5,0.161894469
unit,combat,0.16189151
physic,combat,0.16189151
combat,unit,0.16189151
combat,physic,0.16189151
bui,pai,0.161470115
pai,bui,0.161470115
plane,10,0.161128491
10,plane,0.161128491
rank,offic,0.161021539
offic,rank,0.161021539
fit,branch,0.16027638
branch,fit,0.16027638
equal,color,0.160261277
color,equal,0.160261277
sick,hour,0.160246077
hour,sick,0.160246077
furlough,week,0.159985299
week,furlough,0.159985299
mess,cook,0.159267445
cook,mess,0.159267445
matter,inform,0.15921267
inform,matter,0.15921267
town,bu,0.159022635
bu,town,0.159022635
civilian,armi,0.158783418
armi,civilian,0.158783418
cook,meal,0.157868256
meal,cook,0.157868256
negro,peopl,0.157672596
peopl,negro,0.157672596
fit,cloth,0.157658541
cloth,fit,0.157658541
south,peopl,0.157504426
peopl,south,0.157504426
week,time,0.157422671
time,week,0.157422671
mechan,experi,0.156589822
experi,mechan,0.156589822
transfer,branch,0.156546374
branch,transfer,0.156546374
meal,food,0.156518777
food,meal,0.156518777
woman,marri,0.156475003
marri,woman,0.156475003
inspect,pass,0.156273753
pass,inspect,0.156273753
5,2,0.156253278
2,5,0.156253278
infantri,branch,0.155896961
branch,infantri,0.155896961
mile,station,0.155726129
station,mile,0.155726129
lose,combat,0.155659586
combat,lose,0.155659586
school,offic,0.155537888
offic,school,0.155537888
rate,privat,0.155374312
privat,rate,0.155374312
cover,subject,0.155095192
subject,cover,0.155095192
marri,home,0.154871605
home,marri,0.154871605
choic,draft,0.154590984
draft,choic,0.154590984
peac,nation,0.154580859
nation,peac,0.154580859
stop,clean,0.154502994
clean,stop,0.154502994
includ,question,0.154287905
question,includ,0.154287905
2,week,0.154264048
