word1,word2,n
camp,fort,3
camp,gruble,3
camp,rucker,3
camp,shelby,3
candidate,school,3
catch,hell,3
chicken,shit,3
citzens,citizens,3
closer,home,3
col,soldier,3
collored,soldiers,3
color,line,3
colored,boy,3
colored,civilians,3
colored,commissioned,3
colored,fighting,3
colored,office,3
colored,papers,3
colored,races,3
colored,solder,3
colored,soliders,3
colored,unit,3
colored,women,3
combat,units,3
constitutional,rights,3
crow,laws,3
damn,shame,3
defence,plant,3
defense,plants,3
democracy,means,3
dont,mine,3
drill,field,3
eat,sleep,3
enlisted,personnel,3
equal,chances,3
excellent,idea,3
fair,change,3
fair,play,3
federal,government,3
feel,justified,3
fellow,soldiers,3
foot,ball,3
foreign,country,3
foreign,soil,3
fort,dix,3
front,line,3
furlough,home,3
golden,rule,3
hampton,institute,3
hard,feeling,3
hard,hearted,3
havent,ben,3
hell,hole,3
history,repeats,3
honest,living,3
induction,station,3
inf,infantry,3
intelligent,negroes,3
japs,germans,3
labor,battalions,3
living,hell,3
m.p,military,3
m.p,treat,3
man's,war,3
means,equal,3
medical,service,3
military,life,3
mind,staying,3
mixed,camps,3
narrow,minded,3
navy,marines,3
nearby,towns,3
negro,boy,3
negro,boys,3
negro,camp,3
negro,fair,3
negro,feel,3
negro,field,3
negro,hating,3
negro,office,3
negro,population,3
negro,soldier's,3
negro,troop,3
negro,woman,3
negroe,officers,3
negroes,soldier,3
negroes,whites,3
nice,camp,3
nice,white,3
north,officer,3
northern,colored,3
northern,negroes,3
northern,negros,3
officer,school,3
officers,dont,3
officers,training,3
officers,white,3
oponion,opinion,3
peace,treaty,3
pearl,harbor,3
people,fighting,3
personal,feeling,3
physical,fitness,3
poor,chance,3
poor,people,3
poor,transportation,3
poor,white,3
post,commander,3
post,war,3
preserve,democracy,3
pretty,bad,3
pretty,low,3
pxs,service,3
qualified,negroes,3
question,49,3
question,57,3
question,58,3
question,61,3
questionaire,questionnaire,3
race,hatred,3
race,relationship,3
real,democracy,3
recreation,hall,3
sending,northern,3
separate,camps,3
separate,p.x,3
separate,px,3
separate,px's,3
services,clubs,3
shouldn,äôt,3
skin,deep,3
social,life,3
soldier,born,3
soldier,fight,3
soldier,white,3
soldiers,army,3
soldiers,dont,3
soldiers,feel,3
soldiers,white,3
south,8,3
south,negro,3
southern,office,3
southern,soldier,3
southern,soldiers,3
southern,towns,3
stand,devided,3
stay,worried,3
stop,fighting,3
stop,lynching,3
stop,thinking,3
stop,watching,3
street,car,3
sunday,night,3
superior,officer,3
taking,treatment,3
training,centers,3
training,school,3
transfered,transferred,3
treat,people,3
treated,bad,3
treated,equally,3
treated,fare,3
treated,makes,3
unclear,county,3
upholds,discrimination,3
vice,versa,3
walk,guard,3
war,broke,3
war,colored,3
war,industries,3
washington,dc,3
wasting,time,3
weekend,passes,3
western,camps,3
white,2nd,3
white,brother,3
white,cadets,3
white,fellow,3
white,m.p.s,3
white,mp,3
white,mp's,3
white,officer's,3
white,soilder,3
white,treat,3
white,unites,3
white,yellow,3
win,victory,3
wooden,bunks,3
word,democracy,3
worst,camp,3
0,o'clock,2
1,0,2
1,4,2
1,sgt,2
1,yr,2
100,white,2
1000,miles,2
13,months,2
15,minutes,2
15,yrs,2
19,months,2
1st,bn,2
1st,lieutenant,2
2,1,2
2,3,2
2,hours,2
2,times,2
2,wks,2
20,minutes,2
200,miles,2
24,hours,2
25,miles,2
27,reason,2
2nd,lieutenant,2
3,4,2
3,poor,2
300,miles,2
35,wife,2
35,yrs,2
4,30,2
4,buses,2
4,colored,2
4,days,2
40,72,2
5,month,2
5,months,2
50,women,2
6,month,2
60,miles,2
64,65,2
7,days,2
7,months,2
70,71,2
72,75,2
74,75,2
74,76,2
75,76,2
75,white,2
8,months,2
9,month,2
9,oclock,2
9,times,2
90,day,2
93,div,2
93rd,division,2
advancement,depends,2
adverse,conditions,2
air,craft,2
air,plane,2
air,question,2
airplane,mechanic,2
ala,1st,2
ala,4,2
allied,nations,2
aloud,allowed,2
alow,thirty,2
america,free,2
american,creed,2
american,flag,2
american,life,2
american,war,2
american,whites,2
ans,answer,2
answer,question,2
antonio,texas,2
ar,treated,2
armored,force,2
army,1,2
army,11,2
army,8,2
army,ant,2
army,classes,2
army,classification,2
army,conditions,2
army,doctors,2
army,duties,2
army,duty,2
army,leaving,2
army,lies,2
army,posts,2
army,pretty,2
army,school,2
army,service,2
army,set,2
army,theaters,2
army,trucks,2
army,untill,2
army,white,2
