source,target,weight
do,black,0.036415429
black,do,0.036415429
idea,do,0.036415429
do,idea,0.036415429
war,boi,0.036290047
war,moral,0.036290047
boi,war,0.036290047
moral,war,0.036290047
lot,soldier,0.035582477
soldier,lot,0.035582477
do,negro,0.035107855
negro,do,0.035107855
do,boi,0.035023944
boi,do,0.035023944
lot,stai,0.034052163
seper,differ,0.034052163
differ,seper,0.034052163
stai,lot,0.034052163
color,soldier,0.033966795
soldier,color,0.033966795
lot,troubl,0.033803067
troubl,lot,0.033803067
offic,do,0.033716379
do,offic,0.033716379
outfit,troubl,0.033338006
troubl,outfit,0.033338006
armi,color,0.032976772
color,armi,0.032976772
lot,moral,0.032694531
moral,lot,0.032694531
armi,outfit,0.032330631
outfit,armi,0.032330631
south,soldier,0.032272209
soldier,south,0.032272209
friction,color,0.031766696
color,friction,0.031766696
idea,negro,0.031580341
negro,idea,0.031580341
war,differ,0.03141794
lot,offic,0.03141794
differ,war,0.03141794
lot,war,0.03141794
offic,lot,0.03141794
war,lot,0.03141794
south,troubl,0.031050836
troubl,south,0.031050836
feel,race,0.030615255
race,feel,0.030615255
seper,fight,0.030141238
fight,seper,0.030141238
chanc,separ,0.03006493
armi,separ,0.03006493
separ,chanc,0.03006493
separ,armi,0.03006493
armi,black,0.029986991
idea,chanc,0.029986991
black,armi,0.029986991
seper,armi,0.029986991
armi,seper,0.029986991
chanc,idea,0.029986991
sleep,idea,0.029986991
idea,sleep,0.029986991
armi,live,0.029736884
live,armi,0.029736884
peopl,southern,0.029405586
southern,peopl,0.029405586
armi,troubl,0.028535204
troubl,armi,0.028535204
do,south,0.028164322
south,do,0.028164322
moral,peopl,0.027587063
peopl,moral,0.027587063
idea,white,0.027556486
white,idea,0.027556486
reason,fight,0.026964444
fight,reason,0.026964444
negro,troubl,0.026421282
troubl,negro,0.026421282
do,armi,0.026297952
armi,do,0.026297952
lot,south,0.025987508
south,lot,0.025987508
offic,peopl,0.025968018
peopl,offic,0.025968018
war,negro,0.025678113
negro,war,0.025678113
outfit,soldier,0.025676621
soldier,outfit,0.025676621
outfit,white,0.025369371
white,outfit,0.025369371
differ,armi,0.024158074
lot,armi,0.024158074
armi,differ,0.024158074
armi,lot,0.024158074
seper,race,0.024006313
race,seper,0.024006313
separ,black,0.02332188
black,separ,0.02332188
idea,separ,0.02332188
separ,idea,0.02332188
lot,friction,0.023300746
friction,lot,0.023300746
southern,live,0.023237956
live,southern,0.023237956
idea,question,0.02298274
question,idea,0.02298274
separ,race,0.022921283
race,separ,0.022921283
war,southern,0.022646586
southern,war,0.022646586
moral,mix,0.022333756
moral,race,0.022333756
mix,moral,0.022333756
race,moral,0.022333756
war,white,0.022265258
white,war,0.022265258
southern,separ,0.022223733
separ,southern,0.022223733
moral,question,0.021760002
question,moral,0.021760002
boi,separ,0.021653908
separ,boi,0.021653908
offic,race,0.020750883
race,offic,0.020750883
war,reason,0.020605903
war,question,0.020605903
reason,war,0.020605903
question,war,0.020605903
reason,live,0.020459668
live,reason,0.020459668
armi,negro,0.019670972
negro,armi,0.019670972
friction,armi,0.019616077
armi,friction,0.019616077
sleep,friction,0.019616077
friction,sleep,0.019616077
lot,southern,0.019480146
southern,lot,0.019480146
feel,color,0.019387714
