word1,word2,n
medical,attention,2
medical,service,2
medical,soldier,2
mental,training,2
mess,sgt,2
mighty,proud,2
military,courtesy,2
military,life,2
mixing,socially,2
months,service,2
moral,breaker,2
moral,food,2
mothers,health,2
motor,officers,2
motor,pool,2
multiple,choice,2
natural,ability,2
navy,coast,2
nearer,home,2
negro,äôs,2
negro,situation,2
negroe,question,2
negroes,whites,2
nervous,wreck,2
night,2,2
northern,negro,2
note,question,2
o.c.s,officer,2
oct,october,2
officers,enlisted,2
officers,nco's,2
ordinary,soldier,2
organization,commanders,2
p.x,army,2
pearl,harbor,2
people,feel,2
peoples,opinion,2
permanent,duty,2
personal,experience,2
personally,feel,2
pet,gripe,2
pet,peeve,2
physical,education,2
physical,requirements,2
physically,qualified,2
play,ball,2
poor,vision,2
post,commander,2
practical,experience,2
pretty,fair,2
pretty,rotten,2
printed,answers,2
producing,food,2
promised,ratings,2
properly,prepared,2
pull,k.p,2
question,15,2
question,18,2
question,25,2
question,27,2
question,29,2
question,30,2
question,33,2
question,40,2
question,51,2
question,58,2
question,7,2
question,twenty,2
questions,15,2
questions,5,2
race,color,2
race,creed,2
racial,differences,2
raid,drill,2
rail,connections,2
raise,food,2
reception,centers,2
regular,army,2
remain,home,2
rights,privileges,2
rigid,training,2
roll,call,2
rotten,deal,2
round,pegs,2
sat,evening,2
saturday,afternoons,2
seas,service,2
separate,companies,2
service,boys,2
sgt,sergeant,2
shipping,clerk,2
sleeping,hours,2
social,life,2
soildiers,wifes,2
soldier,feels,2
soldier,likes,2
soldier's,morale,2
soldiers,morale,2
soldiers,opinion,2
solider,soldier,2
solier,soldier,2
south,west,2
southern,outfit,2
speak,english,2
special,job,2
square,holes,2
standing,army,2
stay,close,2
stop,fighting,2
strong,healthy,2
subjects,covered,2
taxpayers,money,2
technical,schools,2
ten,months,2
thier,lives,2
time,keeping,2
towns,close,2
train,connections,2
train,travel,2
training,centers,2
training,schedule,2
training,schools,2
treated,pretty,2
unity,unity,2
vital,war,2
war,2,2
war,3,2
war,äì,2
war,bonds,2
war,plant,2
warm,food,2
waste,basket,2
wasting,time,2
wednesday,saturday,2
western,soldiers,2
white,boy,2
white,colored,2
white,person,2
white,troops,2
whites,negroes,2
win,wars,2
worst,camp,2
worth,fighting,2
write,letters,2
wrong,sirs,2
yankee,private,2
0,pm,1
1,1,1
1,1941,1
1,caliber,1
1,camp,1
1,clerk,1
1,embrace,1
1,excellent,1
1,grand,1
1,hour,1
1,lt,1
1,mental,1
1,quest,1
1,slice,1
1,yrs,1
1.5,whiskey,1
1.8,test,1
10,11,1
10,45,1
10,hours,1
10,soldier,1
10,times,1
10,weeks,1
10,yrs,1
100,150,1
100,efficent,1
100,miles,1
100,soldiers,1
100,white,1
"100,000",conscientiouscooks,1
1000,constitution,1
1000,miles,1
1030,p.m,1
105,howitzer,1
105,m.m,1
11,0,1
11,12,1
11,1943,1
11,30,1
11,months,1
11,weeks,1
117,negro,1
12,miles,1
12,month,1
12,questions,1
"120,000",hours,1
124,similar,1
125,lbs,1
13,months,1
13,weeks,1
15,20,1
15,days,1
15,depending,1
15,hard,1
150,miles,1
150,questions,1
17,months,1
175,lbs,1
18,19,1
18,90,1
18,hours,1
18,yrs,1
19,fair,1
1919,39,1
1b,limited,1
1st,2nd,1
1st,chance,1
1st,lt,1
1st,lts,1
1st,sarg,1
1st,sergeants,1
1st,sgts,1
2,3,1
2,30,1
2,abolish,1
2,days,1
2,dentures,1
2,exhausted,1
2,hrs,1
2,knowledge,1
2,rebel,1
2,relation,1
2,saturday,1
2,time,1
2,yers,1
20,200,1
20,21,1
20,30,1
20,32,1
20,c.o,1
200,mechanics,1
200,negroes,1
21,100,1
21,yrs,1
21st,birthday,1
24,circled,1
240,acre,1
25,cents,1
25,miles,1
25,yr,1
25,yrs,1
25th,div,1
27,49,1
27,yrs,1
28,yrs,1
2nd,day,1
2nd,lts,1
2t3,times,1
3,branches,1
3,camps,1
3,children,1
3,deserves,1
3,juices,1
3,mile,1
3,miles,1
3,mo,1
3,month,1
3,operations,1
3,questions,1
3,time,1
3,training,1
3,week's,1
3,playing,1
3.3,oclock,1
30,30,1
30,31,1
30,capacity,1
30,cents,1
30,cerfie,1
30,day,1
30,days,1
30,sat,1
30,vision,1
30,yr,1
30,yrs,1
300,hours,1
3000,miles,1
3000,whites,1
32,honestly,1
34,35,1
34,america,1
35,replace,1
36,37,1
36,daypasses,1
36,hrs,1
37,38,1
37th,med,1
38,39,1
38,troibes,1
38,yrs,1
39,2,1
4,1,1
4,blind,1
4,brothers,1
4,cadet,1
4,freedoms,1
4,messhalls,1
4,month,1
4,ncos,1
40,cents,1
40,personally,1
400,airplanes,1
400,miles,1
400,worth,1
41,1941,1
41,46,1
42,united,1
42,yrs,1
44,evidently,1
45,division,1
45,pm,1
45,united,1
45th,div,1
45th,division,1
46,47,1
48,hours,1
48,statement,1
49,defends,1
49,rateings,1
4th,class,1
5,0,1
5,10,1
5,6,1
5,aircraft,1
5,corpal,1
5,days,1
5,ft,1
5,methods,1
5,month,1
5,pretanning,1
5,sheets,1
5,volunteers,1
5,yr,1
50,soldiers,1
50000,miles,1
52,1st,1
52,3,1
52,pt,1
53,negroes,1
54,england,1
55,lots,1
56,51,1
57,negroes,1
5svbuysvbuysvbuysvbuysvbuyhk,xetouymnzsero8syrgymdum9ner,1
6,a.m,1
6,day,1
6,ft,1
6,hours,1
6,hr,1
6,hrs,1
6,mo,1
6,month,1
6,mos,1
6,officers,1
6,steps,1
6,weeks,1
60,trucks,1
63,circled,1
63,coming,1
65,dollars,1
6th,month,1
7,bus,1
7,day,1
7,days,1
7,evening,1
7,hrs,1
7,unfair,1
7,weeks,1
70,hrs,1
70,miles,1
8,children,1
8,hour,1
8,hr,1
8,mo,1
8,month,1
8,oclock,1
8,p.m,1
81,division,1
81st,q.m.c,1
83,div,1
83,division,1
87,100,1
87th,med,1
9,10,1
9,pm,1
9,weeks,1
9,yrs,1
90,days,1
90,ready,1
95,draftees,1
980,miles,1
a.g.c,test,1
a.m,aircraft,1
a.m,monday,1
a.r,forbids,1
a.w.o.l's,occur,1
abilities,duties,1
ability,2,1
ability,bullshit,1
ability,lose,1
abilitys,abilities,1
abled,bodied,1
abolish,communisim,1
absolutely,capable,1
academic,questions,1
accept,army,1
accomplish,serveral,1
accomplishment,efficiency,1
accorded,soldiers,1
accurate,measurements,1
accurate,tabulation,1
accurate,view,1
acquainted,qualified,1
acquainted,readily,1
acre,farm,1
act,alike,1
active,service,1
active,unit,1
actual,ability,1
actual,conditions,1
actual,experience,1
actual,fighting,1
actual,necessities,1
actual,warfare,1
additional,8,1
additional,expenditure,1
adequate,method,1
adequate,sleep,1
administration,relative,1
administrative,inspectors,1
administrative,job,1
administrative,officers,1
administrative,policy,1
administrave,administrative,1
admit,negros,1
advance,negroes,1
advanced,age,1
advanced,due,1
advanced,personally,1
advanced,training,1
advancement,education,1
adventerous,illusions,1
adventure,anytime,1
adverge,american,1
advocate's,office,1
advocates,office,1
ae,southerners,1
aerial,gunner,1
affair,negros,1
aforementioned,questionaire,1
africa,providing,1
afternoon,3,1
afternoon,inspections,1
afternoon's,afternoons,1
age,37,1
age,considerably,1
age,limited,1
aged,due,1
aged,mother,1
agencies,set,1
aggressive,nations,1
agricultural,products,1
agricultural,workers,1
ahead,quicker,1
aid,setting,1
aided,england,1
ailments,ect,1
air,attack,1
air,camp,1
air,core,1
air,corp's,1
air,craft,1
air,crafts,1
air,mechanic,1
air,mechanics,1
air,ordnance,1
aircraft,engines,1
aircraft,factory,1
aircraft,maintance,1
aircraft,maintenance,1
aircraft,mechanics,1
aircraft,workers,1
aire,plains,1
airplane,mechanics,1
airplanes,averaging,1
airplanes,tanks,1
airplanes,whatsoever,1
alcatraz,atlantic,1
algie,wood,1
alies,allies,1
alike,2,1
allied,victory,1
allies,claim,1
allies,colored,1
allies,supervision,1
allocate,jobs,1
allotments,correspondence,1
allowed,15,1
allowed,bus,1
allways,feel,1
alotment,allotment,1
alright,civilians,1
alright,overseas,1
amateur,advice,1
ambiguos,question,1
ambiguous,questions,1
ambitious,privates,1
amerian,living,1
america,britain,1
america,poster,1
american,born,1
american,depot,1
american,negro,1
american,outlook,1
american,people,1
americans,feel,1
americans,priveledge,1
amount,extra,1
amount,wether,1
ample,opportunity,1
amusements,musical,1
amy,army,1
animals,ar,1
answer,21,1
answer,civil,1
answer,truthfully,1
answered,correctly,1
answered,fairly,1
answered,question,1
answered,truthfully,1
answerers,residence,1
answering,question,1
answers,bear,1
answers,checked,1
anti,u.s,1
antoher,camp,1
anxious,desired,1
anyother,camp,1
äôs,time,1
appears,trivial,1
apple,polishing,1
approx,250,1
april,42,1
arbitrary,TRUE,1
areto,rail,1
arguments,pro,1
arid,draw,1
armament,factories,1
armed,leaders,1
armed,services,1
armes,army's,1
arms,physical,1
army,2,1
army,adheres,1
army,administrative,1
army,airplane,1
army,alright,1
army,armed,1
army,attached,1
army,authorities,1
army,band,1
army,basis,1
army,board,1
army,bragg,1
army,capital,1
army,check,1
army,classification,1
army,clothes,1
army,commanders,1
army,conditions,1
army,cook,1
army,core,1
army,cry,1
army,cut,1
army,depends,1
army,disregarding,1
army,duty,1
army,egineer,1
army,encourages,1
army,engineers,1
army,experience,1
army,fairly,1
army,families,1
army,feeds,1
army,feel,1
army,fight,1
army,fine,1
army,friendship,1
army,hard,1
army,haulf,1
army,home,1
army,hoping,1
army,house,1
army,idea,1
army,including,1
army,inefficiency,1
army,inspections,1
army,kitchens,1
army,leaders,1
army,live,1
army,makes,1
army,map,1
army,medical,1
army,methods,1
army,mister,1
army,morale,1
army,nowadays,1
army,officer,1
army,offices,1
army,officials,1
army,pasts,1
army,personally,1
army,position,1
army,practice,1
army,pretty,1
army,psychological,1
army,ratings,1
army,realizes,1
army,routine,1
army,sales,1
army,sargents,1
army,school,1
army,sending,1
army,service,1
army,soldiers,1
army,spends,1
army,statistics,1
army,strong,1
army,sucking,1
army,swell,1
army,tells,1
army,ten,1
army,TRUE,1
army,unfit,1
army,untill,1
army,uprisings,1
army,wastes,1
army,wives,1
army.no,46,1
army's,main,1
army's,system,1
army's,worst,1
armys,authorities,1
armys,man's,1
arn't,huge,1
arranged,properly,1
artillery,ensignor,1
asinine,frankly,1
asistance,driver,1
ass,shot,1
ass,sucker,1
assigned,bandsmen,1
assigned,regular,1
atleast,1,1
attack,map,1
attack,tank,1
attain,unanimity,1
attend,college,1
attend,o.c.s,1
attend,school,1
attend,service's,1
attend,tech,1
attended,army,1
atterbury,crier,1
attitude,exists,1
aug,1942,1
aur,coller,1
authorities,treat,1
authority,55,1
authority,properly,1
authorized,stores,1
automatically,wonders,1
automobile,factory,1
automobile,trade,1
auxiliary,forces,1
avaition,aviation,1
average,ability,1
average,class,1
average,limited,1
average,mechanic,1
average,mind,1
average,officer,1
average,person,1
average,solder,1
average,white,1
averaging,300,1
avoid,confusion,1
avout,3.3,1
avowed,purpose,1
awful,din,1
awful,lot,1
awhile,finding,1
b.c,battery,1
b.s,bullshit,1
b's,class,1
bad,20,1
bad,chow,1
bad,company,1
bad,conditions,1
bad,deal,1
bad,discard,1
bad,eye,1
bad,eyes,1
bad,habits,1
bad,hope,1
