UnitID,Institution Name,SECTOR (HD2019)
391546,ASM Beauty World Academy,9
480994,Aspen Beauty Academy of Laurel,9
454829,Aspen University,3
485494,Associated Barber College of San Diego,9
109721,Associated Technical College-Los Angeles,9
109730,Associated Technical College-San Diego,9
379746,Astrodome Career Centers,9
446127,ATA Career Education,6
447935,ATA College,6
452373,ATA College - Cincinnati,6
461768,Atelier Esthetique Institute of Esthetics,9
476683,Athena Career Academy,6
444325,ATI College-Norwalk,3
419244,Atlanta Institute of Music and Media,6
138938,Atlanta School of Massage,9
138929,Atlanta's John Marshall Law School,3
186593,Atlantic Beauty & Spa Academy LLC,9
485768,Atlantis University,3
447917,Augusta School of Massage,9
444556,Auguste Escoffier School of Culinary Arts-Austin,6
454810,Auguste Escoffier School of Culinary Arts-Boulder,6
476869,Austin Kade Academy,9
219851,Austin's Beauty College Inc,9
418782,Automeca Technical College-Aguadilla,9
419703,Automeca Technical College-Bayamon,9
419712,Automeca Technical College-Caguas,9
419721,Automeca Technical College-Ponce,9
211006,Automotive Training Center-Exton,6
448770,Automotive Training Center-Warminster,6
457679,Avalon School of Cosmetology,6
108649,Avalon School of Cosmetology-Alameda,9
372356,Avalon School of Cosmetology-Aurora,9
474924,Avalon School of Cosmetology-Layton,9
104568,Avalon School of Cosmetology-Mesa,9
474915,Avalon School of Cosmetology-Phoenix,9
159513,Aveda Arts & Sciences Institute-Baton Rouge,9
160320,Aveda Arts & Sciences Institute-Covington,9
159522,Aveda Arts & Sciences Institute-Lafayette,9
455354,Aveda Arts & Sciences Institute-San Antonio,9
451468,Aveda Fredric's Institute-Cincinnati,9
457563,Aveda Fredric's Institute-Indianapolis,9
487348,Aveda Institute Portland-Vancouver Campus,9
461652,Aveda Institute-Boise,9
455141,Aveda Institute-Chapel Hill,9
455877,Aveda Institute-Chicago,9
455275,Aveda Institute-Columbus,9
459277,Aveda Institute-Denver,6
475015,Aveda Institute-Des Moines,6
469957,Aveda Institute-Los Angeles,9
487506,Aveda Institute-Madison,9
162830,Aveda Institute-Maryland,9
173744,Aveda Institute-Minneapolis,9
461555,Aveda Institute-New Mexico,9
448071,Aveda Institute-New York,9
484899,Aveda Institute-Phoenix,9
460862,Aveda Institute-Portland,6
451574,Aveda Institute-Provo,9
451149,Aveda Institute-South Florida,9
451158,Aveda Institute-Tallahassee,9
476753,Aveda Institute-Tucson,9
142407,Aveda Institute-Twin Falls,6
491826,Avenue Academy  A Cosmetology Institute,9
458070,Avenue Five Institute,9
494524,Avenue Five Institute-South Austin Campus,9
158778,Avery James School of Cosmetology,9
448257,Avi Career Training,9
486558,Aviation Institute of Maintenance,6
440059,Aviation Institute of Maintenance-Atlanta,6
494764,Aviation Institute of Maintenance-Charlotte,6
427973,Aviation Institute of Maintenance-Chesapeake,6
441788,Aviation Institute of Maintenance-Dallas,6
227748,Aviation Institute of Maintenance-Houston,6
438735,Aviation Institute of Maintenance-Indianapolis,6
441496,Aviation Institute of Maintenance-Kansas City,6
482255,Aviation Institute of Maintenance-Las Vegas,6
445762,Aviation Institute of Maintenance-Manassas,6
457411,Aviation Institute of Maintenance-Orlando,6
250285,Aviation Institute of Maintenance-Philadelphia,6
447847,Aviator College of Aeronautical Science and Technology,6
161800,Award Beauty School,9
158246,Ayers Career College,9
487898,B-Unique Beauty and Barber Academy,9
414489,Baldwin Beauty School-North Austin,9
223056,Baldwin Beauty School-South Austin,9
161855,Baltimore Studio of Hair Design,9
164599,Bancroft School of Massage Therapy,9
223083,Baptist Health System School of Health Professions,3
476610,Barber & Beauty Institute of New York,9
484048,Barber Institute of Texas,9
483054,Barber School of Pittsburgh,9
488022,Barber Tech Academy,9
156277,Barrett and Company School of Hair Design,9
158343,Baton Rouge School of Computers,6
483878,Bay Area Medical Academy,9
164641,Bay State College,3
164678,Bay State School of Technology,9
444194,Bayamon Community College,9
168892,Bayshire Academy of Beauty Craft Inc,9
160995,Beal College,3
485166,Beau Monde Academy of Cosmetology,9
460969,Beauty Academy of South Florida,9
374927,Beauty School of Middletown,9
419660,Beauty Schools of America-Hialeah,9
456861,Beauty Schools of America-Homestead,9
135771,Beauty Schools of America-Miami,9
450182,Beauty Schools of America-North Miami Beach,9
207272,Beauty Technical College Inc,9
215336,Beaver Falls Beauty Academy,9
247065,Beckfield College-Florence,3
126359,Bel-Rea Institute of Animal Technology,6
364760,Bell Mar Beauty College,9
486309,Bella Academy of Cosmetology,9
461193,Bella Capelli Academy,9
483559,Bella Cosmetology College,9
493567,Bellasa Professional Institute,9
481571,Belle Academy of Cosmetology LLC,9
478953,Bellus Academy,9
109934,Bellus Academy-Chula Vista,6
116563,Bellus Academy-El Cajon,6
377722,Bellus Academy-Poway,6
137591,Bene's Career Academy,9
439473,Bennett Career Institute,9
189219,Berk Trade and Business School,9
189228,Berkeley College-New York,3
183789,Berkeley College-Woodland Park,3
189255,Berkowits School of Electrolysis,9
461865,Best Care College,6
475635,Beverly Hills Design Institute,3
457253,Beyond 21st Century Beauty Academy,9
484020,Beyond Measure Barbering Institute,9
487870,Beyond The Basics School of Cosmetology,9
442213,Birthwise Midwifery School,6
457721,Bitterroot School of Cosmetology,9
236018,BJ's Beauty & Barber College,6
224013,BK Cosmo College of Cosmetology,9
219037,Black Hills Beauty College,9
366438,Blades School of Hair Design,9
447810,Blake Austin College,9
373456,Blalock's Professional Beauty College,9
444440,Blue Cliff Career College,9
450128,Blue Cliff College-Alexandria,6
450119,Blue Cliff College-Fayetteville,9
441502,Blue Cliff College-Gulfport,6
450021,Blue Cliff College-Houma,6
439491,Blue Cliff College-Lafayette,6
434821,Blue Cliff College-Metairie,6
439482,Blue Cliff College-Shreveport,6
491482,Blush School of Makeup,9
481483,Boca Beauty Academy,9
489238,Boca Beauty Academy-Parkland,9
476850,Boise Barber College,6
444316,Bold Beauty Academy,6
481456,Bonnie Joseph Academy of Cosmetology & Barbering,9
454759,Borner's Barber College,9
483948,Bos-Man's Barber College,9
202161,Bradford School,6
479992,Brand College,9
451042,Branford Academy of Hair and Cosmetology,9
448974,Branford Hall Career Institute-Albany Campus,9
484385,Branford Hall Career Institute-Amityville,9
195933,Branford Hall Career Institute-Bohemia Campus,9
128674,Branford Hall Career Institute-Branford Campus,9
249140,Branford Hall Career Institute-Jersey City,9
184047,Branford Hall Career Institute-Parsippany,9
434520,Branford Hall Career Institute-Southington Campus,9
438805,Branford Hall Career Institute-Springfield Campus,9
477002,Brighton Institute of Cosmetology,9
493530,Bristol School of Hair Design,9
449311,Brittany Beauty Academy,9
460446,Brittany Beauty Academy,9
189404,Brittany Beauty Academy,9
189468,Brittany Beauty Academy,9
230056,Broadview University-West Jordan,3
448424,Broken Arrow Beauty College,9
206880,Broken Arrow Beauty College-Broken Arrow,9
444088,Brookline College-Albuquerque,3
104090,Brookline College-Phoenix,3
404055,Brookline College-Tempe,3
438179,Brookline College-Tucson,3
441645,Brown Aveda Institute-Mentor,6
450395,Brown Aveda Institute-Strongsville,6
491695,Brown Beauty Barber School,9
139214,Brown College of Court Reporting,6
110194,Brownson Technical School,9
110219,Bryan University,3
369516,Bryan University,3
454458,Bryan University,6
475699,Bryant & Stratton College-Akron,3
188517,Bryant & Stratton College-Albany,3
189556,Bryant & Stratton College-Amherst,3
458502,Bryant & Stratton College-Bayshore,3
189583,Bryant & Stratton College-Buffalo,3
202684,Bryant & Stratton College-Cleveland,3
189592,Bryant & Stratton College-Greece,3
459107,Bryant & Stratton College-Hampton,3
410496,Bryant & Stratton College-Henrietta,6
480091,Bryant & Stratton College-Online,3
201469,Bryant & Stratton College-Parma,3
492458,Bryant & Stratton College-Racine,3
231828,Bryant & Stratton College-Richmond,3
369905,Bryant & Stratton College-Solon,3
374972,Bryant & Stratton College-Southtowns,3
189574,Bryant & Stratton College-Syracuse,6
189565,Bryant & Stratton College-Syracuse North,3
231785,Bryant & Stratton College-Virginia Beach,3
451750,Bryant & Stratton College-Wauwatosa,3
461740,Buckner Barber School,9
211316,Bucks County School of Beauty Culture Inc,9
490948,Bull City Durham Beauty and Barber College,9
488554,Burrell College of Osteopathic Medicine,3
211334,Butler Beauty Academy,9
213330,Butler Beauty Academy-Kittanning Beauty Academy,9
367431,Butler Beauty Academy-New Castle Beauty Academy,9
180063,Butte Academy of Beauty Culture,9
490364,C. Alexander School of Cosmetology,9
421665,Cadillac Institute of Cosmetology,9
446084,CALC Institute of Technology,9
433420,California Aeronautical University,3
486497,California Barber and Beauty College,9
110875,California Beauty School,9
447713,California Career College,6
481386,California Career Institute,9
262402,California Career School,9
492661,California College of Barbering and Cosmetology,9
111054,California Hair Design Academy,9
442985,California Healing Arts College,9
488572,California Health Sciences University,3
490285,California Institute of Arts & Technology,6
491507,California Institute of Medical Science,9
485546,California Intercontinental University,3
480781,California Miramar University,3
455734,California Nurses Educational Institute,9
483443,California Technical Academy,9
454865,Cambridge College of Healthcare & Technology,3
446109,Cambridge Institute of Allied Health & Technology,3
446093,Cambridge Junior College-Yuba City,9
444264,Cambridge Technical Institute,9
417549,Camelot College,9
143464,Cameo Beauty Academy,9
230065,Cameo College of Essential Beauty,9
401481,Cannella School of Hair Design-Blue Island,9
143482,Cannella School of Hair Design-Chicago,9
143491,Cannella School of Hair Design-Chicago,9
143473,Cannella School of Hair Design-Villa Park,9
413413,Capella University,3
461704,Capilo School of Hair Design,9
365693,Capitol School of Hairstyling and Esthetics,6
457031,Capri Beauty College,9
143552,Capri Beauty College,9
153083,Capri College-Cedar Rapids,6
154448,Capri College-Davenport,6
153074,Capri College-Dubuque,6
189714,Capri Cosmetology Learning Centers,9
407391,Capri Institute of Hair Design-Brick,9
363077,Capri Institute of Hair Design-Clifton,9
407407,Capri Institute of Hair Design-Kenilworth,9
407425,Capri Institute of Hair Design-Paramus,9
377759,Capstone College,9
455707,Cardiac and Vascular Institute of Ultrasound,6
111513,Career Academy of Beauty,9
107220,Career Academy of Hair Design,9
444468,Career Beauty College,9
446118,Career Care Institute,6
181941,Career College of Northern Nevada,6
454801,Career Development Institute Inc,9
433013,Career Networks Institute,3
493424,Career Quest Learning Center-Bay City Branch,6
