"state","year","per_change","11","13","15","17","19","21","23","25","27","29","31","33","35","37","39","41","43","45","47","49","51","53","55","<NA>"
"Arizona",2014,-61.64,"9.85","6.15","10.28","2.55","0.81","1.16","0.88","3.58","2.27","12.87","2.07","1.13","4.75","1.38","3.47","12.70","11.39","0.03","0.86","2.77","2.22","4.37","0.05","2.40"
"Arizona",2015,-57.96,"9.81","6.84","11.06","2.51","0.77","1.09","0.52","3.30","1.88","14.98","2.04","1.14","4.68","1.16","2.74","12.08","11.17","0.03","0.71","2.49","1.78","4.99","0.04","2.19"
"Arizona",2016,-60.39,"9.36","6.41","8.56","2.35","0.87","1.11","0.45","3.16","1.76","17.17","2.25","1.14","4.95","1.21","2.10","11.62","11.03","0.04","0.80","2.63","1.92","6.56","0.04","2.49"
"Arizona",2017,-62.07,"8.81","6.99","8.04","2.52","0.84","0.95","0.45","2.57","1.79","18.57","2.19","1.11","5.11","1.24","1.96","10.93","12.28","0.05","0.85","2.67","2.11","5.38","0.06","2.53"
"Arizona",2018,-55.57,"9.65","6.50","9.30","2.66","0.84","1.15","0.58","3.94","2.00","11.17","2.08","1.18","5.49","1.89","3.00","10.67","12.56","0.05","1.33","3.47","2.55","5.03","0.07","2.84"
"Arizona",2019,-51.26,"9.61","6.40","8.73","2.73","0.78","1.32","0.55","3.58","2.02","11.91","2.50","1.17","5.82","2.06","2.85","10.18","12.30","0.06","1.38","3.63","2.62","4.95","0.10","2.76"
"Arkansas",2010,-72.39,"12.22","4.70","6.91","2.22","0.70","1.13","0.54","1.65","2.64","16.54","3.00","0.90","2.52","1.04","1.45","16.59","9.92","0.06","1.13","4.41","1.66","5.46","0.08","2.54"
"Arkansas",2011,-73.52,"14.01","5.28","7.89","2.52","0.69","1.19","0.58","1.60","1.88","14.37","2.47","0.85","2.01","0.92","1.19","15.27","10.09","0.05","1.20","4.12","2.36","7.00","0.08","2.38"
"Arkansas",2012,-69.53,"12.38","5.09","6.89","2.74","0.89","1.28","0.72","1.86","2.25","17.75","2.73","0.96","2.56","0.89","1.31","12.51","10.12","0.06","1.36","3.73","2.31","6.85","0.25","2.53"
"Arkansas",2013,-62.69,"11.55","4.59","5.52","2.36","0.77","1.48","0.79","1.82","2.30","12.60","2.20","1.03","4.23","1.28","2.36","14.35","11.07","0.12","1.38","3.96","2.32","8.40","0.32","3.19"
"Arkansas",2014,-65.95,"10.74","4.64","5.63","2.35","0.87","1.67","0.58","2.62","2.57","10.88","1.73","1.09","4.22","1.18","2.92","15.65","11.19","0.09","1.07","3.39","2.76","9.14","0.28","2.73"
