"maj_occ_code","year","state","bgt","per_bgt","tot_emp","per_oes","abb","region"
11,2011,"Iowa",19119,10.4649826213087,62310,4.29988061637833,"IA","Midwest"
11,2011,"Kansas",20708,12.5501509072617,55370,4.23295389390476,"KS","Midwest"
11,2011,"Kentucky",15331,11.833584192042,79040,4.56121924899156,"KY","South"
11,2011,"Louisiana",18809,12.3055282957148,79930,4.3445411951429,"LA","South"
11,2011,"Maine",7430,11.4160162251859,32810,5.69974289486485,"ME","Northeast"
11,2011,"Maryland",45224,13.8082646848684,151890,6.12294259212229,"MD","South"
11,2011,"Massachusetts",61384,15.5561637725674,194680,6.16657480788845,"MA","Northeast"
11,2011,"Michigan",48650,12.0703129845803,172640,4.50874902063202,"MI","Midwest"
11,2011,"Minnesota",37466,13.4371503170459,149220,5.74929203028377,"MN","Midwest"
11,2011,"Mississippi",9381,13.322634703326,47060,4.38542540303793,"MS","South"
11,2011,"Missouri",38965,11.9334921811355,119550,4.61401301417974,"MO","Midwest"
11,2011,"Montana",4464,12.2405330554718,13970,3.28620827550516,"MT","West"
11,2011,"Nebraska",13218,12.3230967164513,30580,3.38038756176558,"NE","Midwest"
11,2011,"Nevada",18009,13.3299284984678,49380,4.43753482269631,"NV","West"
11,2011,"New Hampshire",7201,12.2988898377455,33820,5.57451087046103,"NH","Northeast"
11,2011,"New Jersey",70034,15.5054652370188,195190,5.17573748757043,"NJ","Northeast"
11,2011,"New Mexico",12121,11.0583984891752,37860,4.86857671930456,"NM","West"
11,2011,"New York",131963,17.0816602851366,397900,4.7214140273104,"NY","Northeast"
11,2011,"North Carolina",48841,12.9304776024568,168470,4.41615157568037,"NC","South"
11,2011,"North Dakota",3820,10.1760835397853,15950,4.29190323709065,"ND","Midwest"
11,2011,"Ohio",60634,12.7918481872554,200440,4.02658947228857,"OH","Midwest"
11,2011,"Oklahoma",14692,10.6770927959419,78400,5.23273664117042,"OK","South"
11,2011,"Oregon",31078,12.5048284297946,77710,4.89783312954583,"OR","West"
11,2011,"Pennsylvania",78798,13.3051239535457,208380,3.75510880769259,"PA","Northeast"
11,2011,"Rhode Island",8747,11.1013808508478,19820,4.39487338684642,"RI","Northeast"
11,2011,"South Carolina",20641,11.0455875978616,75100,4.23604530481476,"SC","South"
11,2011,"South Dakota",4405,11.064225253058,11820,3.01016120406448,"SD","Midwest"
11,2011,"Tennessee",30647,13.757979511398,141720,5.4459098035599,"TN","South"
11,2011,"Texas",143317,13.7048405913516,478910,4.64763978777936,"TX","South"
11,2011,"Utah",12689,10.6439733921636,52930,4.53952897991389,"UT","West"
11,2011,"Vermont",4256,10.825660070204,13140,4.51810335935082,"VT","Northeast"
11,2011,"Virginia",57679,13.7659368302474,172450,4.85315307202197,"VA","South"
11,2011,"Washington",45375,14.0369926961235,126950,4.66614718487426,"WA","West"
11,2011,"West Virginia",5830,10.9354191285428,31080,4.43841485183863,"WV","South"
11,2011,"Wisconsin",29088,11.9138409112319,114240,4.31879872069198,"WI","Midwest"
11,2011,"Wyoming",2972,12.7117194183062,12090,4.43555783835345,"WY","West"
11,2012,"Alabama",22223,12.0058778720806,66790,3.66092962069722,"AL","South"
11,2012,"Alaska",8045,10.7457224144149,17920,5.62284279887041,"AK","West"
11,2012,"Arizona",37382,11.8158744006246,135610,5.61685595235137,"AZ","West"
11,2012,"Arkansas",13847,12.383073098317,52730,4.5652889127461,"AR","South"
11,2012,"California",259099,14.0731993866647,808170,5.65010420431737,"CA","West"
11,2012,"Colorado",47130,12.7351187178954,95170,4.27507456786574,"CO","West"
11,2012,"Connecticut",32785,14.5546158797807,109130,6.73384260344806,"CT","Northeast"
11,2012,"Delaware",8602,11.8362573099415,17520,4.31792975970425,"DE","South"
11,2012,"District of Columbia",20917,16.902899440799,78020,11.9340430739109,"DC","South"
11,2012,"Florida",70991,12.093516882816,239180,3.28821738144174,"FL","South"
11,2012,"Georgia",63329,12.3178694592539,205130,5.37618627032155,"GA","South"
11,2012,"Hawaii",9476,9.64105485918932,34420,5.8516516210197,"HI","West"
11,2012,"Idaho",8566,9.00745538859504,31020,5.18261102014903,"ID","West"
11,2012,"Illinois",80057,14.4001654839957,329550,5.84231856103986,"IL","Midwest"
11,2012,"Indiana",29311,12.6453889694209,119150,4.2373182736351,"IN","Midwest"
11,2012,"Iowa",19550,10.1198857048203,67770,4.60788446632308,"IA","Midwest"
11,2012,"Kansas",16606,12.0299335694985,55340,4.18950428489235,"KS","Midwest"
11,2012,"Kentucky",17739,11.3441025247487,80530,4.56325258535203,"KY","South"
11,2012,"Louisiana",16830,11.6131436220864,79910,4.27735639997645,"LA","South"
11,2012,"Maine",6171,10.3948387966176,32850,5.65297447987472,"ME","Northeast"
11,2012,"Maryland",38251,12.9189253086107,148840,5.92827441171316,"MD","South"
11,2012,"Massachusetts",61031,16.3106863578297,211860,6.61632438914705,"MA","Northeast"
11,2012,"Michigan",53403,11.4921528499584,185030,4.72241789429624,"MI","Midwest"
11,2012,"Minnesota",31606,12.4628846100765,161560,6.117124996687,"MN","Midwest"
11,2012,"Mississippi",7383,11.3471144240375,48010,4.44364228725866,"MS","South"
11,2012,"Missouri",34015,11.6071154364569,131960,5.06387404016255,"MO","Midwest"
11,2012,"Montana",4925,11.0386408463332,13970,3.2309542532032,"MT","West"
11,2012,"Nebraska",10735,11.1806611535818,31080,3.39735251358176,"NE","Midwest"
11,2012,"Nevada",17573,12.4841931771359,50270,4.45988147201817,"NV","West"
11,2012,"New Hampshire",6801,11.8894444250201,33500,5.4675131791549,"NH","Northeast"
11,2012,"New Jersey",70155,14.9662403601028,196140,5.17012325632888,"NJ","Northeast"
11,2012,"New Mexico",10221,11.1349572947534,38870,5.02287235417259,"NM","West"
11,2012,"New York",140997,16.9712938299007,407170,4.76652603286242,"NY","Northeast"
11,2012,"North Carolina",45651,12.056666411365,170020,4.38331442714242,"NC","South"
11,2012,"North Dakota",4471,9.79322731852631,17680,4.38394207642143,"ND","Midwest"
11,2012,"Ohio",53357,11.9973197883712,230510,4.56071622891626,"OH","Midwest"
11,2012,"Oklahoma",13802,10.3484989353088,83100,5.43172756389307,"OK","South"
11,2012,"Oregon",22776,11.1149609834418,83650,5.19597490527362,"OR","West"
11,2012,"Pennsylvania",69069,13.1430322082212,211880,3.78595116930642,"PA","Northeast"
11,2012,"Rhode Island",8491,11.0582933944572,20380,4.49869762924374,"RI","Northeast"
11,2012,"South Carolina",17358,10.0676279188465,75240,4.18802705184938,"SC","South"
11,2012,"South Dakota",5520,9.0465108656462,11930,2.99237483696197,"SD","Midwest"
11,2012,"Tennessee",27290,12.7218990079809,141630,5.32988619942197,"TN","South"
11,2012,"Texas",130094,12.9389603001261,493840,4.66793958069456,"TX","South"
11,2012,"Utah",11427,9.8135536451937,53680,4.47016696506641,"UT","West"
11,2012,"Vermont",3751,11.5234555005991,13180,4.48162127239961,"VT","Northeast"
11,2012,"Virginia",55948,13.2987245128381,175750,4.88588029245781,"VA","South"
11,2012,"Washington",52955,13.8807339449541,131910,4.77229313189199,"WA","West"
11,2012,"West Virginia",5441,10.0777921837377,33530,4.71894615362963,"WV","South"
11,2012,"Wisconsin",25205,11.3559566396641,116140,4.34447570026335,"WI","Midwest"
11,2012,"Wyoming",2366,10.3926908547834,12200,4.3878578621781,"WY","West"
11,2013,"Alabama",25163,10.6766292010879,66820,3.62348705045334,"AL","South"
11,2013,"Alaska",6081,9.60724216380182,18530,5.74288724973656,"AK","West"
