"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"28","Mississippi",1329899,13076,92744,6010,6.97376266919518
"29","Missouri",3078317,14731,141163,7206,4.58572005417246
"30","Montana",540463,6144,18844,2148,3.48664015853074
"31","Nebraska",1048598,6719,34967,3601,3.33464301858291
"32","Nevada",1522722,10190,90032,6064,5.91256972710712
"33","New Hampshire",759219,6404,28888,2682,3.80496273143849
"34","New Jersey",4755006,20709,252810,8826,5.31671253411668
"35","New Mexico",939545,11038,61065,5208,6.4994225928508
"36","New York",10218721,31103,560001,15070,5.48014766231508
"37","North Carolina",5143222,22743,266777,10545,5.18696256937772
"38","North Dakota",426288,4169,12307,1886,2.88701535112412
"39","Ohio",5894531,19979,303348,9053,5.14626184848294
"40","Oklahoma",1874308,12618,99619,4761,5.31497491340804
"41","Oregon",2102930,14148,107100,6294,5.09289419999715
"42","Pennsylvania",6524656,22895,345226,11856,5.29109887172596
"44","Rhode Island",574161,5734,32751,3235,5.70414918463636
"45","South Carolina",2444647,15640,139747,7533,5.71644904151806
"46","South Dakota",461825,5289,16208,2173,3.50955448492394
"47","Tennessee",3311043,16408,162289,8277,4.90144646264032
"48","Texas",14001860,37078,716417,19631,5.11658451091498
"50","Vermont",339579,3865,12759,1669,3.7572994796498
"49","Utah",1564636,8158,55695,3929,3.55961386546136
"51","Virginia",4478943,19180,200754,7156,4.48217358425861
"53","Washington",3834306,15696,186414,7156,4.86174029928754
"54","West Virginia",778673,9748,51986,4693,6.67622994504754
"55","Wisconsin",3089775,11364,107459,5010,3.4778907849277
"56","Wyoming",301010,4453,15376,2432,5.1081359423275
"72","Puerto Rico",1201605,17497,196859,8771,16.383004398284
"01","Alabama",2207208,16177,128302,6480,5.81286403456312
"02","Alaska",389858,4919,28267,2745,7.25058867587686
"04","Arizona",3337245,16047,192721,9109,5.77485320975835
"05","Arkansas",1378801,12131,76495,4752,5.54793621414548
"06","California",20064003,43637,1178551,20290,5.87395745505022
"08","Colorado",3061921,16229,127259,6272,4.15618169116708
"10","Delaware",463756,6371,24300,3055,5.2398243904122
"11","District of Columbia",408910,6211,26726,2853,6.53591254799345
"09","Connecticut",1931298,13346,117360,6268,6.07674217029169
"12","Florida",10093485,32463,552245,13813,5.47130153757597
"13","Georgia",5185489,26167,296040,11224,5.70900835003218
"16","Idaho",825230,8921,34000,3496,4.1200634974492
"15","Hawaii",753340,7524,29762,2742,3.95067300289378
"17","Illinois",6660640,23417,407967,12216,6.12504203800235
"18","Indiana",3346097,16495,158556,6552,4.73853567305431
"19","Iowa",1681435,8547,60190,4018,3.57968045151909
"20","Kansas",1516538,8937,63084,3642,4.15973750740173
"21","Kentucky",2106749,12987,115271,5126,5.47151084443377
"22","Louisiana",2180136,16672,141608,7237,6.49537460048364
"23","Maine",702420,6896,29493,2870,4.1987699666866
"24","Maryland",3294443,13016,170419,6439,5.17292301005056
"25","Massachusetts",3776331,17158,172091,6738,4.5570952334422
"26","Michigan",4949724,19116,291020,7831,5.87951974695963
"27","Minnesota",3073117,11167,110757,4979,3.60406063290138
