"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"28","Mississippi",1347122,11541,141506,6887,10.504319579073
"29","Missouri",3055187,14196,226716,8611,7.42069143394496
"30","Montana",520022,6338,33601,2563,6.46145739987924
"31","Nebraska",1016783,6296,46652,3361,4.58819630147239
"32","Nevada",1425069,10124,155437,6689,10.9073315046499
"33","New Hampshire",740291,6927,44644,3608,6.03060147968839
"34","New Jersey",4684500,16732,424406,11235,9.05979293414452
"35","New Mexico",968375,9566,88129,5511,9.10070995223958
"36","New York",10109214,30440,872645,19039,8.63217456866577
"37","North Carolina",4910945,18059,465380,11303,9.47638387316494
"38","North Dakota",406511,4328,10399,1391,2.55811035863728
"39","Ohio",5828751,21815,473028,12305,8.11542644384706
"40","Oklahoma",1848685,9102,113878,4949,6.15994612386642
"41","Oregon",1968751,12152,181042,8584,9.19577945611202
"42","Pennsylvania",6531412,20316,539153,12376,8.25476941280079
"44","Rhode Island",570382,6951,52282,3667,9.16613778134654
"45","South Carolina",2324196,14130,217153,8549,9.3431448982788
"46","South Dakota",452420,4775,18111,1955,4.00313867645109
"47","Tennessee",3174580,18713,275941,10358,8.69220495309616
"48","Texas",13080899,34429,917139,17435,7.01128416326737
"50","Vermont",342858,3831,19796,1837,5.77381889878609
"49","Utah",1409444,11224,77882,4320,5.52572503767443
"51","Virginia",4371554,18979,282457,8981,6.46124924912285
"53","Washington",3556019,17121,277682,8107,7.80878842323396
"54","West Virginia",823276,9325,69927,4348,8.49374936230377
"55","Wisconsin",3074819,13157,199318,5919,6.48226773673507
"56","Wyoming",313521,4195,15775,1968,5.03156088427888
"72","Puerto Rico",1302041,11073,235338,8388,18.0745460396408
"01","Alabama",2236592,15619,214268,8755,9.5801111691359
"02","Alaska",402842,5059,33687,2918,8.36233560552276
"04","Arizona",3079823,14693,273610,8895,8.88395209724715
"05","Arkansas",1355262,12002,109317,5200,8.06611562930267
"06","California",19176953,35942,1913490,22188,9.97807107312616
"08","Colorado",2824234,14024,195693,7597,6.92906465965639
"10","Delaware",473386,5490,40461,3352,8.54714757090408
"11","District of Columbia",375082,4898,38858,3172,10.359867975536
"09","Connecticut",1959836,10871,180553,7433,9.21265861021024
"12","Florida",9422271,30184,909274,18782,9.65026372092248
"13","Georgia",4892917,25266,498751,14248,10.1933263940508
"16","Idaho",768417,8294,55466,4473,7.218216150866
"15","Hawaii",730827,6153,41614,3154,5.69409723505016
"17","Illinois",6728373,20672,638222,12593,9.48553238650711
"18","Indiana",3285290,15832,257007,8284,7.82296235644342
"19","Iowa",1657859,8288,79913,4077,4.8202531095829
"20","Kansas",1502563,9728,87504,5340,5.82364932452084
"21","Kentucky",2080059,11837,173010,6640,8.31755253096186
"22","Louisiana",2201016,14599,174830,7420,7.94314989077771
"23","Maine",693052,6154,47974,3432,6.92213571276037
"24","Maryland",3250380,13778,239933,8938,7.38169075615774
"25","Massachusetts",3689103,17702,286768,10244,7.77338014145986
"26","Michigan",4850235,20039,476509,10802,9.82445180491255
"27","Minnesota",2992535,10458,162880,4806,5.44287702566553
