"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"01","Alabama",2236878,15457,222017,8226,9.92530661037392
"02","Alaska",397115,4604,29864,2563,7.52023972904574
"04","Arizona",3076722,14747,300531,7230,9.76789583199262
"05","Arkansas",1372556,10720,115297,5360,8.40016727914927
"06","California",19068155,38591,2151166,24556,11.2814585364971
"08","Colorado",2808337,12103,216624,8210,7.71360417214886
"10","Delaware",470752,5210,41017,3812,8.71308034803888
"11","District of Columbia",368070,5533,37718,3642,10.2475072676393
"09","Connecticut",1958032,9681,189561,7170,9.68120030724728
"12","Florida",9409668,27650,1080331,19560,11.4810745713876
"13","Georgia",4843992,22913,528978,11417,10.9202905372263
"16","Idaho",774831,7323,61864,4718,7.98419268201711
"15","Hawaii",735451,6630,49398,3085,6.7166949259706
"17","Illinois",6729843,20141,682518,10960,10.1416630373101
"18","Indiana",3295395,13986,288609,8736,8.7579485918987
"19","Iowa",1646420,7583,87916,4029,5.33982823337909
"20","Kansas",1510382,8470,97003,4720,6.42241499170409
"21","Kentucky",2076714,11193,191844,6548,9.23786327823668
"22","Louisiana",2210208,12920,193512,7813,8.75537505972289
"23","Maine",700752,7181,53326,2697,7.60982487384981
"24","Maryland",3229761,12648,264281,7657,8.18267977104188
"25","Massachusetts",3647354,16035,308598,9211,8.46087327964327
"26","Michigan",4832544,17399,544045,10699,11.2579419866638
"27","Minnesota",2975845,12111,186027,7127,6.25123284310843
"28","Mississippi",1356521,10038,152580,7046,11.247890744043
"29","Missouri",3044407,12459,259942,8768,8.5383458913345
"30","Montana",523305,4586,37280,3160,7.12395257068058
"31","Nebraska",1015594,6233,53727,3251,5.2902045502435
"32","Nevada",1411331,9693,172282,5865,12.2070584434126
"33","New Hampshire",741565,6474,47922,3941,6.46227909893266
"34","New Jersey",4684932,16137,471538,10688,10.064991338188
"35","New Mexico",978436,8942,99454,5426,10.1645892015421
"36","New York",10052158,25845,927351,14692,9.22539219936654
"37","North Carolina",4869338,20701,516566,12634,10.608546788085
"38","North Dakota",397411,3423,13065,2116,3.28752852840007
"39","Ohio",5820299,19274,527315,12654,9.05992973900482
"40","Oklahoma",1837468,10061,123635,4286,6.72855255166348
"41","Oregon",1955966,10817,215292,7947,11.006939793432
"42","Pennsylvania",6513773,18639,576117,11909,8.84459743991693
"44","Rhode Island",568402,6653,52997,3549,9.32385881823076
"45","South Carolina",2295100,13335,253703,9403,11.0541152890942
"46","South Dakota",449465,4822,20915,1686,4.65331004638848
"47","Tennessee",3137337,14741,296484,8795,9.45018020059688
"48","Texas",12841906,29200,1015391,19316,7.90685588260808
"50","Vermont",348871,3925,22400,2075,6.42071138042428
"49","Utah",1412812,7641,95806,5448,6.78122779251592
"51","Virginia",4342319,18160,294111,9003,6.77313205225134
"53","Washington",3556836,14481,306984,9283,8.63081682709015
"54","West Virginia",818616,8787,65787,4422,8.03636870034302
"55","Wisconsin",3070595,10810,223879,6884,7.29106248137576
"56","Wyoming",308503,4136,17113,2195,5.54710975257939
"72","Puerto Rico",1325294,12744,229733,8796,17.3344933275183
