"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"17","Illinois",6628213,21241,320069,10531,4.82888826897989
"13","Georgia",5308730,24358,251981,10147,4.74654013295082
"16","Idaho",881838,7866,29127,3307,3.30298762357712
"15","Hawaii",745236,7641,27112,2589,3.63804217724318
"18","Indiana",3419651,18902,142084,6776,4.15492692090509
"19","Iowa",1682701,11442,62357,5020,3.70576828563126
"20","Kansas",1533054,8815,56737,4201,3.70091334029982
"21","Kentucky",2112749,13966,100537,5586,4.75858703518496
"22","Louisiana",2179183,15554,118011,7965,5.41537814859973
"23","Maine",711235,7263,24471,2757,3.44063495187948
"24","Maryland",3279799,16469,147356,7573,4.49283629880977
"25","Massachusetts",3857469,14700,151812,8390,3.93553389541173
"26","Michigan",5010213,20079,250252,8145,4.99483754483093
"27","Minnesota",3112899,11893,98727,5575,3.17154523805623
"09","Connecticut",1937195,11851,102571,5672,5.29482060401766
"12","Florida",10500485,32817,471449,15315,4.48978309097151
"01","Alabama",2281982,16142,111622,7022,4.89144962580774
"02","Alaska",377728,5689,20650,2390,5.46689681463911
"04","Arizona",3506306,18892,176868,9230,5.04428307169996
"05","Arkansas",1398200,11911,67142,4563,4.80203118294951
"06","California",20246507,39645,1017660,19493,5.02634849557012
"08","Colorado",3182096,13785,115497,5605,3.62958879933226
"10","Delaware",494432,5684,22631,3219,4.57717138049317
"11","District of Columbia",416359,5292,25916,2563,6.22443612363369
"28","Mississippi",1342991,14754,87817,7259,6.5389120254715
"29","Missouri",3078235,15999,116062,6720,3.770407392548
"30","Montana",545370,5673,22004,2812,4.03469204393348
"31","Nebraska",1049680,6750,34133,3095,3.25175291517415
"32","Nevada",1568228,12829,79000,5738,5.03753280772949
"33","New Hampshire",759931,6658,22609,2470,2.97513853231412
"34","New Jersey",4731226,16614,220476,7471,4.66001835465057
"35","New Mexico",972732,10063,52489,4562,5.39603919681886
"36","New York",10085219,29418,445165,14421,4.41403404328652
"37","North Carolina",5272092,21839,236872,9383,4.49294132196479
"38","North Dakota",424480,5344,10920,1826,2.57255936675462
"39","Ohio",5976393,21964,272654,10309,4.56218324330411
"40","Oklahoma",1895848,12202,81705,4228,4.30968094488588
"41","Oregon",2158612,15138,107991,7321,5.00279809433099
"42","Pennsylvania",6592650,22460,295633,9174,4.4842817379961
"44","Rhode Island",575681,7866,24199,2783,4.20354328178279
"45","South Carolina",2513088,15364,116037,6642,4.61730747192299
"46","South Dakota",469624,5298,14033,1754,2.98813518900227
"47","Tennessee",3387696,19882,152373,8381,4.4978356971818
"48","Texas",14574146,39860,635077,15643,4.3575589266088
"50","Vermont",343455,4237,11552,1656,3.36346828551047
"49","Utah",1656987,10052,52422,4796,3.16369410260913
"51","Virginia",4537998,17227,175528,8599,3.86796115820236
"53","Washington",3988571,19526,179353,8082,4.49667311927003
"54","West Virginia",795104,9948,47424,4747,5.96450275687206
"55","Wisconsin",3104192,12552,98873,5053,3.18514447559945
"56","Wyoming",297245,4914,10539,1720,3.54556005988326
"72","Puerto Rico",1217280,13841,171370,8258,14.0781085699264
