"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"28","Mississippi",1335130,10207,117629,6392,8.81030311655045
"29","Missouri",3062893,15535,162229,6576,5.29659377588443
"30","Montana",516733,6155,23334,2264,4.51567830968798
"31","Nebraska",1025079,6286,32754,2446,3.19526592584572
"32","Nevada",1455305,10116,115018,6255,7.90336046395773
"33","New Hampshire",746877,6976,31658,2567,4.23871668293441
"34","New Jersey",4693629,19819,309500,8976,6.59404482118207
"35","New Mexico",959937,11157,70505,4343,7.34475283273798
"36","New York",10151319,28755,654885,14001,6.45123062333082
"37","North Carolina",4961798,19918,335787,12282,6.76744599437543
"38","North Dakota",422055,4341,10886,1787,2.57928469038395
"39","Ohio",5870498,20337,373897,9226,6.36908487150494
"40","Oklahoma",1873166,9585,101088,4577,5.39663863213404
"41","Oregon",2020961,11365,137739,7121,6.81551994323493
"42","Pennsylvania",6521542,19426,408542,10957,6.26450002162065
"44","Rhode Island",562201,7148,34758,2973,6.18248633495849
"45","South Carolina",2364295,16057,170589,6867,7.21521637528312
"46","South Dakota",457359,5855,18144,2100,3.96712429404472
"47","Tennessee",3217464,16458,199471,8079,6.1996342461019
"48","Texas",13533555,33388,743232,18947,5.49177211752566
"50","Vermont",340945,3400,12848,1899,3.76834973382804
"49","Utah",1475513,11592,58198,4106,3.94425532001412
"51","Virginia",4437140,15936,236298,8488,5.32545738921918
"53","Washington",3658933,17466,215453,7344,5.88841063774603
"54","West Virginia",797526,7666,58270,4083,7.30634487151516
"55","Wisconsin",3094071,10765,131766,5292,4.25866116194489
"56","Wyoming",312541,5457,15041,2490,4.81248860149548
"72","Puerto Rico",1266346,10064,238625,8401,18.8435861920834
"01","Alabama",2207097,15696,157544,6651,7.13806416301594
"02","Alaska",402913,4718,30399,2820,7.54480495789414
"04","Arizona",3171567,18040,216440,8058,6.8243868094226
"05","Arkansas",1354655,10645,78751,4965,5.81336207373833
"06","California",19586686,40832,1418357,20800,7.24143430899949
"08","Colorado",2947718,15138,151603,7524,5.14306321025281
"10","Delaware",478082,5623,27693,2475,5.79252094828921
"11","District of Columbia",393578,5010,28235,2606,7.17392740447891
"09","Connecticut",1949658,10676,134494,5344,6.89833806749697
"12","Florida",9722242,28278,678064,17193,6.97435838359095
"13","Georgia",5005562,21508,352199,11045,7.03615298342124
"16","Idaho",791674,7903,42149,3752,5.32403489315046
"15","Hawaii",754691,7151,35025,3151,4.64097226547024
"17","Illinois",6674925,20563,460831,13244,6.90391277804619
"18","Indiana",3315616,16715,192637,8688,5.80999126557478
"19","Iowa",1670671,10218,69428,4471,4.1556955259294
"20","Kansas",1506093,10150,69132,4299,4.59015479123799
"21","Kentucky",2075620,12621,133812,5321,6.44684479818078
"22","Louisiana",2208403,15187,155558,7833,7.04391363351707
"23","Maine",687008,7307,36802,3134,5.35685173971773
"24","Maryland",3238521,15680,175802,7499,5.42846564836232
"25","Massachusetts",3744289,14990,217480,7674,5.80831233913835
"26","Michigan",4866118,15730,349396,8597,7.18017935446695
"27","Minnesota",3041112,9704,126360,5095,4.1550590704979
