"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"01","Alabama",2233463,12316,190233,7184,8.51740100462824
"02","Alaska",398899,4809,29164,2352,7.3111238684479
"04","Arizona",3130407,14357,247005,8596,7.89050752825431
"05","Arkansas",1364825,11434,91977,4566,6.73910574615793
"06","California",19406593,36297,1638567,20205,8.44335221540432
"08","Colorado",2885091,12496,155638,6255,5.39456121141413
"10","Delaware",475685,5522,31847,3010,6.69497671778593
"11","District of Columbia",382575,5388,33594,2966,8.78102332875907
"09","Connecticut",1962011,9987,154069,6568,7.85260633095329
"12","Florida",9557162,32975,764681,19820,8.00113046111387
"13","Georgia",4917488,21420,403398,12473,8.20333471073036
"16","Idaho",773462,7304,42569,4206,5.5036963677595
"15","Hawaii",741561,6789,37885,3392,5.1088177506638
"17","Illinois",6699435,19448,538437,10841,8.03705088563438
"18","Indiana",3323644,13812,234575,8574,7.05776551279259
"19","Iowa",1669164,8139,73662,3833,4.41310739987203
"20","Kansas",1491417,9922,76742,4491,5.14557632104234
"21","Kentucky",2082034,12859,158108,6425,7.59392017613545
"22","Louisiana",2194481,13041,162602,7372,7.40958796180053
"23","Maine",695532,6680,40659,2950,5.84574110177533
"24","Maryland",3249757,13156,231268,7748,7.11647055456762
"25","Massachusetts",3724788,18104,249791,10561,6.70618032489366
"26","Michigan",4852221,19111,400797,8842,8.2600730675705
"27","Minnesota",3008370,11297,141188,5628,4.6931727147924
"28","Mississippi",1349865,10953,130935,6046,9.69985887477637
"29","Missouri",3028483,15820,204211,8239,6.74301292099048
"30","Montana",523812,5059,25696,2711,4.90557681000053
"31","Nebraska",1028459,6561,42752,3352,4.15689881657898
"32","Nevada",1433341,10624,127154,6287,8.87116185192498
"33","New Hampshire",744096,7049,37863,2423,5.08845632821571
"34","New Jersey",4734294,15912,355865,9209,7.51674906543616
"35","New Mexico",967827,9196,83321,4464,8.60907992854095
"36","New York",10107472,26447,731222,12287,7.23446970716318
"37","North Carolina",4929466,18993,404407,10059,8.20387035837147
"38","North Dakota",409062,4742,12130,1715,2.96532066043778
"39","Ohio",5866256,17402,420481,11025,7.16779151813354
"40","Oklahoma",1857721,9100,104334,4772,5.61623623784196
"41","Oregon",1975098,12401,153954,6587,7.79475246291576
"42","Pennsylvania",6507479,19286,457791,11079,7.03484406173266
"44","Rhode Island",564492,6484,43662,3527,7.73474203354521
"45","South Carolina",2344797,15001,187866,7942,8.01203686289261
"46","South Dakota",463481,4647,17960,2215,3.87502400314144
"47","Tennessee",3172656,16776,245980,8612,7.75312545703032
"48","Texas",13298433,31075,799519,17819,6.01212939900513
"50","Vermont",344495,4596,18746,2001,5.4415884120234
"49","Utah",1439884,7429,71359,3764,4.95588533520756
"51","Virginia",4406914,16597,260537,7376,5.91200554401561
"53","Washington",3612893,15781,232125,9079,6.42490657763737
"54","West Virginia",804334,8030,55257,3792,6.86990727732509
"55","Wisconsin",3082532,10720,163484,5381,5.30356213658123
"56","Wyoming",315015,4238,13477,2065,4.27820897417583
"72","Puerto Rico",1281976,12169,237292,8997,18.5098628991494
