"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"01","Alabama",2231613,15833,124835,7615,5.59393586612016
"02","Alaska",388885,4603,25410,1930,6.53406534065341
"04","Arizona",3415877,17235,181757,7248,5.32094686079153
"05","Arkansas",1382752,12021,61872,4357,4.47455509013909
"06","California",20169143,38173,1108664,18963,5.49683246333273
"08","Colorado",3138416,16157,122498,6891,3.90317918338423
"10","Delaware",489706,6921,27858,3093,5.68871935406142
"11","District of Columbia",414568,5658,31074,3282,7.4955134019027
"09","Connecticut",1936101,12283,106371,5408,5.49408321156799
"12","Florida",10316295,39016,530845,13804,5.14569426329899
"13","Georgia",5245825,23780,249896,10738,4.76371209485639
"16","Idaho",843615,8389,33438,3293,3.96365640724738
"15","Hawaii",752795,7793,27230,2685,3.61718661787074
"17","Illinois",6676623,20867,368739,11752,5.52283691920302
"18","Indiana",3391849,15917,149266,6791,4.40072656536302
"19","Iowa",1678071,9434,60717,4056,3.61826168261057
"20","Kansas",1515474,10040,57197,4104,3.77419869954879
"21","Kentucky",2117233,12704,109879,6710,5.1897452949203
"22","Louisiana",2168385,17086,137130,7422,6.32406145587615
"23","Maine",704960,6593,24865,2462,3.52715047662279
"24","Maryland",3283636,15449,160777,7617,4.89631006603655
"25","Massachusetts",3807761,15564,180720,7759,4.74609619668882
"26","Michigan",4977773,17638,265532,8679,5.33435333431235
"27","Minnesota",3080480,12370,104622,5217,3.39628889004311
"55","Wisconsin",3096515,11997,98228,4756,3.17221134081379
"56","Wyoming",302831,5420,11684,1906,3.85825757600774
"72","Puerto Rico",1184158,12934,178219,8193,15.0502720076206
"28","Mississippi",1336759,11799,94796,6019,7.091480214459
"29","Missouri",3066200,15242,127857,6162,4.16988454764855
"30","Montana",545240,5852,19003,2111,3.48525419998533
"31","Nebraska",1040627,7240,35872,3241,3.44715253400114
"32","Nevada",1539795,10088,85276,5122,5.53813981731334
"33","New Hampshire",757313,7075,26906,2510,3.55282426156688
"34","New Jersey",4729209,19324,230383,10087,4.87149119440482
"35","New Mexico",941259,9745,56803,4132,6.0347895743892
"36","New York",10026845,26874,499801,13111,4.98462876408282
"37","North Carolina",5216053,24935,254808,8541,4.88507306194933
"38","North Dakota",418771,5388,11691,1830,2.79174059330756
"39","Ohio",5938035,22151,292570,8820,4.92705078363465
"40","Oklahoma",1891713,10322,81669,4421,4.31719822192901
"41","Oregon",2138616,12716,106955,5508,5.0011315729425
"42","Pennsylvania",6576258,20431,321234,9682,4.88475360911935
"44","Rhode Island",562393,8095,30862,3253,5.48762164536187
"45","South Carolina",2475682,17316,128847,6618,5.20450526360009
"46","South Dakota",470490,6188,13845,1915,2.94267678377861
"47","Tennessee",3330964,17392,181951,7816,5.46241268293503
"48","Texas",14266767,36411,694485,16706,4.86785127983095
"50","Vermont",344832,4752,13128,1549,3.80707126948775
"49","Utah",1587453,9044,50175,3854,3.16072349858547
"51","Virginia",4482124,18780,183221,7622,4.08781640133116
"53","Washington",3908438,19170,166229,6968,4.25308013073253
"54","West Virginia",788509,8605,45639,3675,5.78801256548752
