"GEOID","NAME","labor_forceE","labor_forceM","unemployedE","unemployedM","prop_unemp"
"01","Alabama",2255995,15899,259346,10052,11.4958588117438
"02","Alaska",394406,5521,33367,2880,8.46006399496965
"04","Arizona",3040762,18783,337217,13404,11.0898847065308
"05","Arkansas",1368632,11362,127480,5894,9.3144103016735
"06","California",18869522,41629,2311055,27107,12.2475545485466
"08","Colorado",2778345,11473,255244,9192,9.18690803337958
"09","Connecticut",1958135,9192,206992,7907,10.5708748375367
"10","Delaware",464970,5641,41275,3137,8.87691679033056
"11","District of Columbia",352716,4560,39876,3595,11.3054128534005
"12","Florida",9300255,37608,1147856,20923,12.3421992192687
"13","Georgia",4821832,26265,580555,16510,12.0401332937357
"15","Hawaii",718139,7337,52276,4265,7.27937070678518
"16","Idaho",762997,8828,75817,4599,9.93673631744293
"17","Illinois",6681576,22227,734332,15355,10.9904010670536
"18","Indiana",3264735,16797,326292,9499,9.99444059012447
"19","Iowa",1638966,7949,98648,4252,6.01891680486355
"20","Kansas",1516668,9544,111601,5416,7.35830122347145
"21","Kentucky",2066152,12755,213707,7927,10.3432370900108
"22","Louisiana",2188609,15759,201340,7466,9.19945042718914
"23","Maine",705194,6574,60432,4101,8.56955674608689
"24","Maryland",3200873,13702,282496,10257,8.82559226810936
"25","Massachusetts",3624764,14235,334933,9040,9.24013259897748
"26","Michigan",4825627,17112,629735,10634,13.0498067919464
"27","Minnesota",2957043,12316,226336,6856,7.65413286178118
"28","Mississippi",1344031,10149,151170,6463,11.247508428005
"29","Missouri",3045510,14185,284895,9012,9.3545908567038
"30","Montana",524369,5666,41325,3612,7.88090066346409
"31","Nebraska",1011491,6846,63231,3621,6.25126669441448
"32","Nevada",1390058,11810,174677,8649,12.5661663038521
"33","New Hampshire",736579,6607,50560,3770,6.86416528301784
"34","New Jersey",4669211,14422,509682,13097,10.9158056896551
"35","New Mexico",988740,8839,109626,6304,11.0874446264943
"36","New York",9932093,28480,948435,17838,9.54919572339888
"37","North Carolina",4833782,25085,555887,18312,11.500042823611
"38","North Dakota",387673,4630,12011,1708,3.09822969358196
"39","Ohio",5830077,21471,606934,11873,10.4103942366456
"40","Oklahoma",1836666,11668,136930,4885,7.45535660811492
"41","Oregon",1945507,13341,232635,9126,11.9575514248985
"42","Pennsylvania",6464854,22486,605594,13103,9.36748146207169
"44","Rhode Island",572801,6306,58581,4161,10.2271120336731
"45","South Carolina",2268934,17386,266294,10746,11.7365247292341
"46","South Dakota",443509,5511,24107,2598,5.43551540104034
"47","Tennessee",3129639,15811,328545,10150,10.4978561425136
"48","Texas",12619599,42974,1065274,23077,8.44142511976807
"49","Utah",1375381,9915,109279,6258,7.94536204877049
"50","Vermont",350419,4398,22416,1748,6.39691340937563
"51","Virginia",4281894,19385,315567,10103,7.36979943922012
"53","Washington",3533079,13581,359745,9679,10.1821951900877
"54","West Virginia",821923,7220,72809,4365,8.85837237794781
"55","Wisconsin",3073513,12622,250654,8863,8.15529330769058
"56","Wyoming",308042,4776,15553,2116,5.04898682647172
"72","Puerto Rico",1354801,10914,250105,7757,18.4606447736605
