day	month	year	nav_per_share	outstanding_shares
16	2	2018	180.45	10850000
15	2	2018	179.27	10850000
14	2	2018	177.32	10850000
13	2	2018	175.08	10900000
12	2	2018	175.01	10950000
9	2	2018	173.27	10950000
8	2	2018	170.84	10950000
7	2	2018	177.21	10950000
6	2	2018	177.39	11000000
5	2	2018	175.43	11000000
2	2	2018	183.70	10950000
1	2	2018	186.13	10900000
31	1	2018	185.70	11050000
30	1	2018	188.37	11050000
29	1	2018	192.39	11000000
26	1	2018	192.82	11000000
25	1	2018	188.93	11000000
24	1	2018	187.28	11050000
23	1	2018	186.81	11050000
22	1	2018	187.51	11050000
19	1	2018	185.78	11050000
18	1	2018	185.01	11050000
17	1	2018	184.90	11100000
16	1	2018	183.08	11100000
12	1	2018	182.56	11150000
11	1	2018	181.32	11150000
10	1	2018	180.51	11150000
9	1	2018	180.74	11150000
8	1	2018	178.71	11200000
5	1	2018	179.60	11200000
4	1	2018	178.11	11200000
3	1	2018	178.00	11250000
2	1	2018	176.26	11250000
29	12	2017	174.12	11250000
28	12	2017	175.43	11250000
27	12	2017	175.18	11250000
26	12	2017	174.79	11250000
22	12	2017	174.64	11250000
21	12	2017	175.13	11250000
20	12	2017	175.50	11300000
19	12	2017	175.93	11300000
18	12	2017	176.64	11300000
15	12	2017	176.65	11450000
14	12	2017	174.73	11450000
13	12	2017	176.62	11500000
12	12	2017	176.02	11700000
11	12	2017	175.45	11900000
8	12	2017	174.80	11900000
7	12	2017	172.90	11850000
6	12	2017	172.65	11850000
5	12	2017	172.90	11900000
4	12	2017	173.28	11950000
1	12	2017	175.67	12100000
30	11	2017	175.93	12100000
29	11	2017	174.44	12100000
28	11	2017	173.54	12100000
27	11	2017	172.44	12100000
24	11	2017	172.37	12100000
22	11	2017	171.98	12100000
21	11	2017	172.12	12100000
20	11	2017	170.62	12100000
17	11	2017	171.29	12100000
16	11	2017	171.87	12100000
15	11	2017	170.04	12100000
14	11	2017	170.53	12150000
13	11	2017	171.26	12150000
10	11	2017	171.13	12150000
9	11	2017	172.16	12100000
8	11	2017	172.22	12100000
7	11	2017	171.88	12100000
6	11	2017	171.55	12200000
3	11	2017	172.15	12250000
2	11	2017	170.57	12450000
1	11	2017	170.97	12600000
31	10	2017	170.74	12600000
30	10	2017	170.96	12600000
27	10	2017	172.84	12600000
26	10	2017	172.55	12600000
25	10	2017	174.13	12600000
24	10	2017	174.50	12550000
23	10	2017	175.72	12550000
20	10	2017	176.23	12550000
19	10	2017	176.00	12400000
18	10	2017	175.05	12250000
17	10	2017	174.86	12250000
16	10	2017	172.69	12250000
13	10	2017	173.23	12250000
12	10	2017	173.72	12250000
11	10	2017	173.99	12200000
10	10	2017	173.60	12200000
9	10	2017	173.31	12200000
6	10	2017	174.51	12200000
5	10	2017	174.55	12200000
4	10	2017	174.42	12200000
3	10	2017	173.63	12200000
2	10	2017	173.60	12200000
29	9	2017	171.94	12100000
28	9	2017	170.97	12100000
27	9	2017	170.64	12100000
26	9	2017	170.63	12100000
25	9	2017	171.52	12100000
22	9	2017	172.04	12100000
21	9	2017	171.89	12100000
20	9	2017	172.86	12150000
19	9	2017	172.46	12200000
18	9	2017	173.91	12150000
15	9	2017	173.91	12150000
14	9	2017	174.38	11950000
13	9	2017	174.15	12050000
12	9	2017	174.80	12050000
11	9	2017	174.36	12050000
8	9	2017	173.00	12050000
7	9	2017	172.31	11950000
6	9	2017	170.64	11950000
5	9	2017	169.97	11950000
1	9	2017	170.74	11950000
31	8	2017	170.85	11900000
30	8	2017	167.90	11900000
29	8	2017	166.90	11900000
28	8	2017	166.59	11900000
25	8	2017	165.46	11900000
24	8	2017	165.56	11900000
23	8	2017	165.02	11900000
22	8	2017	166.22	11950000
21	8	2017	164.31	11950000
18	8	2017	163.56	11950000
17	8	2017	164.19	11950000
16	8	2017	166.32	11950000
15	8	2017	165.89	11950000
14	8	2017	165.84	11950000
11	8	2017	164.74	11950000
10	8	2017	164.14	11950000
9	8	2017	166.40	11950000
8	8	2017	166.15	11950000
7	8	2017	167.06	11950000
4	8	2017	166.83	12000000
3	8	2017	167.12	12000000
2	8	2017	166.64	12000000
1	8	2017	166.75	12000000
31	7	2017	167.23	12000000
28	7	2017	167.55	12050000
27	7	2017	166.78	12050000
26	7	2017	168.04	12050000
25	7	2017	168.56	12050000
24	7	2017	169.77	12050000
21	7	2017	169.84	12050000
20	7	2017	169.93	12100000
19	7	2017	168.83	12200000
18	7	2017	167.43	12300000
17	7	2017	167.31	12300000
14	7	2017	167.87	12250000
13	7	2017	166.89	12250000
12	7	2017	166.74	12250000
11	7	2017	165.58	12200000
10	7	2017	165.66	12150000
7	7	2017	166.27	12100000
6	7	2017	165.30	12100000
5	7	2017	167.52	11900000
3	7	2017	166.51	11700000
30	6	2017	166.21	11700000
29	6	2017	166.42	11700000
28	6	2017	167.89	11700000
27	6	2017	166.85	11700000
26	6	2017	169.06	11650000
23	6	2017	169.38	11650000
22	6	2017	169.49	11350000
21	6	2017	167.78	11400000
20	6	2017	165.65	11300000
19	6	2017	165.07	11300000
16	6	2017	163.30	11300000
15	6	2017	162.99	11350000
14	6	2017	163.22	11350000
13	6	2017	162.43	11350000
12	6	2017	162.04	11500000
9	6	2017	162.31	11500000
8	6	2017	161.38	11500000
7	6	2017	161.57	11450000
6	6	2017	161.06	11450000
5	6	2017	161.42	11450000
2	6	2017	161.96	11450000
1	6	2017	160.96	11450000
31	5	2017	158.97	11450000
30	5	2017	158.32	11500000
26	5	2017	158.71	11500000
25	5	2017	159.06	11500000
24	5	2017	158.29	11500000
23	5	2017	157.96	11500000
22	5	2017	157.54	11500000
19	5	2017	157.15	11500000
18	5	2017	156.91	11500000
17	5	2017	156.22	11500000
16	5	2017	158.30	11500000
15	5	2017	158.87	11500000
12	5	2017	157.88	11600000
11	5	2017	158.08	11600000
10	5	2017	158.08	11600000
9	5	2017	158.49	11600000
8	5	2017	158.30	11600000
5	5	2017	159.45	11600000
4	5	2017	159.58	11600000
3	5	2017	158.68	11600000
2	5	2017	159.36	11700000
1	5	2017	158.93	12050000
28	4	2017	158.62	12050000
27	4	2017	158.24	12050000
26	4	2017	157.81	12050000
25	4	2017	157.01	12050000
24	4	2017	156.25	12050000
21	4	2017	154.70	12050000
20	4	2017	155.48	11750000
19	4	2017	154.64	11750000
18	4	2017	154.19	11750000
17	4	2017	155.50	11750000
13	4	2017	155.03	11750000
12	4	2017	155.35	11750000
11	4	2017	155.23	11800000
10	4	2017	155.40	11800000
7	4	2017	155.64	11800000
6	4	2017	155.28	11800000
5	4	2017	155.04	11800000
4	4	2017	155.63	11800000
3	4	2017	155.74	11800000
31	3	2017	155.69	11800000
30	3	2017	156.05	11800000
29	3	2017	156.06	11800000
28	3	2017	156.04	11850000
27	3	2017	155.99	11900000
24	3	2017	155.40	11900000
23	3	2017	155.75	11950000
22	3	2017	156.33	11950000
21	3	2017	156.13	12050000
20	3	2017	157.65	12050000
17	3	2017	157.94	12050000
16	3	2017	158.77	12000000
15	3	2017	160.23	12000000
14	3	2017	158.32	12000000
13	3	2017	158.90	12000000
10	3	2017	159.08	12000000
9	3	2017	158.50	12000000
8	3	2017	157.61	12000000
7	3	2017	157.04	12050000
6	3	2017	158.12	11950000
3	3	2017	158.89	11850000
2	3	2017	158.30	11850000
1	3	2017	158.74	11450000
28	2	2017	157.03	11550000
27	2	2017	157.41	11600000
24	2	2017	156.55	11600000
23	2	2017	155.69	11600000
22	2	2017	154.63	11600000
21	2	2017	154.97	11600000
17	2	2017	154.23	11600000
16	2	2017	154.05	11600000
15	2	2017	154.35	11500000
14	2	2017	152.69	11450000
13	2	2017	151.54	11450000
10	2	2017	150.53	11450000
9	2	2017	150.32	11450000
8	2	2017	149.57	11450000
7	2	2017	149.67	11450000
6	2	2017	149.67	11450000
3	2	2017	149.84	11450000
2	2	2017	148.90	11450000
1	2	2017	148.71	11450000
31	1	2017	147.56	11450000
30	1	2017	145.40	11500000
27	1	2017	146.18	11550000
26	1	2017	144.99	11550000
25	1	2017	145.84	11550000
24	1	2017	144.66	11550000
23	1	2017	145.47	11550000
20	1	2017	146.19	11600000
19	1	2017	146.65	12000000
18	1	2017	147.57	12000000
17	1	2017	147.64	12000000
13	1	2017	148.52	12000000
12	1	2017	148.26	12000000
11	1	2017	148.10	12000000
10	1	2017	149.67	12000000
9	1	2017	149.14	12000000
6	1	2017	148.32	12100000
5	1	2017	147.77	12100000
4	1	2017	147.06	12600000
3	1	2017	145.77	12650000
30	12	2016	144.00	12650000
29	12	2016	144.56	12650000
28	12	2016	144.45	12600000
27	12	2016	145.56	12600000
23	12	2016	145.49	12600000
22	12	2016	144.21	12600000
21	12	2016	144.03	12600000
20	12	2016	145.43	12500000
19	12	2016	145.42	12500000
16	12	2016	146.22	12500000
15	12	2016	146.05	12000000
14	12	2016	145.10	12000000
13	12	2016	145.60	12000000
12	12	2016	144.58	12000000
9	12	2016	143.85	12000000
8	12	2016	142.32	12000000
7	12	2016	142.05	12050000
6	12	2016	143.34	12100000
5	12	2016	142.81	12100000
2	12	2016	142.94	12100000
1	12	2016	142.45	12100000
30	11	2016	143.66	12100000
29	11	2016	145.20	12100000
28	11	2016	144.24	12050000
25	11	2016	145.64	12050000
23	11	2016	145.01	12000000
22	11	2016	144.35	11950000
21	11	2016	146.48	11950000
18	11	2016	145.99	11950000
17	11	2016	147.50	11950000
16	11	2016	146.67	11850000
15	11	2016	147.46	11850000
14	11	2016	146.99	11750000
11	11	2016	147.19	11750000
10	11	2016	149.19	11600000
9	11	2016	147.49	11000000
8	11	2016	142.63	11050000
7	11	2016	142.09	11950000
4	11	2016	138.59	11950000
3	11	2016	137.43	12000000
2	11	2016	138.96	12250000
1	11	2016	139.83	12250000
31	10	2016	140.42	12250000
28	10	2016	141.24	12350000
27	10	2016	143.59	12350000
26	10	2016	143.16	12350000
25	10	2016	144.33	12400000
24	10	2016	144.82	12400000
21	10	2016	145.02	12400000
20	10	2016	146.17	12650000
19	10	2016	145.44	12650000
18	10	2016	146.00	12650000
17	10	2016	144.39	12750000
14	10	2016	144.70	12800000
13	10	2016	145.81	12800000
12	10	2016	145.70	12800000
11	10	2016	146.65	12800000
10	10	2016	150.49	12800000
7	10	2016	149.75	12800000
6	10	2016	149.61	12800000
5	10	2016	150.46	12800000
4	10	2016	149.84	12850000
3	10	2016	150.09	12900000
30	9	2016	150.29	12900000
29	9	2016	148.78	12900000
28	9	2016	151.61	12900000
27	9	2016	151.84	12950000
26	9	2016	150.64	12900000
23	9	2016	152.98	12900000
22	9	2016	153.56	12900000
21	9	2016	152.44	12900000
20	9	2016	150.99	12900000
19	9	2016	150.41	12900000
16	9	2016	150.94	12900000
15	9	2016	150.74	12950000
14	9	2016	149.09	13000000
13	9	2016	148.93	13000000
12	9	2016	151.08	13050000
9	9	2016	148.67	13100000
8	9	2016	151.79	13100000
7	9	2016	151.50	13150000
6	9	2016	151.45	13200000
2	9	2016	150.80	13250000
1	9	2016	150.64	13600000
31	8	2016	150.90	13600000
30	8	2016	151.38	13600000
29	8	2016	151.98	13600000
26	8	2016	151.56	13650000
25	8	2016	150.96	13650000
24	8	2016	152.09	13650000
23	8	2016	154.68	13650000
22	8	2016	154.48	13650000
19	8	2016	154.00	13650000
18	8	2016	154.11	13650000
17	8	2016	153.98	13650000
16	8	2016	153.75	13650000
15	8	2016	155.24	13650000
12	8	2016	154.93	13650000
11	8	2016	155.18	13650000
10	8	2016	154.29	13650000
9	8	2016	155.11	13600000
8	8	2016	154.78	13500000
5	8	2016	156.18	13500000
4	8	2016	155.73	13450000
3	8	2016	156.11	13450000
2	8	2016	156.34	13400000
1	8	2016	157.09	13050000
29	7	2016	156.08	13050000
28	7	2016	155.55	13050000
27	7	2016	155.51	13050000
26	7	2016	154.83	13050000
25	7	2016	155.04	13050000
22	7	2016	155.27	13050000
21	7	2016	154.91	13050000
20	7	2016	154.35	13000000
19	7	2016	152.89	13000000
18	7	2016	153.24	13000000
15	7	2016	153.23	13000000
14	7	2016	153.20	13000000
13	7	2016	152.68	13000000
12	7	2016	152.81	12950000
11	7	2016	152.18	12800000
8	7	2016	152.43	12800000
7	7	2016	150.73	12800000
6	7	2016	150.89	12800000
5	7	2016	149.13	12800000
1	7	2016	149.34	12800000
30	6	2016	148.35	12750000
29	6	2016	147.03	12750000
28	6	2016	144.37	12750000
27	6	2016	141.42	12750000
24	6	2016	143.64	12750000
23	6	2016	147.93	12750000
22	6	2016	146.03	12750000
21	6	2016	145.53	12700000
20	6	2016	146.52	12700000
17	6	2016	145.54	12700000
16	6	2016	147.19	12700000
15	6	2016	146.75	12700000
14	6	2016	147.66	12700000
13	6	2016	147.44	12700000
10	6	2016	148.57	12700000
9	6	2016	150.06	12700000
8	6	2016	150.53	12700000
7	6	2016	149.81	12650000
6	6	2016	150.85	12650000
3	6	2016	149.89	12650000
2	6	2016	150.57	12600000
1	6	2016	148.54	12500000
31	5	2016	147.97	12450000
27	5	2016	147.73	12450000
26	5	2016	146.91	12450000
25	5	2016	147.03	12450000
24	5	2016	146.03	12450000
23	5	2016	143.88	12450000
20	5	2016	144.41	12450000
19	5	2016	142.98	12450000
18	5	2016	144.19	12450000
17	5	2016	143.71	12450000
16	5	2016	145.27	12450000
13	5	2016	143.18	12450000
12	5	2016	143.25	12450000
11	5	2016	144.26	12500000
10	5	2016	146.09	12500000
9	5	2016	144.84	12500000
6	5	2016	143.14	12500000
5	5	2016	143.91	12500000
4	5	2016	143.39	12500000
3	5	2016	144.89	12500000
2	5	2016	145.52	12500000
29	4	2016	144.68	12500000
28	4	2016	146.88	12550000
27	4	2016	147.57	12550000
26	4	2016	147.83	12550000
25	4	2016	148.46	12550000
22	4	2016	149.12	12550000
21	4	2016	148.69	12550000
20	4	2016	147.76	12550000
19	4	2016	146.91	12450000
18	4	2016	146.68	12350000
15	4	2016	145.40	12400000
14	4	2016	145.52	12400000
13	4	2016	145.37	12350000
12	4	2016	143.88	12350000
11	4	2016	142.71	12350000
8	4	2016	143.78	12350000
7	4	2016	144.42	12350000
6	4	2016	146.04	12350000
5	4	2016	142.10	12350000
4	4	2016	143.77	12350000
1	4	2016	142.40	12450000
31	3	2016	140.52	12450000
30	3	2016	140.50	12450000
29	3	2016	140.59	12500000
28	3	2016	138.85	12500000
24	3	2016	139.33	12550000
23	3	2016	139.43	12600000
22	3	2016	140.86	12600000
21	3	2016	139.37	12600000
18	3	2016	138.65	12600000
17	3	2016	136.79	12600000
16	3	2016	138.23	12600000
15	3	2016	138.71	12600000
14	3	2016	141.19	12600000
11	3	2016	141.74	12600000
10	3	2016	138.85	12600000
9	3	2016	138.87	12600000
8	3	2016	138.70	12600000
7	3	2016	140.70	12550000
4	3	2016	139.50	12550000
3	3	2016	139.69	12550000
2	3	2016	140.16	12550000
1	3	2016	139.86	12550000
29	2	2016	136.76	12550000
26	2	2016	138.95	12550000
25	2	2016	139.09	12550000
24	2	2016	137.34	12550000
23	2	2016	136.84	12550000
22	2	2016	137.97	12550000
19	2	2016	136.15	12550000
18	2	2016	136.01	12550000
17	2	2016	137.15	12550000
16	2	2016	135.12	12550000
12	2	2016	132.53	12550000
11	2	2016	130.64	12550000
10	2	2016	132.86	12550000
9	2	2016	131.66	12750000
8	2	2016	130.71	12850000
5	2	2016	132.88	12950000
4	2	2016	135.71	13000000
3	2	2016	136.21	13050000
2	2	2016	135.47	13050000
1	2	2016	137.60	13050000
29	1	2016	137.26	13050000
28	1	2016	134.81	13050000
27	1	2016	138.14	13050000
26	1	2016	139.88	13050000
25	1	2016	138.86	12600000
22	1	2016	140.23	12600000
21	1	2016	137.86	12600000
20	1	2016	138.59	12650000
19	1	2016	138.02	12750000
15	1	2016	138.47	12800000
14	1	2016	140.48	12800000
13	1	2016	136.89	12750000
12	1	2016	141.33	12800000
11	1	2016	139.68	12850000
8	1	2016	141.34	12850000
7	1	2016	143.37	12850000
6	1	2016	146.50	12850000
5	1	2016	147.90	12850000
4	1	2016	147.17	12850000
31	12	2015	150.07	12850000
30	12	2015	151.41	12900000
29	12	2015	152.09	12950000
28	12	2015	151.48	12950000
24	12	2015	152.16	12950000
23	12	2015	152.56	13050000
22	12	2015	150.89	13050000
21	12	2015	149.93	13050000
18	12	2015	148.70	13050000
17	12	2015	150.73	13050000
16	12	2015	152.47	13000000
15	12	2015	150.37	12950000
14	12	2015	148.12	12950000
11	12	2015	147.39	12950000
10	12	2015	149.83	12950000
9	12	2015	148.66	12950000
8	12	2015	150.26	12950000
7	12	2015	149.83	12950000
4	12	2015	151.02	12950000
3	12	2015	147.50	12950000
2	12	2015	151.05	12950000
1	12	2015	152.35	12950000
30	11	2015	149.88	12900000
27	11	2015	152.02	12950000
25	11	2015	151.66	12950000
24	11	2015	150.78	13000000
23	11	2015	150.43	13000000
20	11	2015	150.56	13050000
19	11	2015	149.48	13050000
18	11	2015	152.05	13050000
17	11	2015	149.12	13050000
16	11	2015	148.43	13050000
13	11	2015	146.85	13050000
12	11	2015	146.99	13050000
11	11	2015	149.64	13050000
10	11	2015	151.21	13050000
9	11	2015	150.31	12350000
6	11	2015	151.35	12400000
5	11	2015	151.84	12500000
4	11	2015	152.52	12500000
3	11	2015	152.90	12500000
2	11	2015	153.30	12500000
30	10	2015	150.03	12500000
29	10	2015	150.75	12500000
28	10	2015	150.47	12500000
27	10	2015	148.89	12550000
26	10	2015	146.24	13050000
23	10	2015	145.57	12950000
22	10	2015	142.51	12800000
21	10	2015	143.61	12750000
20	10	2015	144.88	12750000
19	10	2015	147.22	12800000
16	10	2015	146.82	12800000
15	10	2015	145.56	12800000
14	10	2015	142.07	12850000
13	10	2015	142.29	12850000
12	10	2015	144.26	12850000
9	10	2015	144.02	13000000
8	10	2015	143.26	12850000
7	10	2015	142.96	12900000
6	10	2015	140.95	12650000
5	10	2015	144.62	13750000
2	10	2015	144.37	13750000
1	10	2015	141.19	13850000
30	9	2015	140.09	13900000
29	9	2015	136.76	14000000
28	9	2015	135.82	14200000
25	9	2015	141.65	14650000
24	9	2015	146.42	14650000
23	9	2015	148.13	14750000
22	9	2015	148.34	13950000
21	9	2015	149.48	14000000
18	9	2015	152.01	13950000
17	9	2015	154.26	14150000
16	9	2015	152.82	14300000
15	9	2015	152.45	14200000
14	9	2015	150.47	14350000
11	9	2015	150.95	14300000
10	9	2015	149.78	14350000
9	9	2015	148.38	14500000
8	9	2015	150.77	14500000
4	9	2015	146.50	14500000
3	9	2015	148.31	14600000
2	9	2015	149.34	14550000
1	9	2015	146.26	14850000
31	8	2015	150.29	15000000
28	8	2015	153.21	15050000
27	8	2015	153.70	15050000
26	8	2015	150.67	15350000
25	8	2015	144.64	15450000
24	8	2015	146.38	16200000
21	8	2015	152.64	16250000
20	8	2015	157.33	16300000
19	8	2015	161.21	16100000
18	8	2015	162.03	16100000
17	8	2015	162.34	16300000
14	8	2015	160.47	16300000
13	8	2015	160.15	16200000
12	8	2015	160.45	16150000
11	8	2015	160.31	16150000
10	8	2015	161.56	15850000
7	8	2015	160.24	15950000
6	8	2015	160.65	16050000
5	8	2015	164.24	15950000
4	8	2015	162.91	15850000
3	8	2015	163.04	16500000
31	7	2015	163.13	16450000
30	7	2015	162.19	16500000
29	7	2015	162.27	16350000
28	7	2015	162.06	16300000
27	7	2015	159.18	16100000
24	7	2015	159.52	16100000
23	7	2015	163.57	16050000
22	7	2015	163.88	16050000
21	7	2015	163.73	16050000
20	7	2015	164.43	16050000
17	7	2015	164.08	16050000
16	7	2015	164.27	16050000
15	7	2015	163.36	16050000
14	7	2015	163.32	16200000
13	7	2015	161.60	16800000
10	7	2015	160.20	16750000
9	7	2015	158.08	16800000
8	7	2015	157.25	16800000
7	7	2015	159.94	16750000
6	7	2015	159.34	16700000
2	7	2015	159.48	16650000
1	7	2015	159.99	16650000
30	6	2015	158.75	16400000
29	6	2015	157.89	15550000
26	6	2015	161.63	15050000
25	6	2015	161.90	15050000
24	6	2015	161.00	15050000
23	6	2015	163.08	15150000
22	6	2015	162.83	15200000
19	6	2015	161.57	15200000
18	6	2015	161.68	15200000
17	6	2015	159.16	15300000
16	6	2015	158.97	15300000
15	6	2015	158.16	15300000
12	6	2015	158.10	15450000
11	6	2015	159.87	15450000
10	6	2015	158.88	15600000
9	6	2015	157.11	15750000
8	6	2015	157.14	15750000
5	6	2015	157.85	15750000
4	6	2015	157.78	15750000
3	6	2015	158.90	15600000
2	6	2015	158.71	15550000
1	6	2015	159.62	15600000
29	5	2015	159.17	15600000
28	5	2015	159.46	15600000
27	5	2015	159.33	15500000
26	5	2015	157.51	15500000
22	5	2015	158.99	15500000
21	5	2015	159.39	15600000
20	5	2015	159.35	15500000
19	5	2015	158.99	15450000
18	5	2015	158.27	15400000
15	5	2015	157.27	15400000
14	5	2015	156.89	15400000
13	5	2015	154.80	15450000
12	5	2015	154.93	15450000
11	5	2015	155.64	15450000
8	5	2015	155.65	15450000
7	5	2015	153.12	15500000
6	5	2015	152.32	15500000
5	5	2015	152.79	15550000
4	5	2015	154.73	15550000
1	5	2015	153.82	15550000
30	4	2015	151.70	15600000
29	4	2015	154.11	15600000
28	4	2015	155.30	15650000
27	4	2015	154.90	15550000
24	4	2015	158.01	15550000
23	4	2015	158.58	15550000
22	4	2015	157.84	15550000
21	4	2015	157.74	15550000
20	4	2015	156.61	15250000
17	4	2015	155.72	15450000
16	4	2015	157.07	15450000
15	4	2015	157.10	15350000
14	4	2015	156.63	15600000
13	4	2015	156.50	15500000
10	4	2015	157.23	15500000
9	4	2015	155.93	15500000
8	4	2015	154.81	15400000
7	4	2015	153.36	15350000
6	4	2015	152.97	15350000
2	4	2015	152.77	15400000
1	4	2015	152.45	15450000
31	3	2015	154.31	15550000
30	3	2015	156.58	15500000
27	3	2015	155.05	15500000
26	3	2015	153.68	15450000
25	3	2015	154.09	15450000
24	3	2015	157.51	15400000
23	3	2015	158.85	15350000
20	3	2015	159.44	15200000
19	3	2015	158.46	15200000
18	3	2015	157.39	15200000
17	3	2015	155.48	14700000
16	3	2015	155.89	15000000
13	3	2015	152.60	15000000
12	3	2015	152.80	15000000
11	3	2015	150.90	15000000
10	3	2015	150.85	14850000
9	3	2015	152.44	14850000
6	3	2015	151.68	14850000
5	3	2015	154.49	14750000
4	3	2015	153.63	15250000
3	3	2015	153.00	14950000
2	3	2015	154.25	14750000
27	2	2015	152.96	14250000
26	2	2015	153.71	13750000
25	2	2015	153.27	13750000
24	2	2015	153.03	13600000
23	2	2015	153.25	13550000
20	2	2015	152.74	13500000
19	2	2015	151.07	13500000
18	2	2015	150.89	13500000
17	2	2015	150.59	13550000
13	2	2015	149.63	13550000
12	2	2015	148.84	13550000
11	2	2015	148.30	13550000
10	2	2015	148.06	13550000
9	2	2015	145.76	13700000
6	2	2015	147.38	13700000
5	2	2015	148.76	13700000
4	2	2015	146.32	13700000
3	2	2015	148.15	13800000
2	2	2015	147.32	13850000
30	1	2015	146.55	13700000
29	1	2015	148.77	13550000
28	1	2015	147.42	13850000
27	1	2015	149.74	13850000
26	1	2015	150.78	14350000
23	1	2015	149.96	14100000
22	1	2015	150.54	14000000
21	1	2015	148.70	13800000
20	1	2015	148.72	13750000
16	1	2015	148.66	13750000
15	1	2015	145.91	13700000
14	1	2015	147.54	13700000
13	1	2015	147.68	13650000
12	1	2015	148.14	13600000
9	1	2015	148.15	13500000
8	1	2015	149.30	13250000
7	1	2015	146.82	13050000
6	1	2015	143.51	13050000
5	1	2015	143.97	12950000
2	1	2015	144.80	12950000
31	12	2014	144.24	12950000
30	12	2014	145.62	12750000
29	12	2014	146.25	12800000
26	12	2014	145.88	12800000
24	12	2014	144.69	12700000
23	12	2014	144.10	12850000
22	12	2014	147.46	13150000
19	12	2014	149.10	13200000
18	12	2014	148.42	12700000
17	12	2014	144.47	12400000
16	12	2014	141.66	12650000
15	12	2014	143.35	12650000
12	12	2014	144.68	12850000
11	12	2014	146.99	12850000
10	12	2014	146.50	12850000
9	12	2014	148.96	12950000
8	12	2014	149.40	12900000
5	12	2014	148.75	12850000
4	12	2014	147.64	12800000
3	12	2014	147.86	12550000
2	12	2014	147.51	12600000
1	12	2014	145.92	12500000
28	11	2014	146.35	12500000
26	11	2014	145.61	12750000
25	11	2014	144.54	12550000
24	11	2014	144.48	12750000
21	11	2014	143.68	13350000
20	11	2014	143.03	13250000
19	11	2014	143.49	13200000
18	11	2014	144.21	13200000
17	11	2014	141.89	13200000
14	11	2014	141.13	13200000
13	11	2014	142.48	13200000
12	11	2014	142.65	13200000
11	11	2014	142.81	13450000
10	11	2014	142.33	13650000
7	11	2014	140.92	13650000
6	11	2014	142.46	13650000
5	11	2014	141.54	13600000
4	11	2014	141.86	13550000
3	11	2014	141.90	16400000
31	10	2014	141.84	16400000
30	10	2014	141.09	16400000
29	10	2014	138.70	16300000
28	10	2014	138.69	16000000
27	10	2014	137.62	15650000
24	10	2014	137.46	15650000
23	10	2014	135.56	15750000
22	10	2014	133.20	15850000
21	10	2014	133.89	17000000
20	10	2014	130.36	20150000
17	10	2014	128.83	20150000
16	10	2014	126.88	20150000
15	10	2014	127.11	20300000
14	10	2014	127.95	20300000
13	10	2014	128.86	19750000
10	10	2014	131.88	19750000
9	10	2014	132.96	20550000
8	10	2014	135.71	20400000
7	10	2014	132.48	20400000
6	10	2014	134.59	20400000
3	10	2014	135.15	20400000
2	10	2014	132.56	20050000
1	10	2014	132.84	20050000
30	9	2014	134.25	19800000
29	9	2014	135.19	19550000
26	9	2014	135.43	19550000
25	9	2014	135.00	19300000
24	9	2014	137.21	19400000
23	9	2014	135.31	19450000
22	9	2014	136.14	19450000
19	9	2014	136.99	19350000
18	9	2014	136.90	19350000
17	9	2014	135.83	19300000
16	9	2014	135.64	19400000
15	9	2014	133.84	19500000
12	9	2014	134.36	19400000
11	9	2014	135.39	19400000
10	9	2014	135.67	19400000
9	9	2014	134.65	19350000
8	9	2014	135.10	19350000
5	9	2014	134.90	19350000
4	9	2014	134.19	19350000
3	9	2014	135.00	19350000
2	9	2014	134.60	20200000
29	8	2014	134.63	20150000
28	8	2014	134.02	20150000
27	8	2014	134.26	20100000
26	8	2014	134.22	19900000
25	8	2014	133.55	19750000
22	8	2014	132.56	19700000
21	8	2014	132.38	19800000
20	8	2014	132.32	19700000
19	8	2014	132.30	19650000
18	8	2014	131.41	20450000
15	8	2014	130.36	20550000
14	8	2014	130.24	20500000
13	8	2014	128.72	21250000
12	8	2014	127.12	21200000
11	8	2014	127.27	21650000
8	8	2014	127.30	21650000
7	8	2014	125.89	21750000
6	8	2014	127.33	21800000
5	8	2014	127.46	21800000
4	8	2014	128.48	21750000
1	8	2014	127.81	21000000
31	7	2014	127.90	20300000
30	7	2014	130.61	20200000
29	7	2014	130.02	20200000
28	7	2014	129.88	19300000
25	7	2014	129.79	19150000
24	7	2014	130.28	19100000
23	7	2014	130.65	19000000
22	7	2014	129.55	19000000
21	7	2014	128.52	19350000
18	7	2014	128.99	19400000
17	7	2014	126.85	19400000
16	7	2014	128.33	19400000
15	7	2014	128.62	19450000
14	7	2014	129.97	19400000
11	7	2014	129.49	19400000
10	7	2014	129.26	19300000
9	7	2014	129.32	19300000
8	7	2014	128.82	18800000
7	7	2014	130.13	18200000
3	7	2014	131.34	18250000
2	7	2014	130.83	18100000
1	7	2014	129.95	18350000
30	6	2014	128.20	20050000
27	6	2014	128.56	19950000
26	6	2014	128.79	19800000
25	6	2014	128.78	19900000
24	6	2014	127.47	19850000
23	6	2014	127.98	19850000
20	6	2014	128.44	19800000
19	6	2014	127.24	19800000
18	6	2014	126.77	19900000
17	6	2014	125.76	20150000
16	6	2014	125.85	21200000
13	6	2014	125.62	21200000
12	6	2014	125.64	21200000
11	6	2014	126.24	21250000
10	6	2014	126.33	21350000
