Maintainer.email.domain,email.domain_count,email.domain_unique_name
angi-stat.com,1,1
me.com,21,8
unileon.es,2,2
missouri.edu,8,7
mf.uni-lj.si,2,2
math.uzh.ch,10,5
math.sk,1,1
atticabank.gr,1,1
econ.au.dk,3,2
act.ulaval.ca,2,1
eawag.ch,12,5
christofer.backlin.se,2,1
oncfs.gouv.fr,4,1
mnhn.fr,2,2
birc.au.dk,5,1
uj.edu.pl,4,4
lamolina.edu.pe,1,1
inf.fu-berlin.de,1,1
ipub.com,1,1
stanfordalumni.org,1,1
dfki.de,1,1
ulpgc.es,1,1
genopole.cnrs.fr,3,3
aut.ac.ir,1,1
estudiant.upc.edu,3,1
ymail.com,4,4
upce.cz,3,1
bdmg.com.ar,1,1
orn.mpg.de,5,3
rte-france.com,6,1
csufresno.edu,1,1
univ-grenoble-alpes.fr,3,3
bioinf.jku.at,2,1
wiwi.uni-bielefeld.de,3,2
msstate.edu,2,1
activequant.com,1,1
mjae.net,2,1
leuphana.de,1,1
ices.dk,8,2
imr.no,1,1
chemometrix.eu,2,1
lyle.smu.edu,11,1
astro.psu.edu,2,2
uvm.edu,1,1
mail.utoronto.ca,3,3
nicta.com.au,1,1
numbertheory.nl,1,1
kit.edu,5,4
zapier.com,1,1
univ-paris-diderot.fr,1,1
jic.ac.uk,1,1
decisionpatterns.com,13,1
enplusadvisors.com,4,1
scripps.edu,2,1
med.uni-goettingen.de,6,5
dfci.harvard.edu,1,1
uksh.de,1,1
clemson.edu,1,1
unavarra.es,1,1
kampstra.net,1,1
uni-bayreuth.de,3,3
queensu.ca,3,2
r-enthusiasts.com,3,1
active-analytics.com,1,1
insilicos.com,1,1
eng.au.dk,1,1
bi.a.u-tokyo.ac.jp,1,1
biom.uni-freiburg.de,1,1
vogelwarte.ch,1,1
stdout.org,7,1
truecluster.com,3,1
pomona.edu,1,1
uow.edu.au,13,4
oikostat.ch,2,1
imail.org,2,1
life.ku.dk,1,1
fi.upm.es,1,1
pzhao.net,3,1
pollackphoto.net,2,1
rub.de,2,2
gipsa-lab.inpg.fr,1,1
benjaminschlegel.ch,2,1
swin.edu.au,1,1
mq.edu.au,6,4
korea.ac.kr,3,3
stat.ufl.edu,1,1
connecticutchildrens.org,5,1
insee.fr,2,2
csuchico.edu,2,1
strath.ac.uk,1,1
cranfield.ac.uk,1,1
izw-berlin.de,1,1
usp.br,7,4
univ-tlse1.fr,2,1
zoology.ubc.ca,4,3
uliege.be,3,1
stat.fsu.edu,3,3
willslab.co.uk,2,1
sggw.pl,1,1
ese.eur.nl,7,1
caesar.elte.hu,1,1
mail.med.upenn.edu,3,2
bios.au.dk,1,1
farabi.tums.ac.ir,1,1
billpikounis.net,1,1
unipa.it,12,6
uni-bremen.de,5,2
lumc.nl,10,6
jackhorne.net,2,1
seattlechildrens.org,2,1
qub.ac.uk,4,3
nhh.no,10,2
landcareresearch.co.nz,4,1
uni-passau.de,2,1
aemet.es,1,1
fgcz.ethz.ch,3,1
poly.edu,6,1
justinesarey.com,4,1
ue.wroc.pl,4,2
consultag.ch,1,1
imae.udg.edu,2,1
montana.edu,5,2
rccvast.se,5,1
amc.uva.nl,2,2
boogaart.de,2,1
lsp.ups-tlse.fr,1,1
univ-montp2.fr,3,3
yahoo.ie,1,1
bucknell.edu,1,1
ttu.edu,4,2
mathematik.uni-goettingen.de,4,4
hnu.edu.cn,1,1
unisalento.it,1,1
virginia.edu,12,7
prawo.uni.wroc.pl,1,1
tierzucht.uni-kiel.de,1,1
newcastle.edu.au,6,3
elektro.dtu.dk,2,1
math.carleton.ca,2,2
cnam.fr,2,2
uni-konstanz.de,2,2
bilgi.edu.tr,1,1
fct.unl.pt,4,2
iba.muni.cz,1,1
econ.kuleuven.be,2,2
echoffmann.ch,1,1
metrumrg.com,8,2
ucy.ac.cy,1,1
medsci.uu.se,2,1
eio.uva.es,1,1
ecofog.gf,2,1
rcees.ac.cn,1,1
ieee.org,1,1
rel.hiroshima-u.ac.jp,2,1
ulg.ac.be,1,1
yandex.ru,4,4
vda-lab.be,2,1
aims.edu.gh,1,1
cantabria.es,1,1
ci.uc.pt,2,1
etu.unistra.fr,1,1
hrdag.org,1,1
med.unc.edu,1,1
fgv.br,4,4
itesm.mx,3,2
oliverschaer.ch,1,1
landmarkacoustics.com,1,1
unl.edu,2,2
lshtm.ac.uk,5,3
disia.unifi.it,2,2
bigpond.com,1,1
tx.technion.ac.il,1,1
wwu.edu,1,1
agresearch.co.nz,2,2
isglobal.org,3,3
bioassay.dk,1,1
kof.ethz.ch,5,2
trinity.edu,1,1
umlub.pl,5,1
badsberg.eu,2,1
utu.fi,2,1
upf.edu,2,2
mail.sysu.edu.cn,1,1
swansea.ac.uk,1,1
ars.usda.gov,2,1
hotmail.fr,4,4
dreamhunter.me,1,1
tu-dortmund.de,5,5
algepop.net,1,1
unican.es,1,1
oregonstate.edu,1,1
libero.it,3,3
polito.it,3,2
vzvz.org,1,1
vanderwalresearch.com,1,1
fu-berlin.de,3,3
garbett.org,2,1
inf.unideb.hu,1,1
looscomputing.ch,2,1
medicine.psu.ac.th,1,1
epijim.uk,2,1
york.ac.uk,5,3
wsu.edu,2,2
my.uri.edu,1,1
kent.edu,1,1
ms.unimelb.edu.au,1,1
crm.cat,1,1
cienciassociales.edu.uy,1,1
exegetic.biz,4,1
ubishops.ca,1,1
nina.no,1,1
cshs.org,1,1
fishandwhistle.net,7,1
univ-ubs.fr,1,1
financial.com,4,1
keihirose.com,3,1
bath.ac.uk,3,3
bosyi.com,1,1
iphes.cat,1,1
bandwidth.com,1,1
igbmc.fr,2,1
mevik.net,3,1
jhsph.edu,6,3
state.ma.us,1,1
igb-berlin.de,1,1
inrs.fr,1,1
uni-rostock.de,3,2
umin.net,2,1
osumc.edu,1,1
rci.rutgers.edu,1,1
nfi.minvenj.nl,1,1
usys.ethz.ch,1,1
nick-kennedy.com,1,1
matthewvavrek.com,2,2
pritchard.co,1,1
ucm.es,1,1
siue.edu,1,1
uevora.pt,4,2
roxygen.org,3,1
umces.edu,4,3
alum.mit.edu,6,5
ut.ee,1,1
agrsci.dk,1,1
lnx-bsp.net,1,1
pei.de,4,1
londonmet.ac.uk,8,2
gamlss.org,2,1
ism.ac.jp,2,2
estarcion.net,2,1
dlut.edu.cn,1,1
xs4all.nl,4,3
insel.ch,1,1
bswhealth.org,2,2
mail.muni.cz,1,1
um.edu.my,1,1
unisannio.it,1,1
aya.yale.edu,1,1
imbim.uu.se,1,1
qmul.ac.uk,1,1
maths.bath.ac.uk,1,1
mbg.au.dk,1,1
pranageo.com,1,1
stmail.uni-bayreuth.de,1,1
yahoo.se,6,1
udistrital.edu.co,1,1
uem.br,1,1
austin.utexas.edu,2,1
protocolvital.info,1,1
presciient.com,1,1
ggtern.com,1,1
qimrberghofer.edu.au,1,1
jyu.fi,2,2
stat.nus.edu.sg,1,1
fsw.leidenuniv.nl,4,3
stthomas.edu,1,1
sophia.inra.fr,1,1
txstate.edu,1,1
otani.co,1,1
upi.edu,2,1
briandk.com,1,1
nii.ac.jp,1,1
clermont.inra.fr,1,1
uni-trier.de,1,1
svetunkov.ru,2,1
westernsydney.edu.au,1,1
dal.ca,4,1
univ-lyon2.fr,1,1
gsk.com,1,1
univ-fcomte.fr,4,3
uwalumni.com,4,3
live.ca,2,1
uab.cat,4,1
statistik.uu.se,2,2
slu.se,4,4
math.kobe-u.ac.jp,1,1
vols.utk.edu,2,2
mail.uni-mannheim.de,1,1
profusion.com,1,1
fortin.bio,1,1
hms.harvard.edu,3,3
neurobat.net,1,1
inf.u-szeged.hu,2,1
darrouzet-nardi.net,1,1
sampo.ru,1,1
math.unicaen.fr,1,1
sangchul.com,1,1
htw-dresden.de,1,1
luc.edu,1,1
hku.hk,2,2
mail.shu.edu.tw,1,1
de.ufpb.br,1,1
student.american.edu,1,1
univ-rennes2.fr,1,1
uni-koeln.de,6,4
natera.com,1,1
cbs.chula.ac.th,1,1
live.de,1,1
sci.unich.it,1,1
city.ac.uk,1,1
cukurova.edu.tr,3,1
binghamton.edu,2,1
penguin.kobe-u.ac.jp,1,1
sg.cs.titech.ac.jp,2,1
meteoexploration.com,1,1
mines-ales.fr,1,1
bayer.com,3,3
education.ox.ac.uk,1,1
fhi.no,1,1
uji.es,3,3
pennmedicine.upenn.edu,1,1
uke.uni-hamburg.de,4,2
nr.no,2,1
kenkellner.com,1,1
thon.cc,3,1
iima.ac.in,1,1
manitz.org,3,1
iconcologia.net,1,1
openanalytics.be,1,1
mwolters.com,2,1
kompetenz-wasser.de,1,1
cas.ifmt.edu.br,1,1
dewey.myzen.co.uk,2,1
alaska.edu,7,2
college.harvard.edu,1,1
polymtl.ca,1,1
statistik.uni-dortmund.de,1,1
ono.com,2,2
caryinstitute.org,1,1
uniud.it,4,2
nudt.edu.cn,1,1
payoff.com,1,1
behrendt-stefan.de,1,1
acibadem.edu.tr,1,1
uef.fi,1,1
mail.huji.ac.il,2,2
qfab.org,1,1
oulu.fi,3,1
its.leeds.ac.uk,2,1
uis.no,1,1
nict.go.jp,2,1
vetmeduni.ac.at,1,1
math.mcmaster.ca,5,4
niu.edu,2,1
open.ac.uk,1,1
uidaho.edu,1,1
lk.net,1,1
fc.up.pt,1,1
fondation-ican.com,1,1
alumni.brown.edu,2,2
machi.na,2,1
mango-solutions.com,12,6
meteo.be,3,1
marine.ie,1,1
isped.u-bordeaux2.fr,1,1
reed.edu,1,1
klein.uk,1,1
anses.fr,1,1
elff.eu,3,1
ruri.waseda.jp,1,1
ccet.ufrn.br,1,1
mail.missouri.edu,4,3
lgc.co.uk,1,1
math.ntnu.no,1,1
math.leidenuniv.nl,2,2
seananderson.ca,2,2
metafor-project.org,1,1
grf.bg.ac.rs,2,1
holst.it,3,1
nist.gov,1,1
ncc.go.jp,1,1
utfpr.edu.br,2,1
ug.edu.gh,1,1
pnnl.gov,2,2
southalabama.edu,1,1
rwth-aachen.de,1,1
sccwrp.org,1,1
anadolu.edu.tr,2,2
guest.arnes.si,1,1
made.com,1,1
umons.ac.be,1,1
k-state.edu,1,1
lsuhsc.edu,5,2
albany.edu,2,2
univ-reunion.fr,5,1
ninepointeightone.net,1,1
cs.tsukuba.ac.jp,1,1
giantoak.com,1,1
ubc.ca,2,1
vodafone.de,1,1
seibold.co,2,1
liverpool.ac.uk,3,3
dcs.upd.edu.ph,2,2
uct.ac.za,1,1
polsl.pl,2,1
addenbrookes.nhs.uk,2,1
fdv.uni-lj.si,1,1
yahoo.co.jp,2,1
uoregon.edu,3,3
ims.uerj.br,2,1
rockefeller.edu,1,1
comcast.net,3,3
fau.edu,1,1
mrc-hnr.cam.ac.uk,1,1
it.uu.se,1,1
math.uio.no,1,1
gipsa-lab.fr,3,2
fzp.czu.cz,1,1
med.miami.edu,1,1
gallus.edu.pl,1,1
igib.in,1,1
mattmalin.co.uk,1,1
xmu.edu.cn,1,1
murdoch.edu.au,3,2
leibniz-bips.de,2,2
ukr.net,1,1
legs.cnrs-gif.fr,2,1
vse.cz,1,1
usb.ch,1,1
engelmeyer.de,1,1
faber.kuleuven.be,1,1
bus.miami.edu,3,2
sigg-iten.ch,2,1
revolution-computing.com,1,1
parasec.net,1,1
med.up.pt,1,1
skrey.net,1,1
ur.de,3,3
campanella.org,1,1
merck.de,1,1
otago.ac.nz,6,3
nroo.de,1,1
algomau.ca,1,1
uni-hohenheim.de,4,3
lefant.net,1,1
uni-hamburg.de,4,4
enricoschumann.net,5,1
urv.cat,2,2
unisa.it,1,1
ufg.uni-kiel.de,2,2
mct.uminho.pt,1,1
sust.edu,1,1
dsgmail.wustl.edu,1,1
tiho-hannover.de,1,1
geologia.unam.mx,1,1
si.edu,2,2
paleobiogeography.org,2,1
abdn.ac.uk,1,1
alexandereckert.com,1,1
infofarm.be,2,1
sahilseth.com,4,1
gustaveroussy.fr,2,1
ucsf.edu,2,2
mtu.edu,1,1
zips.uakron.edu,2,2
ue-varna.bg,1,1
cc.shu.edu.tw,1,1
iata.csic.es,1,1
mums.ac.ir,1,1
oilgainsanalytics.com,3,1
galton.uchicago.edu,1,1
unisi.it,1,1
bdi.ox.ac.uk,2,1
sjc.ox.ac.uk,1,1
wiwi.uni-goettingen.de,1,1
hafro.is,2,2
libertymail.net,1,1
johandahlin.com,1,1
graduate.hku.hk,1,1
occams.com,1,1
votamatic.org,1,1
uy1.uninet.cm,1,1
cs.uri.edu,1,1
iugaza.edu.ps,1,1
sorbonne-universite.fr,1,1
psych.ut.ee,1,1
red.ujaen.es,2,2
muohio.edu,1,1
sydney.edu.au,5,5
cin.ufpe.br,1,1
partners.org,1,1
ef-prime.com,1,1
lincoln.ac.uk,2,1
ucmail.uc.edu,1,1
biostat.ucsf.edu,1,1
alumni.tu-berlin.de,1,1
eeza.csic.es,1,1
datastorm.fr,3,1
kew.org,1,1
ums-riate.fr,2,2
lexisnexis.com,1,1
p-roocks.de,1,1
apcc21.org,1,1
iridia.ulb.ac.be,1,1
vumc.nl,3,3
boonstra.org,1,1
tecnico.ulisboa.pt,2,2
hzdr.de,3,1
idi.ntnu.no,1,1
outlook.com.au,2,1
cs.tu-berlin.de,1,1
nevrome.de,2,1
fs.uni-lj.si,1,1
ischool.berkeley.edu,1,1
med.uni-duesseldorf.de,1,1
fayette.kyschools.us,1,1
ksu.edu,1,1
student.gla.ac.uk,1,1
cs.ucdavis.edu,1,1
sia-partners.com,1,1
uni-bielefeld.de,1,1
rediffmail.com,1,1
unt.edu,1,1
wiwi.uni-halle.de,1,1
uni.kn,2,2
alaska.gov,1,1
mofo.ca,1,1
ise.cnr.it,1,1
smedx.com,1,1
geneseo.edu,1,1
jrwb.de,1,1
mail.mil,1,1
cofc.edu,1,1
dsi.uminho.pt,1,1
ens.fr,1,1
alpha-analysis.com,1,1
med.lu.se,2,1
lecairn.org,1,1
umh.es,3,3
blue.zero.jp,1,1
cs.rutgers.edu,1,1
paulsaary.de,1,1
omnianalytics.io,2,1
uec.ac.jp,2,1
campus.unimib.it,1,1
iusb.edu,2,1
usantotomas.edu.co,1,1
spectrumhealth.org,1,1
numerika.mx,2,1
ens-lyon.org,1,1
i.kyoto-u.ac.jp,1,1
uni-potsdam.de,1,1
psychologie.uni-wuerzburg.de,1,1
produnis.de,2,2
williams.edu,1,1
mariomartinezaraya.com,1,1
mbs.edu,1,1
cs.stanford.edu,2,2
obs-vlfr.fr,1,1
ewha.ac.kr,2,2
mail.usf.edu,1,1
usask.ca,1,1
nju.edu.cn,1,1
wright.edu,1,1
kuci.org,1,1
more-praha.cz,1,1
richmond.edu,1,1
math.tu-freiberg.de,1,1
bf.uni-lj.si,1,1
dasometrics.net,1,1
uwtsd.ac.uk,1,1
student.unsw.edu.au,1,1
uwa.edu.au,9,1
ouc.edu.cn,1,1
cnrs.fr,7,2
mni.thm.de,2,1
prodsyse.com,1,1
uni-bonn.de,2,2
rambler.ru,1,1
stat.wvu.edu,1,1
altermail.ch,1,1
rm.unicatt.it,1,1
alumni.cmu.edu,1,1
sicyon.com,1,1
t-online.de,1,1
dim.uchile.cl,1,1
generali.com,1,1
ga.gov.au,1,1
th-koeln.de,1,1
sms.ed.ac.uk,2,2
childrens.harvard.edu,1,1
cheysson.fr,1,1
wehi.edu.au,2,2
dcu.ie,1,1
alumni.harvard.edu,1,1
nifty.com,1,1
helmholtz-muenchen.de,1,1
welovedatascience.com,1,1
usp.ac.fj,1,1
cwru.edu,1,1
yahoo.com.au,1,1
csuohio.edu,1,1
isa.utl.pt,1,1
cs.rwth-aachen.de,2,1
uhasselt.be,20,10
csb.gov.lv,2,1
imbs.uni-luebeck.de,1,1
my.cityu.edu.hk,1,1
kws.com,1,1
harrodlab.net,1,1
compusense.com,1,1
stat.harvard.edu,1,1
aucklanduni.ac.nz,2,2
mails.ucas.ac.cn,2,1
mail.tku.edu.tw,1,1
stat.uiowa.edu,1,1
nibmg.ac.in,1,1
teradata.com,1,1
uc.pt,1,1
science.ru.nl,1,1
mail.usask.ca,1,1
entecra.it,1,1
lafayette.edu,1,1
darden.virginia.edu,1,1
stat.umu.se,1,1
banca.mps.it,1,1
ucdconnect.ie,1,1
lisic.univ-littoral.fr,1,1
hotmail.co.uk,2,2
student.adelaide.edu.au,1,1
sagebase.org,1,1
gmx.ch,1,1
fwu.ac.jp,1,1
linuxmail.org,1,1
alumni.amherst.edu,1,1
usb.ve,1,1
egce.cnrs-gif.fr,1,1
chiru.med.uni-giessen.de,1,1
hsu-hh.de,1,1
stu-mail.um.ac.ir,1,1
rish.kyoto-u.ac.jp,1,1
statistik.gv.at,2,2
pasteur.fr,1,1
poissonconsulting.ca,5,1
studenti.unimi.it,1,1
link.cuhk.edu.hk,1,1
ncl.ac.uk,4,3
hotmail.co.nz,1,1
mathematik.uni-marburg.de,3,1
pace.edu,2,1
lne.fr,1,1
infineon.com,2,1
acr.kr,6,1
cantab.net,3,1
econ.ku.dk,1,1
ufg.br,1,1
agner.org,1,1
math.unistra.fr,3,1
cs.cas.cz,6,4
orange.fr,2,2
doctors.org.uk,1,1
sdsmt.edu,3,2
pasteur.ac.ir,1,1
alumni.stanford.edu,2,2
fri.uni-lj.si,4,3
imise.uni-leipzig.de,1,1
vsb.cz,1,1
h12o.es,1,1
cmh.edu,1,1
lbl.gov,1,1
bioenv.gu.se,1,1
uwb.edu.pl,2,1
uniss.edu.cu,1,1
ec-lyon.fr,2,2
unicatt.it,2,2
equine-science.de,1,1
gfz-potsdam.de,2,1
ceab.csic.es,1,1
eecs.utk.edu,1,1
msgsu.edu.tr,1,1
alphabetaworks.com,1,1
uth.tmc.edu,1,1
bionet.nsc.ru,2,1
aibrt.org,1,1
epiconcept.fr,4,1
stats4sd.org,1,1
crea.gov.it,2,2
tnc.org,3,1
sph.rutgers.edu,1,1
sen-zhao.com,1,1
brgm.fr,1,1
husky.neu.edu,4,2
bilkent.edu.tr,1,1
bam.de,1,1
fdm.uni-freiburg.de,1,1
wzw.tum.de,3,2
uol.com.br,2,1
unrealizedtime.nl,3,1
research.gla.ac.uk,2,2
mails.jlu.edu.cn,1,1
u-bordeaux-montaigne.fr,2,1
snu.ac.kr,3,2
rogers.com,1,1
scilifelab.se,1,1
math.uni-frankfurt.de,1,1
bris.ac.uk,1,1
biostatsolutions.com,1,1
mail.uc.edu,2,2
pennstatehealth.psu.edu,1,1
utwente.nl,1,1
mist.i.u-tokyo.ac.jp,1,1
gc.cuny.edu,1,1
maths.ox.ac.uk,1,1
thongpham.net,2,1
stevebronder.com,1,1
acpfg.com.au,1,1
biola.edu,1,1
ibge.gov.br,1,1
cs.wm.edu,1,1
jackwasey.com,5,1
informatik.uni-halle.de,1,1
uwe.ac.uk,1,1
naturalsciences.org,1,1
portfolioeffect.com,2,1
vet.uth.gr,1,1
slu.edu,3,3
unilu.ch,1,1
cs.utexas.edu,1,1
neuro.wustl.edu,1,1
business.uzh.ch,1,1
diee.unica.it,1,1
evolutics.info,1,1
marshall.usc.edu,1,1
connect.ust.hk,2,2
rsginc.com,1,1
dm.duke.edu,5,2
mathstat.yorku.ca,2,2
szeredi.hu,1,1
uoeld.ac.ke,1,1
sdstate.edu,1,1
cimat.mx,1,1
openriskcalculator.com,3,1
coe.ufl.edu,1,1
cray.com,1,1
nciea.org,4,1
nwu.ac.za,1,1
synerscope.com,1,1
dkf.unibe.ch,1,1
usu.edu,3,2
not-normal-consulting.co.uk,1,1
ecodev.vic.gov.au,1,1
email.wcu.edu,1,1
boehringer-ingelheim.com,1,1
andrew.cmu.edu,1,1
hope.edu,1,1
tue.nl,1,1
niehs.nih.gov,1,1
esat.kuleuven.be,1,1
uhnresearch.ca,1,1
unex.es,2,1
win-vector.com,8,1
mirai-solutions.com,2,1
biostatstudio.com,1,1
ioz.ac.uk,1,1
wiv-isp.be,1,1
meteoswiss.ch,2,1
wolfson.oxon.org,1,1
codexdata.com,1,1
geology.wisc.edu,1,1
thomaslotze.com,1,1
mdic.org,1,1
gordonjross.co.uk,2,1
phsz.ch,2,1
pollub.pl,2,1
email.com,4,1
openmailbox.org,1,1
volkerschmid.de,2,1
napier.ac.uk,1,1
nhs.net,1,1
wrig.de,3,1
cpp.edu,1,1
edf.fr,1,1
acp.kr,1,1
aggregate-genius.com,1,1
jax.org,1,1
imbie.meb.uni-bonn.de,3,1
hs-lausitz.de,1,1
caa.columbia.edu,1,1
fpt.edu.vn,1,1
rmg-services.com,1,1
farmbio.uu.se,5,3
linglit.tu-darmstadt.de,1,1
ffzg.hr,1,1
kirchner.io,1,1
hochschule-trier.de,1,1
anhoej.net,3,2
sjoerdvanderspoel.nl,1,1
comunidad.unam.mx,2,1
hs-osnabrueck.de,1,1
rmit.edu.au,2,1
libscie.org,1,1
oguzhanogreden.com,1,1
eikeluedeling.com,1,1
geo.uio.no,1,1
cito.nl,1,1
normalesup.org,2,1
jdunham.io,2,1
talk21.com,1,1
cannadatasolutions.com,2,1
sonic.net,4,1
ipn.mx,1,1
visconsultancy.eu,1,1
cefas.co.uk,1,1
uni-landau.de,1,1
uke.de,6,1
utc.fr,2,1
canterbury.ac.nz,1,1
wne.uw.edu.pl,2,1
jmu.edu,2,1
thinkr.fr,7,2
sandia.gov,1,1
phe.gov.uk,1,1
ardata.fr,5,1
univ-tlse3.fr,1,1
pipegrep.co.uk,2,1
zatonovo.com,9,1
datainsightpartners.com,1,1
ivb.cz,1,1
symbolix.com.au,4,1
merrimack.edu,1,1
supagro.fr,1,1
samabbott.co.uk,1,1
r-bar.net,1,1
jongbin.com,2,1
mitchelloharawild.com,1,1
marionegri.it,1,1
biologie.uni-freiburg.de,1,1
crab.org,1,1
hunter.cuny.edu,1,1
gertvv.nl,2,1
comp.polyu.edu.hk,1,1
mails.tsinghua.edu.cn,1,1
immunol.a-star.edu.sg,1,1
cruk.cam.ac.uk,2,1
imi.hr,1,1
de.ibm.com,1,1
climate-babel.org,1,1
sofi.su.se,2,1
fh-muenster.de,2,1
bios.unc.edu,1,1
ipea.gov.br,2,1
tu-berlin.de,1,1
northumbria.ac.uk,2,1
uis.edu.co,1,1
jvn.edu.vn,1,1
math.uni-giessen.de,1,1
ktu.edu.tr,1,1
alpestat.com,1,1
untirta.ac.id,1,1
edgecondition.com,1,1
fastmail.com,1,1
larmarange.net,1,1
forst.uni-goettingen.de,1,1
iisg.nl,1,1
iysik.com,1,1
benjaminrich.net,2,1
posthuma-partners.nl,1,1
polytechnique.edu,1,1
njit.edu,2,1
ufpr.br,1,1
usherbrooke.ca,1,1
thomasmoebius.de,2,1
fidmag.com,2,1
vsthost.com,2,1
ac.upc.edu,2,1
ifca.unican.es,1,1
psychologie.uni-mannheim.de,2,1
schwalb-willmann.de,1,1
ul.ie,1,1
base2bio.com,1,1
agrosupdijon.fr,1,1
post.com,2,1
mvdalab.com,1,1
uniroma2.it,1,1
roosevelt.edu,2,1
fh-dortmund.de,1,1
pinnaclesports.com,3,1
dirk-schumacher.net,4,2
bio.uib.no,1,1
christinehohensinn.at,1,1
students.kasralainy.edu.eg,1,1
waldste.in,2,2
zoologi.su.se,1,1
bigelow.org,1,1
kdss.at,1,1
bio.ntnu.no,1,1
protonmail.ch,2,2
cancer.fi,1,1
hci.utah.edu,1,1
richard-schuster.com,2,1
ntu.edu.sg,1,1
coquipr.com,2,1
zuckarelli.de,2,1
cortland.edu,1,1
uqconnect.edu.au,1,1
togaware.com,1,1
njaes.rutgers.edu,1,1
eoos.dds.nl,1,1
calligross.de,1,1
psy.vu.nl,1,1
humandata.it,1,1
colinfay.me,7,2
ipipan.waw.pl,1,1
pgm-solutions.com,1,1
inf.unibz.it,1,1
sesync.org,1,1
lysis-consultants.fr,1,1
idiv-biodiversity.de,2,1
vai.org,1,1
vinecopulib.org,1,1
dzne.de,1,1
normale.fr,1,1
brandmaier.de,1,1
ecdc.europa.eu,1,1
vub.be,1,1
idem.in.gov,1,1
dreamrs.fr,2,1
alphacruncher.hu,1,1
freescience.de,1,1
code.databio.org,1,1
fhsg.ch,2,1
jonasstein.de,1,1
cf.ac.uk,1,1
live.com.mx,1,1
psy.ox.ac.uk,1,1
finma.ch,1,1
wlu.ca,1,1
scrim.psu.edu,1,1
jurianbaas.nl,1,1
math.binghamton.edu,1,1
logic.at,2,1
opsahl.co.uk,1,1
bayesforecast.com,1,1
lip6.fr,1,1
ibwya.net,1,1
altfeld-im.de,1,1
faea.uncoma.edu.ar,1,1
dilorenzo.pl,1,1
tnagler.com,4,1
gradcenter.cuny.edu,1,1
dft.gsi.gov.uk,1,1
tetratech.com,1,1
saagie.com,1,1
mhc.ab.ca,1,1
kirchkamp.de,1,1
uk.ac.ir,10,1
cs.nmsu.edu,2,1
atlas.cz,1,1
sztaki.mta.hu,1,1
crunch.io,3,1
mcs.anl.gov,2,2
hppi.troitsk.ru,1,1
oracle.com,1,1
amgen.com,1,1
uthscsa.edu,1,1
technion.ac.il,1,1
milfeldt.dk,2,2
amu.edu.pl,1,1
vmonaco.com,1,1
imls.uzh.ch,1,1
statlab.uni-heidelberg.de,1,1
gaillard.me,1,1
s-boehringer.org,1,1
doctorevidence.com,1,1
cbio.mskcc.org,2,1
dife.de,1,1
terminusdatascience.com,1,1
bordeaux.inra.fr,1,1
datarobot.com,2,1
acta.asso.fr,2,2
stamats.de,11,1
deakin.edu.au,2,1
auriq.com,1,1
medunigraz.at,1,1
rki.de,1,1
bigml.com,1,1
bsc.es,4,2
nurometic.com,1,1
witthoft.com,2,1
ydu.edu.tw,1,1
coherentlogic.com,4,1
ccc.ufcg.edu.br,1,1
lazaridis.eu,2,1
flowwest.com,1,1
rhoworld.com,1,1
carl-ambroselli.de,1,1
informatik.uni-leipzig.de,1,1
his.se,1,1
stuartbaumann.com,2,1
tableau.com,2,1
latentview.com,1,1
knoema.com,1,1
aphis.usda.gov,1,1
hvl.no,1,1
mpopov.com,1,1
akane.waseda.jp,1,1
h-ab.de,1,1
b-tu.de,1,1
aaronschlegel.com,1,1
tropmedres.ac,1,1
unb.ca,1,1
quandl.com,1,1
agr.gc.ca,1,1
yahoo.com.hk,1,1
cityofchicago.org,1,1
gastrograph.com,1,1
tcnj.edu,1,1
wit.edu.pl,1,1
is.uni-freiburg.de,1,1
dc.uba.ar,1,1
sfeuerriegel.com,1,1
sigopt.com,1,1
johnmyleswhite.com,2,1
yougov.com,1,1
symplur.com,1,1
lincolnmullen.com,6,1
middlebury.edu,1,1
wikimedia.org,1,1
jimenezluna.com,1,1
onnokleen.de,2,1
algorithmia.com,1,1
owu.edu,8,1
seankross.com,5,1
starkingdom.co.uk,1,1
sunholo.com,7,1
56n.dk,6,1
westmont.edu,1,1
pixelwoelkchen.de,1,1
stefanbache.dk,4,1
brendanrocks.com,1,1
schneider-electric.com,2,1
unifr.ch,1,1
transportfoundry.com,1,1
massmutual.com,2,2
gopstein.com,1,1
mcri.edu.au,1,1
lyzander.com,1,1
cs.umd.edu,1,1
unet.univie.ac.at,1,1
rudis.net,6,1
media.mit.edu,2,2
ifc.org,1,1
shipt.com,1,1
bccrc.ca,1,1
chrisrackauckas.com,1,1
itsalocke.com,1,1
dominodatalab.com,1,1
jakesherman.com,1,1
rpi.edu,1,1
ag.tamu.edu,1,1
zmjones.com,2,2
schmolze.com,1,1
bradeck.net,2,1
deadheaven.com,1,1
alumnos.upm.es,2,1
gabrielebaldassarre.com,2,1
ecohealthalliance.org,1,1
benesty.fr,2,1
roh.engineering,1,1
aber.ac.uk,1,1
renkun.me,5,1
stir.ac.uk,1,1
futurecities.catapult.org.uk,1,1
mail.iastate.edu,1,1
ludvigolsen.dk,1,1
alshum.com,1,1
reefpointgroup.com,1,1
exponent.com,1,1
spy.net,1,1
leeds.ac.uk,1,1
tcu.edu,3,1
ceemid.eu,1,1
udel.edu,1,1
ixpantia.com,1,1
