"","sd","mean","min","max"
"black",8.70874209791145,8.77395088448507,0,35.0347080440996
"hispanic",9.38425959195473,14.5276521332752,0,43.1265206812652
"inpov",4.56684521187151,6.48757063510762,0,18.6299694189602
"med_inc_w",44176.8070299652,138548.684210526,61181,250001
"med_inc_a",59416.3554246743,124664,12955,250001
"med_inc_b",42883.7668994209,83521.25,24070,226000
"med_inc_h",55616.0893415941,112690,2499,250001
"no_vehic",0.991209091360102,1.05689655172414,0,4.1
"perc_under_18",8.47456225960224,16.9661487163083,0,31.8801089918256
