X,Y,Store_Name,Address,City,County,type
-121.79942,42.255802,Pilot Travel Center 504,3817 N Highway 97,Klamath Falls,KLAMATH,snap
-124.40224,43.111282,Mckay's Market 4,Po Box 896,Bandon,COOS,snap
-123.92578,46.162899,Supermart 9,280 S Main Ave,Warrenton,CLATSOP,snap
-119.311,45.843479,11th St Market,425 Nw 11th St,Hermiston,UMATILLA,snap
-119.50323,43.542152,Riley Store & Archery,17674 Highway 20 W,Riley,HARNEY,snap
-124.01672,44.962543,Space Age Fuel 22,565 Sw Highway 101,Lincoln City,LINCOLN,snap
-122.53738,45.497124,Walgreens 04943,12215 SE Powell Blvd,Portland,MULTNOMAH,snap
-122.85564,42.360451,7-ELEVEN 23217D,3001 Crater Lake Ave,Medford,JACKSON,snap
-121.26608,44.055016,Whole Foods Market 10407,2610 NE Highway 20,Bend,DESCHUTES,snap
-123.06383,44.045181,MARKET OF CHOICE #10,1960 Franklin Blvd,Eugene,LANE,snap
-123.27385,43.217632,Crystal Creek Meats Inc.,5357 N Umpqua Hwy,Roseburg,DOUGLAS,snap
-118.95235,44.416058,Len's Drug,120 E Main St,John Day,GRANT,snap
-122.74596,45.588749,St. Johns Grocery Outlet 187,7741 N Lombard St,Portland,MULTNOMAH,snap
-121.33073,44.148445,Tumalo Country Store,64683 Cook Ave,Bend,DESCHUTES,snap
-122.67555,45.551819,Kim's Family Inc.  dba Nu-Rite Way Food Center,3965 N Mississippi Ave,Portland,MULTNOMAH,snap
-124.17429,43.573967,Mckay's Market 14,200 S 8th St,Lakeside,COOS,snap
-122.62714,45.409863,Walmart Neighborhood Market 3144,15600 SE McLoughlin Blvd,Milwaukie,CLACKAMAS,snap
-123.32412,42.439213,Grants Pass Grower's Market,295 NE F St,Grants Pass,MULTNOMAH,snap
-122.69444,45.261421,Canby Food Market,293 Sw 1st Ave,Canby,CLACKAMAS,snap
-121.80441,42.191032,Dollar General 18772,3810 Greensprings Dr,Klamath Falls,KLAMATH,snap
-122.84296,45.138008,Woodburn Market,398 N Pacific Hwy,Woodburn,MARION,snap
-123.25733,44.588711,Market Of Choice 7,922 NW Circle Blvd,Corvallis,BENTON,snap
-123.03077,44.912086,Us Market 300,2904 12th St SE,Salem,MARION,snap
-122.68288,45.522526,Peterson's 12th & Stark,1143 SW Stark St,Portland,MULTNOMAH,snap
-123.29756,44.316971,Dollar General 18595,236 N 5th St,Monroe,BENTON,snap
-122.81019,45.493946,Cedar Hills Chevron Extra Mile 5,3520 SW Cedar Hills Blvd,Beaverton,WASHINGTON,snap
-122.86853,45.493992,Aloha 185th Chevron 8,18560 SW Tualatin Valley Hwy,Beaverton,WASHINGTON,snap
-122.96299,45.507553,Costless Market Inc,1895 Se Tualatin Valley Hwy,Hillsboro,WASHINGTON,snap
-122.68434,45.509903,Maks Mini Mart,616 Sw College St,Portland,MULTNOMAH,snap
-118.42527,45.815266,Suzi's Handy Mart,211 N Water St,Weston,UMATILLA,snap
-122.62349,45.516403,Belmont Auto Service 83355,3840 SE Belmont St,Portland,MULTNOMAH,snap
-123.93397,45.718918,Manzanita Farmers Market,467 Laneda Ave,Manzanita,TILLAMOOK,snap
-122.64791,45.512218,GM Market,1727 SE Hawthorne Blvd,Portland,MULTNOMAH,snap
-122.80249,45.443882,Whole Foods Market 10537,12220 SW Scholls Ferry Rd,Tigard,WASHINGTON,snap
-122.56888,45.407948,Clackamas Extra Mile Chevron 21,15901 Se 82nd Dr,Clackamas,CLACKAMAS,snap
-122.61495,45.479153,Woodstock Farmers Market,4600 SE Woodstock Blvd,Portland,MULTNOMAH,snap
-122.57911,45.522568,82nd Ave Extra Mile 12,9 SE 82nd Ave,Portland,MULTNOMAH,snap
-122.57897,45.484264,Sf Supermarket,5253 Se. 82nd Ave # 123,Portland,MULTNOMAH,snap
-122.77325,45.301003,Fred Meyer 00516,30300 SW Boones Ferry Rd,Wilsonville,CLACKAMAS,snap
-121.32956,44.056648,Paradise Produce Stand,1234 NW Galveston Ave,Bend,DESCHUTES,snap
-122.5827,45.526455,Speedy Market,7839 NE Glisan St,Portland,MULTNOMAH,snap
-122.61621,45.479153,New Seasons Market Woodstock 017,4500 Se Woodstock Blvd,Portland,MULTNOMAH,snap
-123.18281,44.86404,A1 Market,295 Deann Dr,Independence,POLK,snap
-122.82579,45.476433,Highland Food Market,14470 SW Allen Blvd,Beaverton,WASHINGTON,snap
-122.59046,45.547707,Walgreens 16251,7070 NE Sandy Blvd,Portland,MULTNOMAH,snap
-122.96284,44.045811,42nd And Main Gas,4202 Main St,Springfield,LANE,snap
-122.73062,45.584927,Lombard & Fortune Mini Mart,6221 N Lombard St,Portland,MULTNOMAH,snap
-122.53539,45.526344,Islanders Mini Mart,12427 NE Glisan St,Portland,MULTNOMAH,snap
-122.67417,45.517147,Peterson's On Yamhill,115 SW Yamhill St,Portland,MULTNOMAH,snap
-123.30962,44.929749,Papa Murphys OR114,244 East Ellendale,Dallas,POLK,snap
-123.22883,44.84737,Papa Murphys OR122,609 Clay St E,Monmouth,POLK,snap
-122.8532,45.492428,Aloha 170th Chevron 20,17095 SW Tualatin Valley Hwy,Beaverton,WASHINGTON,snap
-122.38695,45.477058,"Us Market 325, Llc",2705 SE Orient Dr,Gresham,MULTNOMAH,snap
-120.34792,42.193272,Dollar General Store 16898,716 N 4th St,Lakeview,LAKE,snap
-121.52673,43.703316,Fast Break Corner Store Market 6305,15989 Burgess Rd,La Pine,DESCHUTES,snap
-122.54796,45.490047,Holgate Market & Deli,4434 SE 112th Ave,Portland,MULTNOMAH,snap
-122.74517,45.382637,7-eleven 23726C,6630 SW Nyberg St,Tualatin,WASHINGTON,snap
-122.59459,45.483067,Penny Saver Market,6643 Se Harold St,Portland,MULTNOMAH,snap
-122.66438,42.185448,Ashland Valero 6311,2495 Ashland St,Ashland,JACKSON,snap
-123.03407,44.889435,Trader Joes 153,4450 Commercial St SE,Salem,MARION,snap
-122.7225,44.398975,Main St. Market 1,1810 Main St,Sweet Home,LINN,snap
-124.234,43.406567,Coos History Museum,1611 Virginia Ave,Northbend,COOS,snap
-123.35283,43.267239,Log Cabin Grocery And Deli,4751 NE Stephens St,Roseburg,DOUGLAS,snap
-123.30286,42.437847,WinCo Foods 138,231 NE Terry Ln,Grants Pass,JOSEPHINE,snap
-122.78539,42.246223,Crown Market 500,160 N Pacific Hwy,Talent,JACKSON,snap
-123.2626,44.577282,Vitamin Cottage U077,1235 NW 10th St,Corvallis,BENTON,snap
-122.47737,45.533279,Dollar Tree 4627,1443 NE 181st Ave,Portland,MULTNOMAH,snap
-122.57903,45.469048,Bi-Lo Convenience Store 2,7476 Se 82nd Ave,Portland,MULTNOMAH,snap
-122.88399,42.346504,Vitamin Cottage Natural Food Market,1990 N Pacific Hwy,Medford,JACKSON,snap
-122.79498,45.486496,76 Of Beaverton,11400 SW Beaverton Hillsdale Hwy,Beaverton,WASHINGTON,snap
-116.97055,44.024075,Farmers Supply Coop,514 SW 4th Ave,Ontario,MALHEUR,snap
-122.86933,44.840698,Dollar General 17397,430 Main St,Aumsville,MARION,snap
-121.16596,44.253395,Williams Bakery Thrift Store 9002,334 SE Timber Ave,Redmond,DESCHUTES,snap
-122.75698,45.592426,TIENDA Y CARNICERIA EL COMPADRE,9011 N Lombard St,Portland,MULTNOMAH,snap
-123.03972,43.800442,Walmart Supercenter 2320,901 Row River Rd,Cottage Grove,LANE,snap
-123.36891,43.238667,SHERMS THUNDERBIRD MARKET #04,2553 NW Stewart Pkwy,Roseburg,DOUGLAS,snap
-122.76031,45.594582,THE B MART,9501 N Ivanhoe St,Portland,MULTNOMAH,snap
-123.28088,42.931252,Dollar General 16489,350 N Main St,Canyonville,DOUGLAS,snap
-122.89007,42.318573,Woodland Heights Market,1501 Prune St,Medford,JACKSON,snap
-124.24582,43.380993,Williams Bakery Thrift Store 9007,2775 Ocean Blvd SE,Coos Bay,COOS,snap
-123.91326,46.037594,Bud's Campground And Grocery 1,4412 Hwy 101 N,Gearhart,YAMHILL,snap
-121.86295,42.576202,Family Food Center,129 S 1st Ave,Chiloquin,KLAMATH,snap
-118.07809,45.319546,Hines Meat Company,2315 Jefferson Ave,La Grande,UNION,snap
-123.00027,44.949921,Corner Market,2809 Market St Ne,Salem,MARION,snap
-122.55803,45.531464,WINCO FOODS 013,1222 NE 102nd Ave,Portland,MULTNOMAH,snap
