STATEFP,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"41","11040","4111040",Scio School District 95,"00",KG,"12",G5420,,E,"278252876","389320","+44.6836948","-122.7558049"
"41","00020","4100020",North Santiam School District 29J,"00",KG,"12",G5420,,E,"389338040","2828932","+44.7975498","-122.6577043"
"41","01500","4101500",Arock School District 81,"00",KG,"12",G5420,,E,"4554225280","5333103","+43.0501681","-117.8428014"
"41","02490","4102490",Harney County School District 3,"00",KG,"12",G5420,,E,"3390058540","2635138","+43.7200398","-119.1203883"
"41","07530","4107530",Long Creek School District 17,"00",KG,"12",G5420,,E,"2152066730","18184","+44.7773512","-119.0063990"
"41","01470","4101470",Arlington School District 3,"00",KG,"12",G5420,,E,"921194728","43094992","+45.6303392","-120.2190308"
"41","03990","4103990",Dayton School District 8,"00",KG,"12",G5420,,E,"146507298","3064435","+45.1939760","-123.0652565"
"41","00016","4100016",Yamhill-Carlton School District 1,"00",KG,"12",G5420,,E,"478364493","889596","+45.3575371","-123.2777040"
"41","10560","4110560",Riverdale School District 51J,"00",KG,"12",G5420,,E,"4407531","511705","+45.4454998","-122.6613922"
"41","06600","4106600",Huntington School District 16J,"00",KG,"12",G5420,,E,"853181784","16706326","+44.4549121","-117.3293124"
"41","09720","4109720",Pine-Eagle School District 61,"00",KG,"12",G5420,,E,"1652080707","18794161","+44.8900891","-117.1323641"
"41","13350","4113350",Willamina School District 30J,"00",KG,"12",G5420,,E,"672845787","223451","+45.1139191","-123.5875097"
"41","03265","4103265",Rainier School District 13,"00",KG,"12",G5420,,E,"294422424","19679188","+46.0144280","-122.9747953"
"41","10520","4110520",Reynolds School District 7,"00",KG,"12",G5420,,E,"65190862","20471726","+45.5520968","-122.4412559"
"41","02780","4102780",Cascade School District 5,"00",KG,"12",G5420,,E,"211766736","1121392","+44.8177870","-122.9101936"
"41","08880","4108880",North Marion School District 15,"00",KG,"12",G5420,,E,"113138663","602493","+45.2164059","-122.8145496"
"41","13530","4113530",Woodburn School District 103,"00",KG,"12",G5420,,E,"80684041","197914","+45.1442901","-122.8577301"
"41","00015","4100015",Gervais School District 1,"00",KG,"12",G5420,,E,"179558776","1858348","+45.0804800","-122.9424527"
"41","08550","4108550",Mount Angel School District 91,"00",KG,"12",G5420,,E,"34590159","92063","+45.0653929","-122.7958424"
"41","06900","4106900",Three Rivers School District,"00",KG,"12",G5420,,E,"4423625117","5620971","+42.3491489","-123.5215715"
"41","11760","4111760",St. Paul School District 45,"00",KG,"12",G5420,,E,"107975549","3095674","+45.2195094","-122.9484929"
"41","01800","4101800",Bandon School District 54,"00",KG,"12",G5420,,E,"275154980","174510352","+43.1316531","-124.3899914"
"41","03390","4103390",Coquille School District 8,"00",KG,"12",G5420,,E,"419826617","2920790","+43.2203103","-124.1163066"
"41","05910","4105910",Grants Pass School District 7,"00",KG,"12",G5420,,E,"62885739","458505","+42.4293338","-123.3443389"
"41","12240","4112240",Tigard-Tualatin School District 23J,"00",KG,"12",G5420,,E,"62246130","10496","+45.4051652","-122.7863608"
"41","08830","4108830",North Clackamas School District 12,"00",KG,"12",G5420,,E,"104166672","2146283","+45.4263655","-122.5519442"
"41","11720","4111720",St. Helens School District 502,"00",KG,"12",G5420,,E,"260532742","14023811","+45.9118983","-122.9043443"
"41","02800","4102800",Centennial School District 28J,"00",KG,"12",G5420,,E,"38224829","130196","+45.4763604","-122.4792576"
"41","02640","4102640",Canby School District 86,"00",KG,"12",G5420,,E,"226973984","2866142","+45.2330391","-122.6911249"
"41","04700","4104700",Estacada School District 108,"00",KG,"12",G5420,,E,"1825577824","9704525","+45.0986475","-122.0560139"
"41","06870","4106870",Joseph School District 6,"00",KG,"12",G5420,,E,"3475117560","12099512","+45.4357264","-116.9015554"
"41","12990","4112990",Wallowa School District 12,"00",KG,"12",G5420,,E,"2369734775","1077064","+45.6369759","-117.5708304"
"41","05080","4105080",Enterprise School District 21,"00",KG,"12",G5420,,E,"2112918819","1015176","+45.7675945","-117.1601225"
"41","12360","4112360",Troy School District 54,"00",KG,"12",G5420,,E,"190064216","0","+45.9468773","-117.5259356"
"41","00014","4100014",Vale School District 84,"00",KG,"12",G5420,,E,"1699591459","3183199","+44.1197475","-117.4294416"
"41","10820","4110820",Salem-Keizer School District 24J,"00",KG,"12",G5420,,E,"439200091","6184121","+44.9449465","-123.0280604"
"41","11470","4111470",Silver Falls School District 4J,"00",KG,"12",G5420,,E,"671058931","794160","+44.9584168","-122.6897009"
"41","00003","4100003",Falls City School District 57,"00",KG,"12",G5420,,E,"355145415","1906474","+44.8317294","-123.6091855"
"41","09530","4109530",Perrydale School District 21,"00",KG,"12",G5420,,E,"141077254","284489","+45.0178623","-123.3017335"
"41","11220","4111220",Sheridan School District 48J,"00",KG,"12",G5420,,E,"163111045","163105","+45.1438782","-123.4000475"
"41","01710","4101710",Baker School District 5J,"00",KG,"12",G5420,,E,"3386810946","11256329","+44.7823978","-117.7502692"
"41","08940","4108940",North Powder School District 8J,"00",KG,"12",G5420,,E,"622483332","1977657","+45.0533247","-118.0396013"
"41","01740","4101740",Burnt River School District 30J,"00",KG,"12",G5420,,E,"2996794732","6786948","+44.4262234","-118.0512644"
"41","09430","4109430",Paisley School District 11,"00",KG,"12",G5420,,E,"3555355779","133284671","+42.7897884","-120.7853255"
"41","08650","4108650",Neah-Kah-Nie School District 56,"00",KG,"12",G5420,,E,"1025276458","171603118","+45.6788700","-123.7371662"
"41","02610","4102610",Camas Valley School District 21J,"00",KG,"12",G5420,,E,"342999081","49164","+42.9567319","-123.7358306"
"41","04350","4104350",North Douglas School District 22,"00",KG,"12",G5420,,E,"508105396","56517","+43.7597629","-123.4036530"
"41","10530","4110530",Riddle School District 70,"00",KG,"12",G5420,,E,"360307242","240125","+42.8916338","-123.5119292"
"41","13650","4113650",Yoncalla School District 32,"00",KG,"12",G5420,,E,"411939550","244130","+43.5865635","-123.2701894"
"41","10410","4110410",Reedsport School District 105,"00",KG,"12",G5420,,E,"1194427649","183674996","+43.7389235","-123.9078868"
"41","01620","4101620",Astoria School District 1,"00",KG,"12",G5420,,E,"587772137","130616324","+46.1068247","-123.7510373"
