individual_id,YEAR,family_interview_id,psid_state_of_residence_code,family_composition_change,age,sex,number_of_children_in_fu,1968_family_identifier,marital_status,health_status,race,religion,wtr_donated,wtr_donated_to_health_org,amt_of_health_donations,total_donation_amt,total_family_income,wealth_wo_equity,wealth_with_equity,weight,year,health_donation_adj,total_donation_adj,family_income_adj,wealth_adj
40003,2001,7181.0,14.0,0.0,41.0,1.0,1.0,40.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,310.0,85000.0,-4000.0,43000.0,23.669,2000,0.0,465.91991869918695,127752.23577235773,64627.601626016265
40005,2001,6930.0,45.0,1.0,39.0,2.0,1.0,40.0,5.0,4.0,1.0,1.0,1.0,5.0,0.0,350.0,84600.0,-1500.0,500.0,17.298,2000,0.0,526.0386178861788,127151.0487804878,751.4837398373984
40181,2001,6959.0,14.0,6.0,24.0,1.0,0.0,40.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,650.0,40000.0,126800.0,136800.0,12.797,2000,0.0,976.928861788618,60118.69918699187,205605.95121951218
41191,2001,228.0,16.0,0.0,46.0,1.0,0.0,41.0,1.0,5.0,1.0,8.0,5.0,5.0,0.0,0.0,7056.0,4130.0,16130.0,16.027,2000,0.0,0.0,10604.938536585365,24242.865447154472
45173,2001,1505.0,41.0,0.0,45.0,1.0,0.0,45.0,1.0,3.0,1.0,0.0,1.0,5.0,0.0,400.0,25284.0,2850.0,32850.0,20.176,2000,0.0,601.1869918699188,38001.02975609756,49372.48170731707
47001,2001,655.0,33.0,0.0,65.0,1.0,0.0,47.0,1.0,1.0,1.0,8.0,1.0,5.0,0.0,5220.0,40300.0,22000.0,82000.0,50.345,2000,0.0,7845.490243902439,60569.58943089431,123243.33333333334
47005,2001,4003.0,5.0,0.0,36.0,1.0,0.0,47.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,2400.0,170153.0,364200.0,450200.0,55.143,2000,0.0,3607.121951219512,255734.4255691057,676635.9593495935
47174,2001,4285.0,33.0,0.0,33.0,1.0,3.0,47.0,1.0,1.0,1.0,8.0,5.0,5.0,0.0,0.0,52000.0,-14000.0,-2000.0,33.833,2000,0.0,0.0,78154.30894308943,-3005.9349593495936
47176,2001,2576.0,33.0,1.0,31.0,1.0,2.0,47.0,1.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,51515.0,-2100.0,4900.0,28.61,2000,0.0,0.0,77425.36971544716,7364.540650406504
50004,2001,3341.0,12.0,0.0,37.0,1.0,2.0,50.0,1.0,2.0,1.0,8.0,5.0,5.0,0.0,0.0,47320.0,30500.0,64500.0,11.83,2000,0.0,0.0,71120.42113821139,96941.40243902439
50170,2001,3800.0,4.0,0.0,41.0,1.0,2.0,50.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,750.0,115100.0,471000.0,711000.0,22.133,2000,0.0,1127.2256097560974,172991.5569105691,1068609.8780487804
51001,2001,4364.0,12.0,0.0,59.0,1.0,0.0,51.0,1.0,2.0,1.0,8.0,1.0,5.0,0.0,300.0,41000.0,10020.0,16020.0,44.661,2000,0.0,450.890243902439,61621.66666666667,24077.539024390244
51171,2001,4716.0,12.0,1.0,33.0,1.0,3.0,51.0,1.0,2.0,1.0,97.0,5.0,5.0,0.0,0.0,53000.0,19600.0,21600.0,25.732,2000,0.0,0.0,79657.27642276422,32464.09756097561
53003,2001,1516.0,23.0,1.0,43.0,1.0,0.0,53.0,1.0,3.0,1.0,8.0,1.0,5.0,0.0,550.0,60960.0,1400.0,16400.0,14.161,2000,0.0,826.6321138211382,91620.8975609756,24648.666666666664
